Date,Open,High,Low,Close,Volume
2003-12-29,80.0,90.0,80.0,90.0,395314
2003-12-30,86.0,90.0,85.0,85.0,768800
2004-01-02,85.0,85.0,85.0,85.0,30000
2004-01-05,84.0,84.0,78.0,78.0,177800
2004-01-06,79.0,79.0,78.0,78.0,30962
2004-01-07,78.0,78.0,78.0,78.0,11907
2004-01-08,76.0,78.0,76.0,76.0,171000
2004-01-09,73.0,75.0,72.0,75.0,312622
2004-01-12,73.0,74.0,73.0,74.0,0
2004-01-13,74.0,77.0,74.0,75.0,0
2004-01-14,75.0,75.0,74.0,74.0,0
2004-01-15,72.0,73.0,70.0,70.0,0
2004-01-16,70.0,70.0,67.0,69.0,0
2004-01-19,69.0,70.0,65.0,69.0,0
2004-01-20,70.0,70.0,68.0,68.0,0
2004-01-21,68.0,68.0,68.0,68.0,0
2004-01-22,70.0,80.0,70.0,80.0,0
2004-01-23,78.0,81.0,72.0,72.0,0
2004-01-26,75.0,75.0,73.0,75.0,0
2004-01-27,75.0,75.0,75.0,75.0,0
2004-01-28,76.0,76.0,74.0,75.0,0
2004-01-29,75.0,75.0,75.0,75.0,0
2004-01-30,75.0,75.0,75.0,75.0,0
2004-02-02,76.0,78.0,76.0,76.0,0
2004-02-03,77.0,80.0,77.0,80.0,0
2004-02-04,77.0,84.0,76.0,84.0,0
2004-02-05,77.0,77.0,77.0,77.0,0
2004-02-06,80.0,80.0,80.0,80.0,0
2004-02-09,80.0,80.0,80.0,80.0,29800
2004-02-10,80.0,80.0,80.0,80.0,100400
2004-02-11,82.0,86.0,82.0,85.0,763213
2004-02-12,83.0,83.0,80.0,80.0,60000
2004-02-13,84.0,84.0,82.0,82.0,16204
2004-02-16,83.0,83.0,80.0,80.0,82268
2004-02-17,80.0,80.0,80.0,80.0,51532
2004-02-18,80.0,80.0,77.0,80.0,405924
2004-02-19,80.0,80.0,80.0,80.0,80542
2004-02-20,82.0,82.0,75.0,75.0,100036
2004-02-23,76.0,76.0,76.0,76.0,500
2004-02-24,80.0,80.0,75.0,75.0,100982
2004-02-25,75.0,75.0,75.0,75.0,62434
2004-02-26,80.0,80.0,80.0,80.0,46879
2004-02-27,80.0,80.0,79.0,80.0,80400
2004-03-01,84.0,85.0,84.0,84.0,3131200
2004-03-02,85.0,85.0,84.0,85.0,304707
2004-03-03,89.0,89.0,85.0,85.0,84398
2004-03-04,86.0,86.0,85.0,86.0,47300
2004-03-05,86.0,86.0,85.0,85.0,42500
2004-03-08,86.0,86.0,85.0,85.0,63230
2004-03-09,85.0,86.0,85.0,86.0,110600
2004-03-10,86.0,86.0,83.0,83.0,4155164
2004-03-11,85.0,86.0,85.0,86.0,5615
2004-03-12,86.0,86.0,86.0,86.0,140618
2004-03-15,87.0,89.0,85.0,89.0,21996
2004-03-16,89.0,89.0,75.0,89.0,62200
2004-03-17,89.0,89.0,80.0,80.0,7700
2004-03-18,84.0,86.0,83.0,86.0,39922
2004-03-19,86.0,86.0,83.0,83.0,122000
2004-03-23,84.0,84.0,83.0,83.0,42278
2004-03-24,89.0,89.0,76.0,76.0,70546
2004-03-25,81.0,85.0,76.0,85.0,2258015
2004-03-26,87.0,89.0,87.0,88.0,113761
2004-03-29,88.0,88.0,81.0,81.0,335925
2004-03-30,81.0,82.0,81.0,82.0,397083
2004-03-31,82.0,85.0,82.0,85.0,52747
2004-04-01,84.0,84.0,82.0,82.0,71400
2004-04-02,83.0,85.0,83.0,85.0,359431
2004-04-05,85.0,85.0,85.0,85.0,53696
2004-04-06,85.0,92.0,85.0,91.0,612268
2004-04-07,91.0,95.0,91.0,93.0,435098
2004-04-08,95.0,95.0,92.0,93.0,118347
2004-04-13,95.0,95.0,93.0,93.0,124500
2004-04-15,95.0,95.0,91.0,91.0,74932
2004-04-16,91.0,91.0,90.0,90.0,175291
2004-04-19,90.0,99.0,90.0,95.0,74649
2004-04-20,97.0,97.0,95.0,95.0,202714
2004-04-21,95.0,95.0,90.0,93.0,330000
2004-04-22,94.0,94.0,87.0,87.0,275386
2004-04-23,88.0,88.0,88.0,88.0,83600
2004-04-26,88.0,88.0,85.0,85.0,256957
2004-04-28,85.0,86.0,85.0,85.0,110695
2004-04-29,86.0,88.0,85.0,86.0,112549
2004-04-30,88.0,88.0,85.0,85.0,73777
2004-05-03,85.0,85.0,85.0,85.0,145978
2004-05-04,85.0,85.0,85.0,85.0,0
2004-05-05,88.0,88.0,83.0,83.0,3000
2004-05-06,83.0,83.0,83.0,83.0,0
2004-05-07,83.0,83.0,83.0,83.0,0
2004-05-10,83.0,83.0,83.0,83.0,0
2004-05-11,83.0,85.0,81.0,85.0,94893
2004-05-12,84.0,85.0,81.0,85.0,51600
2004-05-13,85.0,85.0,85.0,85.0,0
2004-05-14,85.0,85.0,80.0,80.0,23300
2004-05-17,77.0,79.0,77.0,79.0,25620
2004-05-18,77.0,77.0,77.0,77.0,50000
2004-05-19,76.0,76.0,75.0,75.0,32100
2004-05-20,75.0,78.0,75.0,78.0,238502
2004-05-21,80.0,80.0,78.0,78.0,21556
2004-05-24,79.0,79.0,79.0,79.0,17666
2004-05-25,80.0,85.0,80.0,80.0,18320
