Date,Open,High,Low,Close,Volume
2006-11-07,805.0,875.0,755.0,820.0,4854823
2006-11-08,822.0,830.0,801.0,830.0,1305825
2006-11-09,825.0,890.0,825.0,850.0,1306171
2006-11-10,850.0,890.0,850.0,890.0,199020
2006-11-13,890.0,930.0,870.0,880.0,429455
2006-11-14,880.0,887.0,855.0,865.0,268603
2006-11-15,865.0,865.0,832.0,845.0,434826
2006-11-16,845.0,870.0,815.0,846.0,209685
2006-11-17,847.0,868.0,846.0,854.0,128528
2006-11-20,854.0,854.0,837.0,847.0,82956
2006-11-21,848.0,870.0,835.0,860.0,196550
2006-11-22,850.0,863.0,845.0,862.0,214243
2006-11-23,865.0,865.0,825.0,860.0,756207
2006-11-24,850.0,855.0,832.0,854.0,130790
2006-11-27,875.0,890.0,865.0,873.0,411679
2006-11-28,875.0,875.0,850.0,869.0,478929
2006-11-29,875.0,883.0,869.0,875.0,239344
2006-11-30,874.0,890.0,870.0,890.0,328914
2006-12-01,890.0,905.0,890.0,899.0,314362
2006-12-04,900.0,905.0,892.0,900.0,1008690
2006-12-05,900.0,902.0,870.0,886.0,503329
2006-12-06,890.0,890.0,870.0,884.0,206599
2006-12-07,885.0,889.0,872.0,879.0,279604
2006-12-08,879.0,880.0,865.0,876.0,135320
2006-12-11,875.0,879.0,862.0,871.0,121039
2006-12-12,875.0,880.0,870.0,880.0,321273
2006-12-13,880.0,882.0,870.0,879.0,209080
2006-12-14,879.0,890.0,870.0,884.0,290391
2006-12-15,890.0,910.0,885.0,910.0,497565
2006-12-18,912.0,949.0,912.0,943.0,338353
2006-12-19,945.0,965.0,930.0,965.0,280465
2006-12-20,966.0,975.0,960.0,963.0,162477
2006-12-21,955.0,970.0,950.0,962.0,101865
2006-12-22,965.0,965.0,955.0,965.0,60780
2006-12-27,969.0,969.0,911.0,969.0,110820
2006-12-28,968.0,980.0,948.0,980.0,226645
2006-12-29,980.0,980.0,960.0,975.0,74351
2007-01-02,980.0,980.0,965.0,975.0,60710
2007-01-03,975.0,975.0,950.0,970.0,160995
2007-01-04,970.0,970.0,955.0,969.0,17712
2007-01-05,969.0,975.0,955.0,969.0,287994
2007-01-08,969.0,970.0,960.0,969.0,211007
2007-01-09,965.0,969.0,960.0,969.0,115633
2007-01-10,968.0,970.0,960.0,970.0,1076964
2007-01-11,970.0,970.0,960.0,969.0,26137
2007-01-12,968.0,970.0,960.0,970.0,31167
2007-01-15,980.0,980.0,960.0,968.0,40392
2007-01-16,960.0,970.0,955.0,955.0,53696
2007-01-17,970.0,970.0,916.0,955.0,233240
2007-01-18,960.0,960.0,940.0,960.0,44594
2007-01-19,965.0,965.0,945.0,950.0,120543
2007-01-22,940.0,960.0,932.0,950.0,56255
2007-01-23,950.0,950.0,903.0,946.0,145922
2007-01-24,948.0,965.0,945.0,950.0,194160
2007-01-25,955.0,955.0,922.0,940.0,120310
2007-01-26,940.0,945.0,922.0,945.0,254400
2007-01-29,940.0,940.0,905.0,920.0,153753
2007-01-30,919.0,940.0,919.0,940.0,120383
2007-01-31,939.0,940.0,930.0,939.0,68669
2007-02-01,906.0,970.0,906.0,950.0,203140
2007-02-02,950.0,950.0,940.0,950.0,138351
2007-02-05,950.0,979.0,950.0,975.0,172170
2007-02-06,975.0,1000.0,975.0,1000.0,393431
2007-02-07,1000.0,1050.0,990.0,1010.0,250133
2007-02-08,1015.0,1025.0,966.0,1004.0,420548
2007-02-09,985.0,1000.0,985.0,990.0,50993
2007-02-12,1000.0,1000.0,970.0,989.0,141726
2007-02-13,970.0,990.0,955.0,960.0,334963
2007-02-14,970.0,975.0,960.0,975.0,109900
2007-02-15,975.0,990.0,970.0,983.0,57245
2007-02-16,984.0,984.0,970.0,980.0,40381
2007-02-19,980.0,985.0,975.0,978.0,152311
2007-02-20,975.0,975.0,950.0,965.0,101593
2007-02-21,970.0,970.0,918.0,939.0,1216315
2007-02-22,940.0,960.0,930.0,935.0,562629
2007-02-23,940.0,960.0,940.0,955.0,88558
2007-02-26,955.0,970.0,943.0,970.0,178979
2007-02-27,975.0,975.0,950.0,959.0,79176
2007-02-28,930.0,950.0,920.0,949.0,143606
2007-03-01,950.0,960.0,889.0,938.0,242844
2007-03-02,888.0,940.0,888.0,935.0,112340
2007-03-05,921.0,935.0,905.0,923.0,127653
2007-03-06,915.0,935.0,915.0,935.0,68953
2007-03-07,935.0,935.0,920.0,930.0,208153
2007-03-08,925.0,930.0,908.0,920.0,335608
2007-03-09,924.0,930.0,912.0,930.0,36861
2007-03-12,930.0,940.0,923.0,939.0,192104
2007-03-13,923.0,940.0,923.0,935.0,388294
2007-03-14,920.0,930.0,880.0,910.0,69963
2007-03-15,908.0,930.0,885.0,910.0,170758
2007-03-16,925.0,940.0,910.0,921.0,1383277
2007-03-19,944.0,945.0,930.0,945.0,133329
2007-03-20,945.0,960.0,940.0,960.0,170226
2007-03-22,960.0,975.0,950.0,964.0,94351
2007-03-23,964.0,965.0,950.0,960.0,71418
2007-03-26,960.0,964.0,945.0,959.0,218633
2007-03-27,945.0,960.0,940.0,959.0,85993
2007-03-28,945.0,960.0,945.0,959.0,30022
2007-03-29,959.0,959.0,950.0,959.0,35925
2007-03-30,900.0,959.0,900.0,959.0,34460
2007-04-02,955.0,960.0,940.0,958.0,89161
2007-04-03,940.0,958.0,940.0,958.0,1469332
2007-04-04,958.0,975.0,958.0,975.0,497583
2007-04-05,975.0,980.0,970.0,975.0,91713
2007-04-10,970.0,975.0,955.0,975.0,64121
2007-04-11,950.0,975.0,950.0,970.0,48981
2007-04-12,970.0,975.0,960.0,970.0,155181
2007-04-13,960.0,970.0,960.0,968.0,88026
2007-04-16,970.0,975.0,950.0,975.0,114767
2007-04-17,970.0,980.0,955.0,975.0,116762
2007-04-18,965.0,985.0,965.0,985.0,70686
2007-04-19,950.0,974.0,950.0,974.0,18000
2007-04-20,951.0,970.0,951.0,970.0,29993
2007-04-23,950.0,985.0,950.0,980.0,191401
2007-04-24,970.0,980.0,970.0,980.0,110589
2007-04-25,980.0,999.0,980.0,999.0,62070
2007-04-26,975.0,999.0,975.0,980.0,22090
2007-04-30,980.0,980.0,970.0,980.0,18548
2007-05-02,970.0,995.0,970.0,995.0,301640
2007-05-03,995.0,995.0,970.0,995.0,253800
2007-05-04,995.0,995.0,950.0,995.0,504928
2007-05-07,985.0,995.0,980.0,995.0,182100
2007-05-08,971.0,995.0,971.0,995.0,126680
2007-05-09,985.0,995.0,985.0,995.0,62381
2007-05-10,995.0,1000.0,990.0,999.0,196515
2007-05-11,985.0,995.0,975.0,995.0,105585
2007-05-14,995.0,995.0,975.0,975.0,55614
2007-05-15,985.0,995.0,980.0,994.0,41460
2007-05-16,993.0,995.0,980.0,995.0,16456
2007-05-17,980.0,995.0,975.0,993.0,54946
2007-05-18,993.0,995.0,975.0,995.0,176803
2007-05-21,990.0,995.0,975.0,995.0,42311
2007-05-22,976.0,996.0,975.0,995.0,535614
2007-05-23,995.0,1005.0,995.0,1000.0,335400
2007-05-24,1000.0,1040.0,1000.0,1040.0,54783
2007-05-25,1003.0,1003.0,1000.0,1001.0,31903
2007-05-28,1010.0,1035.0,1005.0,1010.0,33396
2007-05-29,1010.0,1050.0,1005.0,1040.0,381636
2007-05-30,1071.0,1100.0,1071.0,1080.0,534349
2007-05-31,1080.0,1150.0,1080.0,1139.0,409898
2007-06-01,1140.0,1150.0,1050.0,1135.0,2113616
2007-06-04,1135.0,1135.0,1020.0,1050.0,52970
2007-06-05,1050.0,1080.0,1002.0,1075.0,495757
2007-06-06,1095.0,1095.0,1055.0,1055.0,36533
2007-06-07,1055.0,1060.0,1010.0,1030.0,173548
2007-06-08,1030.0,1030.0,1007.0,1015.0,22272
2007-06-11,1050.0,1050.0,1010.0,1050.0,1121923
2007-06-12,1049.0,1049.0,1010.0,1020.0,36436
2007-06-13,1020.0,1020.0,1000.0,1020.0,89529
2007-06-14,1020.0,1045.0,1010.0,1034.0,98473
2007-06-15,1035.0,1050.0,1025.0,1037.0,350653
2007-06-18,1040.0,1045.0,1000.0,1030.0,172279
2007-06-19,1025.0,1030.0,1015.0,1015.0,47188
2007-06-20,1000.0,1025.0,995.0,1025.0,54095
2007-06-21,1020.0,1035.0,1011.0,1034.0,62806
2007-06-22,1010.0,1020.0,1005.0,1010.0,42878
2007-06-25,1010.0,1025.0,1010.0,1025.0,188548
2007-06-26,1020.0,1025.0,1000.0,1005.0,86098
2007-06-27,1000.0,1035.0,982.0,1004.0,65252
2007-06-28,1005.0,1030.0,995.0,1030.0,44379
2007-06-29,982.0,1034.0,982.0,1034.0,38430
2007-07-02,1030.0,1035.0,1000.0,1035.0,31292
2007-07-03,1040.0,1040.0,1001.0,1020.0,16208
2007-07-04,1030.0,1030.0,1000.0,1019.0,16369
2007-07-05,1010.0,1020.0,1010.0,1020.0,45128
2007-07-06,1001.0,1015.0,1001.0,1010.0,37135
2007-07-09,1010.0,1015.0,1000.0,1015.0,189776
2007-07-10,1000.0,1000.0,982.0,985.0,86895
2007-07-11,970.0,970.0,955.0,955.0,176798
2007-07-12,955.0,1000.0,955.0,1000.0,79222
2007-07-13,1000.0,1015.0,1000.0,1000.0,85905
2007-07-16,1000.0,1035.0,1000.0,1034.0,490434
2007-07-17,1033.0,1060.0,1033.0,1060.0,1634500
2007-07-18,1060.0,1066.0,1050.0,1066.0,475496
2007-07-19,1074.0,1080.0,1050.0,1055.0,102038
2007-07-20,1055.0,1075.0,1055.0,1075.0,62670
2007-07-23,1070.0,1070.0,1050.0,1060.0,66795
2007-07-24,1060.0,1060.0,1030.0,1050.0,51966
2007-07-25,1030.0,1049.0,1025.0,1030.0,11971
2007-07-26,1030.0,1040.0,1000.0,1000.0,393155
2007-07-27,1000.0,1000.0,980.0,1000.0,133849
2007-07-30,985.0,1000.0,965.0,980.0,266447
2007-07-31,980.0,1025.0,980.0,1000.0,486405
2007-08-01,950.0,1000.0,950.0,1000.0,76146
2007-08-02,1000.0,1000.0,966.0,966.0,12000
2007-08-03,950.0,1000.0,950.0,1000.0,5713
2007-08-06,995.0,995.0,965.0,985.0,3883
2007-08-07,965.0,980.0,965.0,970.0,184123
2007-08-08,975.0,1000.0,975.0,1000.0,104449
2007-08-10,981.0,981.0,970.0,970.0,23500
2007-08-13,950.0,970.0,950.0,953.0,16728
2007-08-14,960.0,970.0,960.0,962.0,8708
2007-08-15,965.0,969.0,940.0,961.0,7732
2007-08-16,941.0,941.0,910.0,925.0,84080
2007-08-17,910.0,950.0,905.0,950.0,323809
2007-08-20,930.0,950.0,920.0,920.0,9017
2007-08-21,920.0,921.0,900.0,900.0,818610
2007-08-22,900.0,915.0,900.0,915.0,510889
2007-08-23,920.0,940.0,916.0,920.0,450618
2007-08-24,900.0,920.0,900.0,920.0,1075040
2007-08-27,920.0,943.0,920.0,942.0,37225
2007-08-28,940.0,940.0,920.0,925.0,1532447
2007-08-29,900.0,925.0,900.0,925.0,17559
2007-08-30,905.0,930.0,905.0,930.0,17263
2007-08-31,930.0,985.0,930.0,985.0,100285
2007-09-03,993.0,1050.0,985.0,1000.0,38080
2007-09-04,999.0,1000.0,980.0,980.0,106843
2007-09-05,985.0,995.0,980.0,995.0,367772
2007-09-06,975.0,975.0,975.0,975.0,41978
2007-09-07,975.0,982.0,975.0,981.0,175633
2007-09-10,975.0,981.0,975.0,980.0,181866
2007-09-11,980.0,1000.0,980.0,1000.0,41801
2007-09-12,990.0,1000.0,985.0,1000.0,69956
2007-09-13,1000.0,1030.0,991.0,1030.0,30982
2007-09-14,1001.0,1045.0,1001.0,1045.0,15301
2007-09-17,1060.0,1060.0,1055.0,1060.0,34532
2007-09-18,1060.0,1070.0,1040.0,1070.0,22905
2007-09-19,1050.0,1085.0,1050.0,1085.0,572062
2007-09-20,1040.0,1084.0,1040.0,1080.0,15599
2007-09-21,1041.0,1070.0,1040.0,1065.0,15860
2007-09-25,1040.0,1060.0,1040.0,1060.0,42374
2007-09-26,1040.0,1050.0,1040.0,1050.0,75090
2007-09-27,1040.0,1050.0,1040.0,1040.0,104706
2007-09-28,1040.0,1070.0,1040.0,1070.0,39044
2007-10-01,1050.0,1070.0,1050.0,1050.0,31020
2007-10-02,1050.0,1079.0,1050.0,1079.0,72348
2007-10-03,1070.0,1070.0,1050.0,1069.0,29279
2007-10-04,1050.0,1060.0,1050.0,1050.0,368373
2007-10-05,1050.0,1050.0,1050.0,1050.0,15042
2007-10-08,1000.0,1060.0,1000.0,1050.0,34973
2007-10-09,1050.0,1050.0,1050.0,1050.0,97984
2007-10-10,1050.0,1055.0,1050.0,1050.0,12970
2007-10-11,1050.0,1058.0,1050.0,1050.0,43438
2007-10-12,1050.0,1060.0,1050.0,1050.0,113873
2007-10-15,1050.0,1080.0,1050.0,1060.0,13234
2007-10-16,1060.0,1060.0,1050.0,1060.0,38890
2007-10-17,1050.0,1050.0,1050.0,1050.0,17632
2007-10-18,1050.0,1060.0,1050.0,1060.0,65407
2007-10-19,1045.0,1050.0,1045.0,1045.0,25959
2007-10-22,1045.0,1045.0,1025.0,1037.0,6532
2007-10-23,1027.0,1049.0,1025.0,1030.0,69717
2007-10-24,1020.0,1030.0,1020.0,1025.0,407583
2007-10-25,1025.0,1050.0,1025.0,1050.0,65485
2007-10-26,1055.0,1080.0,1050.0,1080.0,1872698
2007-10-29,1085.0,1085.0,1085.0,1085.0,0
2007-10-30,1050.0,1074.0,1045.0,1074.0,82138
2007-10-31,1080.0,1080.0,1049.0,1070.0,218761
2007-11-01,1060.0,1069.0,1040.0,1045.0,486093
2007-11-02,1030.0,1030.0,1000.0,1030.0,38677
2007-11-05,1015.0,1015.0,1000.0,1005.0,11649
2007-11-06,1000.0,1005.0,1000.0,1005.0,32558
2007-11-07,1005.0,1020.0,1005.0,1020.0,70515
2007-11-08,1020.0,1045.0,1020.0,1025.0,56422
2007-11-09,1025.0,1025.0,1010.0,1025.0,946293
2007-11-12,1010.0,1015.0,1010.0,1010.0,6347
2007-11-13,1015.0,1015.0,1005.0,1007.0,1417572
2007-11-14,1005.0,1005.0,955.0,1005.0,176157
2007-11-15,1000.0,1000.0,1000.0,1000.0,6000
2007-11-16,1000.0,1000.0,1000.0,1000.0,31397
2007-11-19,980.0,999.0,955.0,965.0,17003
2007-11-20,953.0,963.0,925.0,963.0,93577
2007-11-21,953.0,957.0,953.0,953.0,40628
2007-11-22,950.0,957.0,950.0,950.0,57336
2007-11-23,950.0,960.0,930.0,950.0,306228
2007-11-26,930.0,940.0,930.0,940.0,76388
2007-11-27,940.0,940.0,915.0,925.0,330718
2007-11-28,915.0,925.0,900.0,925.0,53744
2007-11-29,925.0,925.0,915.0,925.0,737195
2007-11-30,912.0,915.0,900.0,915.0,149628
2007-12-03,916.0,920.0,916.0,916.0,72171
2007-12-04,915.0,915.0,900.0,910.0,366325
2007-12-05,900.0,910.0,900.0,900.0,59715
2007-12-06,900.0,908.0,900.0,900.0,148633
2007-12-07,900.0,905.0,890.0,890.0,68299
2007-12-10,890.0,895.0,890.0,890.0,33463
2007-12-11,890.0,890.0,880.0,885.0,54251
2007-12-12,885.0,885.0,880.0,880.0,185096
2007-12-13,880.0,880.0,850.0,850.0,147341
2007-12-14,850.0,870.0,850.0,870.0,82939
2007-12-18,850.0,859.0,850.0,852.0,77229
2007-12-19,850.0,859.0,836.0,840.0,31924
2007-12-20,840.0,858.0,840.0,858.0,20067
2007-12-21,840.0,860.0,840.0,860.0,28083
2007-12-24,840.0,854.0,840.0,854.0,1459
2007-12-27,851.0,851.0,851.0,851.0,22756
2007-12-28,850.0,850.0,850.0,850.0,2054
2007-12-31,850.0,870.0,850.0,870.0,22946
2008-01-02,870.0,870.0,868.0,868.0,81187
2008-01-03,869.0,869.0,851.0,851.0,759
2008-01-04,860.0,870.0,860.0,870.0,4475
2008-01-07,851.0,865.0,851.0,857.0,8871
2008-01-08,851.0,858.0,841.0,855.0,20608
2008-01-09,841.0,846.0,840.0,840.0,51806
2008-01-10,836.0,836.0,816.0,830.0,309000
2008-01-11,800.0,810.0,740.0,790.0,15402
2008-01-14,790.0,790.0,790.0,790.0,0
2008-01-15,755.0,770.0,750.0,770.0,103535
2008-01-16,770.0,770.0,730.0,730.0,81181
2008-01-17,720.0,728.0,715.0,728.0,80287
2008-01-18,730.0,735.0,730.0,730.0,20400
2008-01-21,735.0,735.0,665.0,700.0,14065
2008-01-22,670.0,675.0,650.0,675.0,80274
2008-01-23,700.0,700.0,675.0,675.0,30107
2008-01-24,699.0,700.0,690.0,699.0,47876
2008-01-25,707.0,730.0,700.0,720.0,40746
2008-01-28,700.0,701.0,700.0,700.0,70611
2008-01-29,680.0,720.0,680.0,720.0,24574
2008-01-30,700.0,700.0,700.0,700.0,27988
2008-01-31,695.0,700.0,691.0,700.0,62587
2008-02-01,700.0,730.0,700.0,710.0,20309
2008-02-04,729.0,750.0,700.0,740.0,541698
2008-02-05,740.0,740.0,710.0,739.0,201611
2008-02-06,739.0,745.0,730.0,730.0,59193
2008-02-07,730.0,730.0,720.0,720.0,130128
2008-02-08,710.0,725.0,660.0,715.0,6584
2008-02-11,715.0,715.0,715.0,715.0,6914
2008-02-12,715.0,715.0,700.0,700.0,42634
2008-02-13,700.0,710.0,700.0,700.0,127142
2008-02-14,720.0,720.0,700.0,700.0,235591
2008-02-15,700.0,710.0,690.0,710.0,10564
2008-02-18,720.0,720.0,710.0,710.0,4100
2008-02-19,710.0,720.0,700.0,720.0,64007
2008-02-20,710.0,750.0,710.0,740.0,56115
2008-02-21,745.0,750.0,735.0,750.0,466109
