Date,Open,High,Low,Close,Volume
2003-12-29,1885.0,1895.0,1885.0,1895.0,71674
2003-12-30,1890.0,1910.0,1890.0,1910.0,78352
2004-01-02,1975.0,1999.0,1975.0,1985.0,16400
2004-01-05,1955.0,1970.0,1955.0,1955.0,146852
2004-01-06,1960.0,1960.0,1955.0,1960.0,237000
2004-01-07,1959.0,1960.0,1945.0,1959.0,328574
2004-01-08,1957.0,1959.0,1957.0,1957.0,290574
2004-01-09,1950.0,1959.0,1950.0,1950.0,92871
2004-01-12,1940.0,1960.0,1940.0,1940.0,0
2004-01-13,1950.0,1950.0,1940.0,1940.0,0
2004-01-14,1950.0,1950.0,1945.0,1950.0,0
2004-01-15,1960.0,1960.0,1940.0,1945.0,0
2004-01-16,1940.0,1945.0,1935.0,1940.0,0
2004-01-19,1925.0,1925.0,1919.0,1920.0,0
2004-01-20,1930.0,1930.0,1920.0,1925.0,0
2004-01-21,1925.0,1925.0,1920.0,1920.0,0
2004-01-22,1919.0,1920.0,1910.0,1915.0,0
2004-01-23,1915.0,1915.0,1905.0,1909.0,0
2004-01-26,1911.0,1920.0,1905.0,1910.0,0
2004-01-27,1895.0,1910.0,1885.0,1895.0,0
2004-01-28,1900.0,1900.0,1899.0,1900.0,0
2004-01-29,1900.0,1900.0,1875.0,1875.0,0
2004-01-30,1898.0,1900.0,1875.0,1898.0,0
2004-02-02,1900.0,1900.0,1895.0,1900.0,0
2004-02-03,1900.0,1900.0,1875.0,1875.0,0
2004-02-04,1890.0,1900.0,1875.0,1890.0,0
2004-02-05,1885.0,1885.0,1875.0,1885.0,0
2004-02-06,1885.0,1890.0,1884.0,1885.0,0
2004-02-09,1895.0,1900.0,1890.0,1895.0,309349
2004-02-10,1880.0,1895.0,1880.0,1880.0,96377
2004-02-11,1880.0,1885.0,1880.0,1885.0,407717
2004-02-12,1885.0,1890.0,1876.0,1885.0,57199
2004-02-13,1875.0,1885.0,1870.0,1875.0,276688
2004-02-16,1885.0,1885.0,1875.0,1880.0,128610
2004-02-17,1880.0,1885.0,1875.0,1875.0,31856
2004-02-18,1885.0,1885.0,1870.0,1885.0,41492
2004-02-19,1875.0,1885.0,1875.0,1885.0,74591
2004-02-20,1885.0,1885.0,1882.0,1882.0,530350
2004-02-23,1882.0,1901.0,1882.0,1895.0,197880
2004-02-24,1890.0,1890.0,1865.0,1865.0,316615
2004-02-25,1875.0,1875.0,1860.0,1870.0,298353
2004-02-26,1875.0,1881.0,1870.0,1875.0,113201
2004-02-27,1885.0,1885.0,1862.0,1865.0,706378
2004-03-01,1865.0,1865.0,1855.0,1860.0,323599
2004-03-02,1860.0,1860.0,1850.0,1854.0,251799
2004-03-03,1855.0,1857.0,1840.0,1846.0,996733
2004-03-04,1845.0,1855.0,1845.0,1854.0,697959
2004-03-05,1860.0,1860.0,1845.0,1850.0,247583
2004-03-08,1850.0,1855.0,1850.0,1855.0,32166
2004-03-09,1855.0,1860.0,1855.0,1855.0,66061
2004-03-10,1855.0,1860.0,1851.0,1851.0,110898
2004-03-11,1850.0,1852.0,1845.0,1850.0,180490
2004-03-12,1845.0,1850.0,1830.0,1845.0,89678
2004-03-15,1855.0,1855.0,1830.0,1850.0,56700
2004-03-16,1850.0,1850.0,1845.0,1850.0,79365
2004-03-17,1850.0,1855.0,1830.0,1831.0,63953
2004-03-18,1831.0,1860.0,1830.0,1860.0,82781
2004-03-19,1860.0,1860.0,1850.0,1860.0,122014
2004-03-23,1860.0,1860.0,1840.0,1860.0,591441
2004-03-24,1860.0,1900.0,1860.0,1875.0,107356
2004-03-25,1875.0,1890.0,1875.0,1880.0,218688
2004-03-26,1900.0,1935.0,1895.0,1910.0,270149
2004-03-29,1919.0,1919.0,1900.0,1910.0,124712
2004-03-30,1915.0,1915.0,1900.0,1906.0,7748
2004-03-31,1917.0,1917.0,1890.0,1899.0,103573
2004-04-01,1880.0,1900.0,1880.0,1900.0,68209
2004-04-02,1895.0,1900.0,1890.0,1891.0,97525
2004-04-05,1900.0,1900.0,1875.0,1875.0,28889
2004-04-06,1880.0,1880.0,1850.0,1855.0,87058
2004-04-07,1875.0,1900.0,1870.0,1870.0,215932
2004-04-08,1895.0,1895.0,1870.0,1875.0,56930
2004-04-13,1875.0,1885.0,1870.0,1873.0,314287
2004-04-15,1870.0,1870.0,1845.0,1845.0,398325
2004-04-16,1850.0,1850.0,1830.0,1835.0,255351
2004-04-19,1850.0,1874.0,1839.0,1840.0,767628
2004-04-20,1836.0,1845.0,1836.0,1840.0,1760715
2004-04-21,1840.0,1840.0,1839.0,1840.0,256228
2004-04-22,1840.0,1840.0,1837.0,1837.0,896630
2004-04-23,1839.0,1839.0,1830.0,1835.0,290347
2004-04-26,1835.0,1835.0,1832.0,1835.0,207184
2004-04-28,1840.0,1840.0,1830.0,1839.0,68608
2004-04-29,1839.0,1839.0,1830.0,1835.0,213424
2004-04-30,1830.0,1861.0,1830.0,1840.0,1003932
2004-05-03,1874.0,1875.0,1860.0,1869.0,140168
2004-05-04,1869.0,1875.0,1850.0,1860.0,166591
2004-05-05,1860.0,1870.0,1855.0,1865.0,417908
2004-05-06,1869.0,1870.0,1860.0,1865.0,74664
2004-05-07,1868.0,1895.0,1865.0,1875.0,1349539
2004-05-10,1875.0,1875.0,1860.0,1860.0,21068
2004-05-11,1850.0,1850.0,1840.0,1840.0,199991
2004-05-12,1840.0,1840.0,1840.0,1840.0,492689
2004-05-13,1835.0,1860.0,1835.0,1860.0,194632
2004-05-14,1860.0,1860.0,1840.0,1850.0,215786
2004-05-17,1840.0,1840.0,1830.0,1830.0,315518
2004-05-18,1830.0,1840.0,1820.0,1820.0,296152
2004-05-19,1820.0,1820.0,1800.0,1800.0,330168
2004-05-20,1810.0,1820.0,1800.0,1800.0,32436
2004-05-21,1820.0,1820.0,1800.0,1810.0,2079163
2004-05-24,1810.0,1820.0,1780.0,1780.0,117061
2004-05-25,1780.0,1800.0,1775.0,1800.0,250523
2004-05-26,1800.0,1800.0,1790.0,1800.0,128082
2004-05-27,1795.0,1800.0,1795.0,1795.0,272168
2004-05-28,1795.0,1800.0,1795.0,1795.0,1503981
2004-05-31,1790.0,1795.0,1785.0,1795.0,48989
2004-06-01,1795.0,1800.0,1790.0,1800.0,128486
2004-06-02,1800.0,1810.0,1795.0,1810.0,658200
2004-06-03,1810.0,1810.0,1800.0,1800.0,1207652
2004-06-04,1800.0,1810.0,1790.0,1800.0,293606
2004-06-07,1810.0,1825.0,1810.0,1813.0,254900
2004-06-08,1820.0,1820.0,1819.0,1820.0,250577
2004-06-09,1820.0,1820.0,1800.0,1810.0,60300
2004-06-10,1810.0,1820.0,1800.0,1820.0,28580
2004-06-11,1819.0,1820.0,1819.0,1820.0,23403
2004-06-14,1815.0,1820.0,1815.0,1815.0,105301
2004-06-15,1820.0,1820.0,1815.0,1815.0,137068
