Date,Open,High,Low,Close,Volume
2008-08-25,3480.0,3600.0,3334.0,3405.0,3791038
2008-08-26,3400.0,3550.0,3350.0,3470.0,10192376
2008-08-27,3495.0,3495.0,3300.0,3370.0,5454931
2008-08-28,3370.0,3600.0,3366.0,3500.0,7920938
2008-08-29,3511.0,3750.0,3511.0,3750.0,1206844
2008-09-01,3674.0,3674.0,3555.0,3580.0,4310064
2008-09-02,3550.0,3600.0,3450.0,3525.0,3623236
2008-09-03,3510.0,3628.0,3510.0,3530.0,4288097
2008-09-04,3580.0,3626.0,3480.0,3626.0,3175389
2008-09-05,3525.0,3700.0,3525.0,3650.0,715975
2008-09-08,3733.0,3799.0,3611.0,3640.0,798002
2008-09-09,3640.0,3690.0,3525.0,3650.0,1015209
2008-09-10,3650.0,3650.0,3560.0,3560.0,366021
2008-09-11,3550.0,3595.0,3430.0,3430.0,2703684
2008-09-12,3430.0,3500.0,3430.0,3499.0,1173272
2008-09-15,3400.0,3500.0,3400.0,3430.0,189694
2008-09-16,3480.0,3500.0,3400.0,3400.0,701117
2008-09-17,3400.0,3482.0,3300.0,3330.0,1329959
2008-09-18,3200.0,3384.0,3200.0,3325.0,1864578
2008-09-19,3311.0,3500.0,3311.0,3425.0,763712
2008-09-22,3500.0,3501.0,3311.0,3460.0,1519061
2008-09-23,3400.0,3445.0,3340.0,3410.0,540948
2008-09-25,3350.0,3500.0,3350.0,3380.0,483570
2008-09-26,3370.0,3480.0,3370.0,3420.0,1087302
2008-09-29,3350.0,3355.0,3341.0,3350.0,390563
2008-09-30,3399.0,3400.0,3310.0,3370.0,352347
2008-10-01,3325.0,3490.0,3325.0,3370.0,893119
2008-10-02,3375.0,3500.0,3375.0,3500.0,1489812
2008-10-03,3330.0,3500.0,3330.0,3450.0,396536
2008-10-06,3330.0,3400.0,3300.0,3360.0,801706
2008-10-07,3350.0,3350.0,3100.0,3300.0,2046670
2008-10-08,3250.0,3300.0,3155.0,3220.0,1000914
2008-10-09,3201.0,3299.0,3201.0,3299.0,416112
2008-10-10,3175.0,3295.0,3100.0,3290.0,646804
2008-10-13,3300.0,3398.0,3250.0,3349.0,264880
2008-10-14,3349.0,3549.0,3202.0,3440.0,859420
2008-10-15,3420.0,3590.0,3380.0,3471.0,848315
2008-10-16,3490.0,3490.0,3250.0,3300.0,189556
2008-10-17,3250.0,3400.0,3250.0,3300.0,794849
2008-10-20,3200.0,3348.0,3200.0,3315.0,151561
2008-10-21,3320.0,3320.0,3255.0,3300.0,88757
2008-10-22,3250.0,3450.0,3250.0,3450.0,231750
2008-10-23,3235.0,3275.0,3220.0,3240.0,650685
2008-10-24,3260.0,3260.0,3070.0,3130.0,820149
2008-10-27,3101.0,3180.0,3025.0,3059.0,295833
2008-10-28,3050.0,3174.0,3050.0,3100.0,491035
2008-10-29,3200.0,3200.0,3060.0,3180.0,1814665
2008-10-30,3175.0,3275.0,3150.0,3275.0,561946
2008-10-31,3275.0,3420.0,3200.0,3420.0,342978
2008-11-03,3420.0,3600.0,3101.0,3419.0,135760
2008-11-04,3500.0,3849.0,3325.0,3700.0,1609940
2008-11-05,3699.0,3699.0,3325.0,3450.0,350686
2008-11-06,3300.0,3400.0,3250.0,3300.0,1604664
2008-11-07,3240.0,3345.0,3240.0,3310.0,283420
2008-11-10,3345.0,3575.0,3345.0,3400.0,404959
2008-11-11,3600.0,3600.0,3356.0,3401.0,265762
2008-11-12,3400.0,3405.07,3370.0,3398.0,310803
2008-11-13,3399.0,3450.0,3390.0,3450.0,281618
2008-11-14,3500.0,3593.0,3400.0,3550.0,456102
2008-11-17,3363.0,3550.0,3363.0,3494.0,73310
2008-11-18,3356.0,3468.0,3245.0,3468.0,574990
2008-11-19,3500.0,3500.0,3360.0,3468.0,984923
2008-11-20,3400.0,3473.0,,3430.0,982609
2008-11-21,3360.0,3495.0,3360.0,3495.0,153710
2008-11-24,3495.0,3495.0,3426.0,3489.0,34999
2008-11-25,3488.0,3508.0,3300.0,3300.0,328115
2008-11-26,3350.0,3580.0,3305.0,3479.0,439016
