Date,Open,High,Low,Close,Volume
2003-09-29,25750.0,26400.0,25750.0,26400.0,148900
2003-09-30,25700.0,26300.0,25210.0,25700.0,441054
2003-10-01,26000.0,26750.0,25500.0,26000.0,232806
2003-10-02,25750.0,26500.0,25700.0,25750.0,112594
2003-10-03,26309.0,26400.0,25200.0,26309.0,217953
2003-10-06,26350.0,26500.0,25500.0,26500.0,167284
2003-10-07,26300.0,26400.0,25810.0,26300.0,59056
2003-10-08,26700.0,26900.0,26400.0,26700.0,104715
2003-10-09,27750.0,27840.0,26700.0,27750.0,171205
2003-10-10,27945.0,27950.0,27100.0,27945.0,233798
2003-10-13,28103.0,28400.0,27545.0,28103.0,224269
2003-10-14,27620.0,28650.0,27300.0,27620.0,141965
2003-10-15,27800.0,27800.0,27400.0,27800.0,142598
2003-10-16,28000.0,28001.0,27500.0,28000.0,72041
2003-10-17,28990.0,28990.0,28100.0,28990.0,153032
2003-10-20,29300.0,29390.0,28551.0,29300.0,75340
2003-10-21,28600.0,29600.0,28410.0,28600.0,157395
2003-10-22,28800.0,29000.0,28000.0,28800.0,272610
2003-10-23,28120.0,28900.0,28120.0,28790.0,90060
2003-10-24,28001.0,28400.0,27925.0,28001.0,210821
2003-10-27,28300.0,28500.0,27300.0,28300.0,177927
2003-10-28,28700.0,29000.0,28100.0,28700.0,273549
2003-10-29,29200.0,29500.0,28500.0,29200.0,88267
2003-10-30,29000.0,29795.0,28000.0,29700.0,163367
2003-10-31,29500.0,29950.0,29200.0,29500.0,465278
2003-11-03,29000.0,29899.0,28500.0,29000.0,196448
2003-11-04,29400.0,29400.0,28610.0,28690.0,104814
2003-11-05,28710.0,28900.0,28200.0,28710.0,216130
2003-11-06,29100.0,29400.0,28500.0,29100.0,188358
2003-11-07,30300.0,30300.0,29200.0,30300.0,130549
2003-11-10,30290.0,30290.0,29500.0,30001.0,48270
2003-11-11,29700.0,30000.0,29500.0,29700.0,127975
2003-11-12,29200.0,29950.0,29150.0,29200.0,85886
2003-11-13,28810.0,29500.0,28700.0,28810.0,88018
2003-11-14,28550.0,28800.0,28410.0,28550.0,505821
2003-11-17,28150.0,28500.0,27700.0,28150.0,280596
2003-11-18,27800.0,28300.0,27715.0,27800.0,295033
2003-11-19,27800.0,28200.0,27200.0,27800.0,125877
2003-11-20,27400.0,27910.0,27100.0,27400.0,204401
2003-11-21,27400.0,27440.8,26950.0,27400.0,393065
2003-11-24,27099.0,27300.0,26900.0,27099.0,163374
2003-11-25,27190.0,27400.0,27000.0,27190.0,72171
2003-11-26,27000.0,27300.0,26800.0,27000.0,414399
2003-11-27,27400.0,27400.0,26700.0,27400.0,69024
2003-11-28,27400.0,27400.0,27000.0,27400.0,147440
2003-12-01,28899.0,28980.0,27500.0,28899.0,215760
2003-12-02,29000.0,29500.0,28700.0,29000.0,146132
2003-12-03,28000.0,29100.0,27750.0,28000.0,472920
2003-12-04,26111.0,27500.0,26000.0,26111.0,594180
2003-12-05,27100.0,27100.0,25800.0,27100.0,598847
2003-12-08,27120.0,27220.0,26600.0,27120.0,449518
2003-12-09,27500.0,27700.0,27000.0,27500.0,347614
2003-12-10,27200.0,27500.0,27000.0,27200.0,126535
2003-12-11,26855.0,27500.0,26500.0,26855.0,241783
2003-12-12,27000.0,27227.2,26700.0,27000.0,198695
2003-12-15,27500.0,27500.0,26800.0,27500.0,95292
2003-12-17,27400.0,28200.0,26999.0,27400.0,289528
2003-12-18,27400.0,28000.0,26998.0,27400.0,261064
2003-12-19,28100.0,28400.0,27400.0,28100.0,113070
2003-12-22,29000.0,29000.0,28100.0,29000.0,102479
2003-12-23,29000.0,29300.0,28600.0,29000.0,100486
2003-12-24,29000.0,29200.0,28510.0,29200.0,24254
2003-12-29,29200.0,29500.0,28620.0,29200.0,61747
2003-12-30,29200.0,29200.0,28800.0,29200.0,32079
2004-01-02,29150.0,29500.0,29000.0,29150.0,59962
2004-01-05,28900.0,29300.0,28300.0,28900.0,37645
2004-01-06,29400.0,29450.0,28900.0,29400.0,40780
2004-01-07,29399.0,29500.0,29300.0,29417.0,52734
2004-01-08,28800.0,29500.0,28300.0,28800.0,78802
2004-01-09,28850.0,29399.0,28400.0,28850.0,126131
2004-01-12,28600.0,29600.0,28600.0,29401.0,0
2004-01-13,30900.0,31300.0,29750.0,30900.0,0
2004-01-14,31112.0,32800.0,31112.0,32000.0,0
2004-01-15,32499.0,32500.0,31000.0,32499.0,0
2004-01-16,33948.0,33948.0,32140.0,33948.0,0
2004-01-19,33900.0,34001.0,33500.0,33800.0,0
2004-01-20,33000.0,34000.0,32600.0,33000.0,0
2004-01-21,33000.0,33300.0,32001.0,33000.0,0
2004-01-22,34500.0,34800.0,33000.0,34500.0,0
2004-01-23,35500.0,35500.0,34005.0,35500.0,0
2004-01-26,36100.0,36113.0,35300.0,36100.0,0
2004-01-27,37002.0,37600.0,35201.0,37002.0,0
2004-01-28,35100.0,37200.0,34800.0,35100.0,0
2004-01-29,34000.0,35000.0,33800.0,34000.0,0
2004-01-30,33500.0,34200.0,32800.0,32800.0,0
2004-02-02,32675.0,33000.0,31900.0,32675.0,0
2004-02-03,32600.0,33200.0,32020.0,32600.0,0
2004-02-04,31700.0,32700.0,31550.0,31700.0,0
2004-02-05,30999.0,32000.0,30800.0,30999.0,0
2004-02-06,31001.0,31600.0,30750.0,31000.0,0
2004-02-09,30500.0,31840.0,30500.0,30500.0,141460
2004-02-10,31050.0,31200.0,30100.0,31050.0,224910
2004-02-11,30600.0,31300.0,30600.0,30600.0,242990
2004-02-12,30430.0,31000.0,30000.0,30430.0,213315
2004-02-13,30350.0,31000.0,29850.0,30350.0,326260
2004-02-16,29790.0,30100.0,29250.0,30000.0,279522
2004-02-17,30000.0,30700.0,29850.0,30610.0,206623
2004-02-18,30600.0,30900.0,30300.0,30490.0,465896
2004-02-19,31000.0,31000.0,30000.0,30000.0,266715
2004-02-20,30001.0,30001.0,29100.0,29200.0,236513
2004-02-23,29300.0,29300.0,27880.0,28300.0,389443
2004-02-24,28300.0,28900.0,27700.0,27800.0,390124
2004-02-25,28000.0,28600.0,27300.0,28497.0,238650
2004-02-26,28800.0,29459.0,28800.0,29400.0,224502
2004-02-27,29900.0,30200.0,29200.0,29500.0,126897
2004-03-01,30000.0,30400.0,29800.0,30400.0,206436
2004-03-02,30500.0,30790.0,30100.0,30400.0,347742
2004-03-03,31100.0,31100.0,30000.0,30440.0,94219
2004-03-04,30440.0,30440.0,29899.0,29950.0,100185
2004-03-05,29900.0,30000.0,29210.0,29400.0,109036
2004-03-08,29400.0,29665.0,29210.0,29450.0,51481
2004-03-09,29300.0,29400.0,28510.0,28900.0,94577
2004-03-10,29000.0,29600.0,28140.0,28999.0,86329
2004-03-11,28950.0,29250.0,28000.0,29100.0,237334
2004-03-12,28120.0,30600.0,28120.0,30400.0,319907
2004-03-15,30400.0,30400.0,29700.0,30000.0,162924
2004-03-16,30000.0,30500.0,29500.0,30400.0,327474
2004-03-17,30600.0,30600.0,29500.0,30010.0,146597
2004-03-18,30000.0,30600.0,30000.0,30420.0,427670
2004-03-19,30000.0,31000.0,30000.0,30600.0,63899
2004-03-23,30550.0,30700.0,29450.0,29800.0,198695
2004-03-24,29800.0,30550.0,29300.0,29500.0,154101
2004-03-25,30000.0,30400.0,29040.0,29250.0,180355
2004-03-26,29326.0,29540.0,27700.0,28005.0,191332
2004-03-29,28000.0,28350.0,27500.0,28000.0,158741
2004-03-30,27500.0,27800.0,27000.0,27800.0,181456
2004-03-31,28490.0,28490.0,27500.0,27800.0,207325
2004-04-01,27800.0,28100.0,27600.0,27750.0,107697
2004-04-02,27700.0,27850.0,27600.0,27850.0,139670
2004-04-05,27850.0,27850.0,27400.0,27800.0,105328
2004-04-06,27500.0,27850.0,27500.0,27650.0,180270
2004-04-07,27650.0,28600.0,27500.0,27700.0,199494
2004-04-08,27550.0,27700.0,27500.0,27500.0,279310
2004-04-13,27500.0,28000.0,27500.0,27750.0,267355
2004-04-15,27750.0,27950.0,27000.0,27000.0,154489
2004-04-16,26800.0,26900.0,26000.0,26200.0,115231
2004-04-19,26400.0,26400.0,25000.0,25300.0,404374
2004-04-20,25300.0,26000.0,25110.0,25750.0,426082
2004-04-21,25600.0,26295.0,25300.0,26000.0,325980
2004-04-22,26500.0,26500.0,25510.0,25801.0,446194
2004-04-23,25990.0,25990.0,25200.0,25696.0,263847
2004-04-26,25975.0,25975.0,24800.0,25285.0,226056
2004-04-28,25280.0,25900.0,24600.0,24700.0,224305
2004-04-29,24500.0,24900.0,23600.0,24195.0,305554
2004-04-30,24100.0,24600.0,23850.0,24000.0,237147
2004-05-03,24000.0,24400.0,23600.0,24100.0,101148
2004-05-04,24400.0,24600.0,24100.0,24230.0,183982
2004-05-05,24900.0,24900.0,24100.0,24600.0,275898
2004-05-06,24550.0,24650.0,23500.0,23600.0,352543
2004-05-07,23600.0,23600.0,22800.0,23400.0,268489
2004-05-10,23000.0,23400.0,21600.0,22000.0,269118
2004-05-11,22100.0,23200.0,22000.0,22600.0,303176
2004-05-12,22600.0,23000.0,22399.0,22700.0,115829
2004-05-13,22500.0,23600.0,22500.0,23200.0,67916
2004-05-14,23200.0,23500.0,22400.0,22600.0,247655
2004-05-17,22975.0,23300.0,22000.0,22700.0,211328
2004-05-18,22700.0,23100.0,21000.0,21400.0,337561
2004-05-19,22000.0,22680.0,21600.0,22650.0,370938
2004-05-20,22500.0,23000.0,21600.0,22500.0,210685
2004-05-21,22500.0,23500.0,22500.0,23000.0,301794
2004-05-24,23300.0,23900.0,22800.0,22800.0,326839
2004-05-25,22800.0,23685.25,22800.0,23350.0,190515
2004-05-26,23350.0,24700.0,23350.0,24010.0,394756
2004-05-27,24000.0,25000.0,23976.0,24375.0,310511
2004-05-28,24800.0,24800.0,23800.0,23948.0,191770
2004-05-31,23800.0,24400.0,23700.0,24260.0,40303
2004-06-01,24600.0,24600.0,24100.0,24400.0,70276
2004-06-02,24200.0,24800.0,24200.0,24400.0,175734
2004-06-03,24400.0,24700.0,23701.0,24001.0,183263
2004-06-04,23603.0,24400.0,23603.0,23750.0,134472
2004-06-07,24000.0,24400.0,23600.0,24199.0,158063
2004-06-08,24199.0,25000.0,24100.0,24800.0,206354
2004-06-09,24700.0,25100.0,24300.0,24401.0,150982
2004-06-10,24900.0,24900.0,23800.0,24500.0,385607
2004-06-11,24500.0,24855.0,24100.0,24350.0,183070
2004-06-14,24200.0,24400.0,23900.0,24030.0,153605
2004-06-15,24000.0,24000.0,23250.0,24000.0,174595
2004-06-17,23500.0,24800.0,23500.0,24050.0,368927
2004-06-18,23900.0,24490.0,23600.0,24160.0,186931
2004-06-21,24299.0,24299.0,23890.0,23959.0,89190
2004-06-22,24000.0,24020.0,23800.0,23860.0,157555
2004-06-23,23860.0,23860.0,23299.0,23500.0,239260
2004-06-24,23500.0,24000.0,23500.0,23700.0,85478
2004-06-25,23800.0,24200.0,23800.0,24000.0,100327
2004-06-28,23900.0,24200.0,23300.0,23600.0,69138
2004-06-29,23600.0,23800.0,22900.0,23400.0,195008
2004-06-30,23800.0,23900.0,23115.0,23500.0,104806
2004-07-01,23500.0,23900.0,23400.0,23800.0,84596
2004-07-02,23600.0,23601.0,23400.0,23400.0,83324
2004-07-05,23000.0,23600.0,23000.0,23600.0,30749
2004-07-06,23600.0,23600.0,23100.0,23200.0,48961
2004-07-07,23200.0,23400.0,22100.0,22900.0,60395
2004-07-08,22500.0,22880.0,22199.0,22200.0,130591
2004-07-09,22100.0,22500.0,21900.0,22500.0,107957
2004-07-12,22300.0,23000.0,22300.0,22590.0,36129
2004-07-13,22951.0,23100.0,22600.0,22900.0,231070
2004-07-14,22800.0,23200.0,22500.0,23000.0,83148
2004-07-15,23150.0,23150.0,22850.0,22900.0,26044
2004-07-16,22900.0,22900.0,22000.0,22300.0,87383
2004-07-19,22300.0,22300.0,21200.0,21500.0,142177
2004-07-20,21550.0,22300.0,21300.0,22300.0,79693
2004-07-21,22500.0,22700.0,22400.0,22700.0,197355
2004-07-22,22400.0,23100.0,22400.0,22500.0,129135
2004-07-23,22750.0,23000.0,22250.0,22970.0,194863
2004-07-26,22970.0,23363.0,22850.0,23200.0,185058
2004-07-27,23200.0,23700.0,22800.0,23400.0,143194
2004-07-28,23700.0,23900.0,23300.0,23700.0,261123
2004-07-29,23500.0,24000.0,23462.0,23980.0,188325
2004-07-30,23982.0,24000.0,23600.0,24000.0,106996
2004-08-02,24000.0,24400.0,23750.0,24302.0,83616
2004-08-03,24400.0,24750.0,24300.0,24470.0,107946
2004-08-04,24500.0,24600.0,24100.0,24600.0,113092
2004-08-05,24700.0,25000.0,24599.0,25000.0,154826
2004-08-06,24900.0,24900.0,24500.0,24500.0,91703
2004-08-10,24400.0,24750.0,24320.0,24575.0,243777
2004-08-11,24800.0,25200.0,24800.0,25150.0,299277
2004-08-12,25150.0,27000.0,25000.0,26550.0,325938
2004-08-13,27000.0,27601.0,26900.0,27600.0,572926
2004-08-16,27600.0,29200.0,27600.0,29200.0,304350
2004-08-17,28800.0,30175.0,28800.0,29120.0,1125754
2004-08-18,28600.0,29100.0,27900.0,28500.0,493135
2004-08-19,28500.0,29100.0,28150.0,29100.0,220461
2004-08-20,29100.0,29800.0,28700.0,29300.0,291358
2004-08-23,28800.0,29400.0,28500.0,29300.0,269021
2004-08-24,29300.0,29300.0,28800.0,28900.0,200316
2004-08-25,28500.0,29200.0,28400.0,28600.0,151013
2004-08-26,29000.0,29000.0,28200.0,28410.0,259272
2004-08-27,28200.0,29300.0,28200.0,29000.0,228024
2004-08-30,29000.0,29100.0,28800.0,29100.0,88827
2004-08-31,29000.0,29550.0,29000.0,29550.0,270005
2004-09-01,29775.0,29775.0,28980.0,29150.0,426047
2004-09-02,29050.0,29300.0,28550.0,28910.0,235246
2004-09-03,28910.0,29200.0,28750.0,29200.0,241517
2004-09-06,29200.0,29550.0,29200.0,29550.0,57922
2004-09-07,29500.0,29500.0,28800.0,28900.0,119803
2004-09-08,28900.0,29200.0,28500.0,29000.0,88714
2004-09-09,29000.0,29050.0,28600.0,29000.0,307077
2004-09-10,29198.0,29200.0,28400.0,28401.0,119376
2004-09-13,28400.0,28700.0,28400.0,28651.0,73594
2004-09-14,28649.0,28649.0,28401.0,28450.0,269501
2004-09-15,28449.0,28700.0,28220.0,28350.0,155745
2004-09-16,28350.0,28950.0,28300.0,28400.0,416378
2004-09-17,28449.0,28900.0,28321.0,28705.0,97274
2004-09-20,28850.0,28900.0,28200.0,28299.0,78436
2004-09-21,28299.0,28350.0,27600.0,27800.0,136751
2004-09-22,27600.0,28400.0,27500.0,27800.0,97901
2004-09-23,27800.0,28200.0,27700.0,27800.0,81491
2004-09-27,27501.0,28000.0,27501.0,27800.0,343360
2004-09-28,27800.0,28200.0,27700.0,28000.0,110212
2004-09-29,28000.0,28500.0,27700.0,27800.0,145336
2004-09-30,27500.0,27650.0,27200.0,27200.0,246208
2004-10-01,27500.0,27800.0,26800.0,26800.0,157071
2004-10-04,27000.0,27150.0,26200.0,26216.0,114221
2004-10-05,26200.0,27000.0,26105.0,26500.0,130370
2004-10-06,26600.0,27400.0,26600.0,27305.0,113096
2004-10-07,27500.0,28200.0,27350.0,28110.0,131679
2004-10-08,28000.0,29200.0,23825.0,28210.0,183402
2004-10-11,28210.0,28210.0,27350.0,27400.0,132090
2004-10-12,27400.0,27400.0,26500.0,26770.0,132594
2004-10-13,26010.0,26490.0,25300.0,25700.0,414624
2004-10-14,25500.0,25601.0,25200.0,25400.0,252885
2004-10-15,25500.0,26000.0,25200.0,25300.0,107008
2004-10-18,25400.0,25700.0,25200.0,25400.0,139240
2004-10-19,25400.0,25800.0,24650.0,25195.0,224841
2004-10-20,24800.0,25000.0,24020.0,24530.0,284450
2004-10-21,24550.0,24880.0,24530.0,24850.0,62159
2004-10-22,24880.0,24999.0,24700.0,24900.0,47863
2004-10-25,24799.0,25200.0,24400.0,24400.0,140156
2004-10-26,24700.0,24700.0,23500.0,24351.0,245653
2004-10-27,24650.0,24801.0,24400.0,24700.0,294174
2004-10-28,24700.0,25000.0,23600.0,23600.0,307950
2004-10-29,23600.0,24000.0,23000.0,23400.0,367256
2004-11-01,23400.0,23800.0,23100.0,23399.0,123478
2004-11-02,23500.0,23500.0,22900.0,23000.0,173518
2004-11-03,23399.0,23399.0,22224.0,22700.0,143127
2004-11-04,22500.0,22900.0,22300.0,22440.0,136622
2004-11-05,22461.0,23100.0,22440.0,22820.0,652663
2004-11-08,22950.0,23500.0,22950.0,23200.0,227689
2004-11-09,23440.0,24500.0,23440.0,24100.0,138914
2004-11-10,24100.0,24490.0,23350.0,23600.0,227076
2004-11-11,23500.0,23501.0,23200.0,23300.0,155010
2004-11-12,23450.0,23450.0,22710.0,22900.0,201830
2004-11-15,22900.0,23600.0,22700.0,22850.0,681346
2004-11-16,22850.0,23400.0,22700.0,22975.0,72280
2004-11-17,22975.0,22975.0,21600.0,22350.0,274897
2004-11-18,22300.0,22950.0,21750.0,22895.0,182741
2004-11-19,22895.0,22895.0,21800.0,22000.0,257816
2004-11-22,22000.0,22000.0,21150.0,21300.0,267596
2004-11-23,21500.0,22000.0,21200.0,21340.0,131701
2004-11-24,21340.0,21600.0,20800.0,21161.0,309056
2004-11-25,21200.0,21400.0,20800.0,21389.0,154710
2004-11-26,21200.0,21300.0,20299.0,21100.0,197658
2004-11-29,21100.0,21800.0,21100.0,21300.0,150707
