Date,Open,High,Low,Close,Volume
2011-12-09,420.0,455.0,420.0,422.0,2084171
2011-12-12,435.0,450.0,425.0,426.0,1034673
2011-12-13,427.0,439.0,427.0,434.0,2396855
2011-12-14,434.0,440.0,431.0,440.0,408464
2011-12-15,450.0,465.0,436.0,440.0,451882
2011-12-19,440.0,460.0,440.0,442.0,314119
2011-12-20,443.0,447.0,430.0,435.0,1029337
2011-12-21,436.0,445.0,433.0,440.0,933626
2011-12-22,445.0,445.0,428.0,430.0,1234310
2011-12-23,431.0,431.0,425.0,425.0,700678
2011-12-28,425.0,430.0,415.0,417.0,1237005
2011-12-29,425.0,425.0,405.0,405.0,1440588
2011-12-30,406.0,412.0,406.0,406.0,109354
2012-01-03,406.0,419.0,403.0,406.0,1719050
2012-01-04,406.0,412.0,402.0,405.0,752278
2012-01-05,406.0,407.0,401.0,402.0,799552
2012-01-06,402.0,410.0,402.0,402.0,799867
2012-01-09,402.0,410.0,400.0,401.0,898877
2012-01-10,401.0,419.0,400.0,410.0,1191970
2012-01-11,410.0,415.0,410.0,410.0,770107
2012-01-12,410.0,411.0,407.0,407.0,983872
2012-01-13,406.0,412.0,406.0,407.0,742998
2012-01-16,408.0,414.0,407.0,408.0,320171
2012-01-17,407.0,410.0,407.0,408.0,166207
2012-01-18,407.0,410.0,407.0,407.0,577808
2012-01-19,406.0,415.0,406.0,410.0,304028
2012-01-20,410.0,414.0,408.0,412.0,396206
2012-01-23,412.0,420.0,412.0,416.0,1366308
2012-01-24,417.0,419.0,415.0,419.0,951554
2012-01-25,415.0,418.0,414.0,415.0,656090
2012-01-26,416.0,417.0,415.0,416.0,366568
2012-01-27,415.0,418.0,415.0,416.0,563338
2012-01-30,416.0,419.0,415.0,418.0,297805
2012-01-31,416.0,418.0,416.0,417.0,681447
2012-02-01,416.0,430.0,416.0,428.0,288722
2012-02-02,427.0,435.0,425.0,430.0,709520
2012-02-03,422.0,430.0,422.0,430.0,385534
2012-02-06,428.0,439.0,428.0,439.0,333584
2012-02-07,439.0,439.0,430.0,431.0,333046
2012-02-08,430.0,438.0,430.0,438.0,94518
2012-02-09,434.0,439.0,434.0,436.0,564010
2012-02-10,436.0,445.0,436.0,440.0,117877
2012-02-13,437.0,460.0,437.0,455.0,310099
2012-02-14,455.0,455.0,445.0,451.0,378795
2012-02-15,451.0,460.0,450.0,460.0,524590
2012-02-16,455.0,460.0,455.0,456.0,165765
2012-02-17,451.0,465.0,451.0,460.0,322575
2012-02-20,458.0,460.0,455.0,456.0,128746
2012-02-21,456.0,462.0,456.0,461.0,472544
2012-02-22,461.0,465.0,461.0,465.0,243615
2012-02-23,465.0,470.0,465.0,470.0,146392
2012-02-24,470.0,470.0,459.0,470.0,1256827
2012-02-27,466.0,470.0,460.0,460.0,193319
2012-02-28,460.0,468.0,460.0,465.0,69113
2012-02-29,465.0,475.0,465.0,473.0,146125
2012-03-01,473.0,489.0,473.0,479.0,69864
2012-03-02,475.0,490.0,475.0,490.0,111932
2012-03-05,489.0,489.0,480.0,482.0,49895
2012-03-06,481.0,481.0,470.0,470.0,66191
2012-03-07,470.0,490.0,470.0,490.0,38732
2012-03-08,480.0,490.0,479.0,490.0,89123
2012-03-09,481.0,499.0,481.0,490.0,41549
2012-03-12,480.0,495.0,480.0,490.0,128917
2012-03-13,485.0,490.0,481.0,481.0,128343
2012-03-14,485.0,490.0,479.0,490.0,257566
2012-03-15,490.0,495.0,480.0,495.0,130989
2012-03-16,479.0,495.0,479.0,483.0,61163
2012-03-19,483.0,494.0,461.0,478.0,62687
2012-03-20,478.0,488.0,470.0,482.0,107274
2012-03-22,482.0,489.0,480.0,488.0,79145
2012-03-23,480.0,494.0,475.0,485.0,125201
2012-03-26,498.0,515.0,485.0,514.0,114775
2012-03-27,510.0,530.0,506.0,529.0,122915
2012-03-28,530.0,535.0,515.0,525.0,73273
2012-03-29,525.0,550.0,525.0,549.0,64000
2012-03-30,541.0,549.0,530.0,545.0,253201
2012-04-02,525.0,544.0,522.0,544.0,432917
2012-04-03,530.0,544.0,530.0,535.0,357173
2012-04-04,532.0,535.0,532.0,534.0,93166
2012-04-05,525.0,535.0,522.0,529.0,295598
2012-04-10,530.0,530.0,510.0,510.0,52256
2012-04-11,510.0,525.0,510.0,521.0,60876
2012-04-12,521.0,525.0,521.0,525.0,103092
2012-04-13,517.0,522.0,511.0,511.0,94994
2012-04-16,511.0,515.0,510.0,510.0,265728
2012-04-17,515.0,515.0,510.0,510.0,1253093
2012-04-18,510.0,520.0,510.0,515.0,386908
2012-04-19,515.0,524.0,515.0,520.0,174675
2012-04-20,511.0,520.0,511.0,520.0,88877
2012-04-23,511.0,520.0,511.0,517.0,33174
2012-04-24,515.0,520.0,515.0,516.0,38642
2012-04-25,516.0,525.0,511.0,516.0,45817
2012-04-26,515.0,520.0,512.0,515.0,108808
2012-04-30,515.0,520.0,515.0,520.0,55682
2012-05-02,520.0,523.0,518.0,519.0,50855
2012-05-03,518.0,519.0,515.0,516.0,59597
2012-05-04,517.0,525.0,516.0,520.0,549780
2012-05-07,525.0,525.0,516.0,517.0,307661
2012-05-08,519.0,525.0,511.0,525.0,223286
2012-05-09,520.0,520.0,510.0,520.0,111609
2012-05-10,515.0,520.0,510.0,511.0,88165
2012-05-11,511.0,520.0,510.0,520.0,123551
2012-05-14,516.0,520.0,505.0,509.0,104203
2012-05-15,500.0,509.0,500.0,505.0,126248
2012-05-16,505.0,508.0,501.0,505.0,78633
2012-05-17,505.0,505.0,490.0,499.0,429530
2012-05-18,505.0,505.0,493.0,500.0,240596
2012-05-21,500.0,509.0,500.0,509.0,77738
2012-05-22,508.0,515.0,501.0,515.0,427733
2012-05-23,515.0,520.0,510.0,515.0,373246
2012-05-24,515.0,528.0,515.0,516.0,162271
2012-05-25,517.0,530.0,510.0,511.0,247977
2012-05-28,500.0,503.0,500.0,500.0,543681
2012-05-29,501.0,504.0,500.0,504.0,30175
2012-05-30,504.0,518.0,504.0,510.0,473642
2012-05-31,505.0,510.0,485.0,490.0,264956
2012-06-01,490.0,510.0,490.0,500.0,175670
2012-06-04,500.0,510.0,490.0,504.0,67071
2012-06-05,505.0,516.0,500.0,506.0,55997
2012-06-06,506.0,507.0,490.0,490.0,47430
2012-06-07,490.0,510.0,490.0,502.0,338297
2012-06-08,502.0,510.0,496.0,496.0,189384
2012-06-11,495.0,505.0,488.0,495.0,416878
2012-06-12,495.0,505.0,491.0,495.0,129328
2012-06-13,500.0,500.0,490.0,491.0,348754
2012-06-14,500.0,500.0,493.0,495.0,630004
2012-06-15,496.0,496.0,491.0,491.0,24777
2012-06-18,491.0,496.0,490.0,494.0,297613
2012-06-19,494.0,494.0,490.0,494.0,185568
2012-06-20,490.0,500.0,490.0,495.0,226424
2012-06-21,495.0,509.0,495.0,509.0,73000
2012-06-22,509.0,510.0,495.0,510.0,226711
2012-06-25,510.0,520.0,500.0,506.0,80064
2012-06-26,506.0,520.0,502.0,510.0,209140
2012-06-27,505.0,510.0,505.0,510.0,300870
2012-06-28,510.0,510.0,505.0,510.0,257133
2012-06-29,507.0,515.0,507.0,512.0,1464764
2012-07-02,511.0,525.0,,515.0,52971
2012-07-03,515.0,530.0,515.0,520.0,115909
2012-07-04,530.0,549.0,530.0,549.0,94184
2012-07-05,545.0,549.0,535.0,545.0,183125
2012-07-06,531.0,545.0,531.0,545.0,197258
2012-07-09,535.0,545.0,535.0,540.0,50385
2012-07-10,540.0,545.0,535.0,537.0,179593
2012-07-11,549.0,549.0,535.0,540.0,898911
2012-07-12,540.0,549.0,535.0,540.0,300048
2012-07-13,537.0,540.0,520.0,539.0,609958
2012-07-16,519.0,540.0,519.0,540.0,7026
2012-07-17,535.0,540.0,520.0,535.0,58658
2012-07-18,535.0,545.0,535.0,545.0,253252
2012-07-19,545.0,575.0,510.0,545.0,168443
2012-07-20,545.0,570.0,545.0,560.0,134668
2012-07-23,560.0,560.0,550.0,550.0,112651
2012-07-24,551.0,560.0,550.0,560.0,303009
2012-07-25,560.0,560.0,552.0,560.0,172204
2012-07-26,574.0,574.0,560.0,560.0,101779
2012-07-27,560.0,565.0,560.0,560.0,160210
2012-07-30,575.0,580.0,560.0,570.0,68747
2012-07-31,569.0,580.0,564.0,565.0,99895
2012-08-01,565.0,580.0,565.0,580.0,64622
2012-08-02,580.0,580.0,572.0,580.0,397142
2012-08-03,580.0,580.0,576.0,576.0,68080
2012-08-06,577.0,580.0,575.0,576.0,275307
