Date,Open,High,Low,Close,Volume
2003-09-29,5681.0,5700.0,5630.0,5681.0,395451
2003-09-30,5675.0,5700.0,5650.0,5675.0,314707
2003-10-01,5720.0,5750.0,5660.0,5720.0,433251
2003-10-02,5710.0,5740.0,5610.0,5710.0,302669
2003-10-03,5710.0,5720.0,5675.0,5710.0,269949
2003-10-06,5754.0,5770.0,5700.0,5754.0,632014
2003-10-07,5765.0,5875.0,5725.0,5765.0,86243
2003-10-08,5899.0,5910.0,5765.0,5899.0,171851
2003-10-09,5900.0,5900.0,5850.0,5900.0,1095227
2003-10-10,5900.0,5900.0,5875.0,5900.0,289640
2003-10-13,5900.0,5920.0,5850.0,5850.0,797815
2003-10-14,5875.0,5900.0,5850.0,5875.0,365886
2003-10-15,5900.0,6000.0,5860.0,5900.0,1459885
2003-10-16,5915.0,5920.0,5850.0,5915.0,455533
2003-10-17,6085.0,6120.0,5950.0,6085.0,1005232
2003-10-20,6095.0,6144.97,6051.0,6095.0,560908
2003-10-21,6095.0,6100.0,6000.0,6000.0,407626
2003-10-22,6005.0,6070.0,6005.0,6005.0,413731
2003-10-23,5970.0,6040.0,5950.0,5970.0,343149
2003-10-24,5970.0,6000.0,5920.0,5970.0,393259
2003-10-27,5970.0,5990.0,5941.0,5970.0,229034
2003-10-28,6000.0,6025.0,5960.0,6000.0,208100
2003-10-29,6000.0,6100.0,5985.0,6000.0,551086
2003-10-30,6030.0,6100.0,6000.0,6030.0,484981
2003-10-31,6030.0,6050.0,5970.0,5980.0,205354
2003-11-03,5900.0,6000.0,5900.0,5900.0,279641
2003-11-04,5970.0,6100.0,5950.0,5970.0,1078125
2003-11-05,5975.0,6000.0,5970.0,5975.0,1077008
2003-11-06,5965.0,6050.0,5965.0,5965.0,607839
2003-11-07,6130.0,6150.0,6030.0,6130.0,1105368
2003-11-10,6130.0,6251.0,6130.0,6251.0,485101
2003-11-11,6220.0,6255.0,6200.0,6220.0,405231
2003-11-12,6220.0,6320.0,6220.0,6220.0,265252
2003-11-13,6240.0,6300.0,6220.0,6240.0,159944
2003-11-14,6200.0,6245.0,6120.0,6200.0,142858
