Date,Open,High,Low,Close,Volume
2010-03-29,3010.0,3010.0,3010.0,3010.0,3491
2010-03-30,3015.0,3023.0,3011.0,3011.0,4471
2010-03-31,3010.0,3018.0,3010.0,3018.0,600
2010-04-01,3024.0,3035.0,3019.0,3035.0,498
2010-04-06,3072.0,3072.0,3072.0,3072.0,2400
2010-04-07,3063.0,3077.0,3063.0,3077.0,2364
2010-04-08,3077.0,3077.0,3062.0,3062.0,1180
2010-04-09,3070.0,3070.0,3067.0,3067.0,327
2010-04-12,3100.0,3100.0,3065.0,3065.0,1675
2010-04-13,3070.0,3070.0,3055.0,3055.0,5499
2010-04-14,,,,3055.0,0
2010-04-15,3087.0,3088.0,3087.0,3088.0,1160
2010-04-16,,,,3088.0,0
2010-04-19,3034.0,3034.0,3034.0,3034.0,915
2010-04-20,3054.0,3054.0,3043.0,3043.0,1976
2010-04-21,3043.0,3050.0,3043.0,3050.0,3319
2010-04-22,3034.0,3034.0,3034.0,3034.0,1644
2010-04-23,,,,3034.0,0
2010-04-26,3066.0,3079.0,3066.0,3066.0,2240
2010-04-28,3035.0,3035.0,3007.0,3009.0,41946
2010-04-29,3008.0,3012.0,3007.0,3012.0,3097
2010-04-30,3020.0,3033.0,3020.0,3022.0,2057
2010-05-03,3020.0,3035.0,3020.0,3025.0,3059
2010-05-04,3039.0,3039.0,2985.0,2985.0,569
2010-05-05,2946.0,2962.0,2928.0,2928.0,2678
2010-05-06,2934.0,2934.0,2914.0,2914.0,377
2010-05-07,2860.0,2877.0,2855.0,2863.0,7452
2010-05-10,2908.0,2919.0,2908.0,2919.0,3121
2010-05-11,2900.0,2914.0,2900.0,2914.0,852
2010-05-12,,,,2914.0,0
2010-05-13,2999.0,3000.0,2987.0,3000.0,901
2010-05-14,2946.0,2946.0,2945.0,2945.0,654
2010-05-17,2915.0,2915.0,2898.0,2898.0,692
2010-05-18,2920.0,2920.0,2920.0,2920.0,250
2010-05-19,2885.0,2885.0,2885.0,2885.0,1200
2010-05-20,,,,2885.0,0
2010-05-21,2818.0,2818.0,2750.0,2750.0,4234
2010-05-24,2825.0,2845.0,2825.0,2845.0,1788
2010-05-25,2840.0,2840.0,2776.0,2779.0,2588
2010-05-26,2836.0,2841.0,2836.0,2841.0,71
2010-05-27,2898.0,2898.0,2879.0,2879.0,1082
2010-05-28,2914.0,2914.0,2898.0,2898.0,4404
2010-05-31,,,,2898.0,0
2010-06-01,2847.0,2847.0,2847.0,2847.0,14
2010-06-02,2896.0,2903.0,2891.0,2903.0,14535
2010-06-03,2936.0,2936.0,2922.0,2922.0,12539
2010-06-04,2877.0,2877.0,2848.0,2848.0,1400
2010-06-07,2813.0,2813.0,2794.0,2794.0,20
2010-06-08,2809.0,2824.0,2784.0,2785.0,12073
2010-06-09,2809.0,2820.0,2805.0,2820.0,1468
2010-06-10,2843.0,2843.0,2843.0,2843.0,310
2010-06-11,2827.0,2827.0,2827.0,2827.0,1644
2010-06-14,2891.0,2892.0,2887.0,2892.0,19243
2010-06-15,2921.0,2921.0,2921.0,2921.0,1392
2010-06-17,2956.0,2961.0,2951.0,2951.0,1089
2010-06-18,2946.0,2947.0,2946.0,2947.0,342
2010-06-21,2983.0,2983.0,2959.0,2961.0,12968
2010-06-22,2947.0,2951.0,2947.0,2951.0,6981
2010-06-23,2938.0,2938.0,2925.0,2925.0,8410
2010-06-24,2915.0,2915.0,2905.0,2915.0,2741
2010-06-25,2900.0,2909.0,2900.0,2909.0,2926
2010-06-28,2869.0,2874.0,2869.0,2874.0,350
2010-06-29,2844.0,2844.0,2812.0,2812.0,8424
2010-06-30,2800.0,2800.0,2791.0,2791.0,1354
2010-07-01,2789.0,2792.0,2780.0,2792.0,4874
2010-07-02,2792.0,2792.0,2792.0,2792.0,615
2010-07-05,2788.0,2795.0,2787.0,2787.0,15593
2010-07-06,2838.0,2838.0,2838.0,2838.0,1514
2010-07-07,2831.0,2831.0,2827.0,2831.0,296
2010-07-08,2867.0,2881.0,2867.0,2868.0,2613
2010-07-09,2884.0,2884.0,2884.0,2884.0,1281
2010-07-12,2884.0,2884.0,2884.0,2884.0,493
2010-07-13,2901.0,2924.0,2901.0,2924.0,2531
2010-07-14,2922.0,2922.0,2904.0,2904.0,7396
2010-07-15,2938.0,2938.0,2938.0,2938.0,199
2010-07-16,2950.0,2950.0,2922.0,2922.0,2021
2010-07-19,2923.0,2923.0,2898.0,2898.0,4249
2010-07-20,2904.0,2904.0,2873.0,2885.0,1532
2010-07-21,2945.0,2965.0,2945.0,2965.0,936
2010-07-22,3004.0,3004.0,3000.0,3000.0,1764
2010-07-23,3015.0,3015.0,3006.0,3006.0,4370
2010-07-26,3036.0,3038.0,3029.0,3038.0,1052
2010-07-27,3050.0,3050.0,3029.0,3029.0,10340
2010-07-28,3018.0,3018.0,3007.0,3008.0,919
2010-07-29,3023.0,3025.0,3022.0,3025.0,1065
2010-07-30,2987.0,2987.0,2987.0,2987.0,171
2010-08-02,3031.0,3062.0,3031.0,3062.0,10792
2010-08-03,3042.0,3048.0,3027.0,3027.0,3907
2010-08-04,3020.0,3020.0,3009.0,3013.0,313
2010-08-05,3022.0,3022.0,3022.0,3022.0,78
2010-08-06,3030.0,3031.0,2997.0,3001.0,697
2010-08-10,2991.0,2991.0,2973.0,2980.0,11097
2010-08-11,2958.0,2958.0,2924.0,2924.0,10980
2010-08-12,2892.0,2895.0,2716.0,2894.0,14095
2010-08-13,2912.0,2912.0,2912.0,2912.0,318
2010-08-16,2917.0,2917.0,2902.0,2902.0,111
2010-08-17,,,,2902.0,0
2010-08-18,,,,2902.0,0
2010-08-19,2920.0,2920.0,2906.0,2906.0,341
2010-08-20,,,,2906.0,0
2010-08-23,2917.0,2917.0,2916.0,2916.0,17000
2010-08-24,2900.0,2900.0,2885.0,2885.0,1575
2010-08-25,2878.0,2878.0,2835.0,2845.0,251079
2010-08-26,2835.0,2835.0,2835.0,2835.0,1457
2010-08-27,2854.0,2871.0,2854.0,2871.0,1344
2010-08-30,2898.0,2916.0,2898.0,2916.0,203
