Date,Open,High,Low,Close,Volume
2003-07-10,4050.0,4150.0,4050.0,4120.0,1039788
2003-07-11,4150.0,4200.0,4120.0,4145.0,1078483
2003-07-14,4140.0,4380.0,4140.0,4380.0,2381727
2003-07-15,4260.0,4290.0,4220.0,4260.0,4424415
2003-07-16,4310.0,4350.0,4250.0,4280.0,3121114
2003-07-17,4250.0,4280.0,4190.0,4235.0,2738127
2003-07-18,4250.0,4400.0,4205.0,4240.0,2736577
2003-07-21,4240.0,4274.0,4200.0,4240.0,1090019
2003-07-22,4200.0,4220.0,4160.0,4219.0,2326833
2003-07-23,4250.0,4290.0,4240.0,4265.0,3286696
2003-07-24,4265.0,4440.0,4250.0,4440.0,4496814
2003-07-25,4440.0,4550.0,4440.0,4455.0,1918060
2003-07-28,4539.0,4539.0,4377.0,4420.0,1852906
2003-07-29,4389.0,4420.0,4330.0,4380.0,2313247
2003-07-30,4395.0,4430.0,4360.0,4367.0,963051
2003-07-31,4310.0,4430.0,4300.0,4430.0,2359075
2003-08-01,4430.0,4520.0,4420.0,4440.0,3666284
2003-08-04,4400.0,4490.0,4400.0,4450.0,1693767
2003-08-05,4470.0,4549.0,4470.0,4505.0,3493918
2003-08-06,4489.0,4489.0,4420.0,4430.0,2759591
2003-08-07,4450.0,4450.0,4330.0,4380.0,2665441
2003-08-08,4400.0,4540.0,4340.0,4514.0,5100793
2003-08-11,4510.0,4550.0,4480.0,4497.0,2350107
2003-08-12,4490.0,4550.0,4480.0,4540.0,2813009
2003-08-13,4570.0,4675.0,4560.0,4660.0,3901741
2003-08-14,4600.0,4620.0,4575.0,4580.0,5265672
2003-08-15,4600.0,4665.0,4565.0,4641.0,2632814
2003-08-18,4650.0,4795.0,4650.0,4725.0,2375771
2003-08-19,4731.0,4760.0,4705.0,4735.0,6427908
2003-08-20,4745.0,4775.0,4650.0,4660.0,2253553
2003-08-21,4699.0,4818.0,4661.0,4810.0,3976232
2003-08-22,4810.0,4870.0,4720.0,4838.0,4355556
2003-08-25,4800.0,4810.0,4750.0,4805.0,657807
2003-08-26,4775.0,4780.0,4610.0,4624.0,4947870
2003-08-27,4625.0,4670.0,4610.0,4644.0,3677058
2003-08-28,4670.0,4775.0,4650.0,4760.0,2637751
2003-08-29,4800.0,4895.0,4760.0,4860.0,2725780
2003-09-01,4860.0,4995.0,4860.0,4950.0,2917240
2003-09-02,4980.0,5000.0,4800.0,4840.0,2988816
2003-09-03,4840.0,4930.0,4811.0,4880.0,3575891
2003-09-04,4900.0,4960.0,4810.0,4948.0,4118065
2003-09-05,4950.0,5120.0,4920.0,5100.0,8264409
2003-09-08,5100.0,,,5210.0,3890134
2003-09-09,5217.0,,,5217.0,7967232
2003-09-10,5190.0,5115.0,5049.0,5064.0,5319467
2003-09-11,5025.0,5065.0,5000.0,5045.0,5604604
2003-09-12,5070.0,5085.0,5035.0,5070.0,5292765
2003-09-15,5060.0,5085.0,5000.0,5060.0,2008830
2003-09-16,5150.0,5160.0,5030.0,5150.0,2338610
2003-09-17,5010.0,5200.0,5010.0,5010.0,2088807
2003-09-18,5045.0,5100.0,4980.0,5045.0,3187201
2003-09-19,5000.0,5110.0,5000.0,5075.0,1560380
2003-09-22,5000.0,5030.0,4935.0,4935.0,3738430
2003-09-23,4861.0,4920.0,4830.0,4861.0,2755484
2003-09-25,4865.0,4900.0,4805.0,4865.0,1447225
2003-09-26,4845.0,4900.0,4805.0,4845.0,1664561
2003-09-29,4865.0,4880.0,4800.0,4865.0,1149521
2003-09-30,4650.0,4850.0,4605.0,4650.0,3754227
2003-10-01,4580.0,4650.0,4550.0,4580.0,2605885
2003-10-02,4580.0,4675.0,4550.0,4675.0,2803172
2003-10-03,4850.0,4865.0,4650.0,4850.0,1844898
2003-10-06,5045.0,5070.0,4681.33,5045.0,1827940
2003-10-07,5000.0,5000.0,4850.0,4850.0,1871188
2003-10-08,4967.0,5035.0,4860.0,4967.0,1388951
2003-10-09,5209.0,5220.0,4990.0,5209.0,2710725
2003-10-10,5250.0,5250.0,5145.0,5250.0,1456131
2003-10-13,5510.0,5510.0,5250.0,5510.0,4162707
2003-10-14,5400.0,5640.0,5360.0,5400.0,2532805
2003-10-15,5600.0,5670.0,5405.0,5600.0,3142837
2003-10-16,5495.0,5630.0,5470.0,5495.0,1382358
2003-10-17,5501.0,5700.0,5490.0,5662.0,1301232
2003-10-20,5642.0,5690.0,5605.0,5642.0,1061175
2003-10-21,5590.0,5670.0,5402.0,5590.0,1807597
2003-10-22,5600.0,5630.0,5410.0,5420.0,2803130
2003-10-23,5275.0,5322.0,5210.0,5275.0,2153606
2003-10-24,5275.0,5330.0,5180.0,5180.0,2848512
2003-10-27,5195.0,5275.0,5135.0,5195.0,1778917
2003-10-28,5325.0,5340.0,5180.0,5325.0,937749
2003-10-29,5330.0,5375.0,5250.0,5323.0,1811481
2003-10-30,5290.0,5650.0,5250.0,5560.0,2269030
2003-10-31,5500.0,5600.0,5410.0,5500.0,2530070
2003-11-03,5468.0,5540.0,5349.58,5468.0,1789401
2003-11-04,5475.0,5540.0,5380.0,5485.0,3003826
2003-11-05,5440.0,5489.0,5375.0,5440.0,2040210
2003-11-06,5420.0,5500.0,5385.0,5470.0,2046416
2003-11-07,5500.0,5570.0,5457.0,5480.0,2197857
2003-11-10,5395.0,5450.0,5310.0,5395.0,1225746
2003-11-11,5234.0,5350.0,5155.0,5234.0,1729564
2003-11-12,5340.0,5350.0,5200.0,5340.0,1359540
2003-11-13,5290.0,5450.0,5275.0,5290.0,933674
2003-11-14,5260.0,5290.0,5180.0,5260.0,6430650
2003-11-17,5199.0,5199.0,5020.0,5029.0,5222787
2003-11-18,5020.0,5095.0,4990.0,5024.0,4355010
2003-11-19,4885.0,4960.0,4860.0,4950.0,4715097
2003-11-20,4820.0,5000.0,4810.0,4820.0,3069818
2003-11-21,4880.0,4900.0,4800.0,4880.0,2483578
2003-11-24,4870.0,4949.0,4830.0,4890.0,2423641
2003-11-25,4968.0,5070.0,4950.0,4968.0,2555261
2003-11-26,4875.0,4949.0,4870.0,4875.0,2521568
