Date,Open,High,Low,Close,Volume
2007-11-14,900.0,935.0,826.0,860.0,21952883
2007-11-15,871.0,910.0,869.0,880.0,6842085
2007-11-16,889.0,890.0,862.0,869.0,1968187
2007-11-19,879.0,879.0,840.0,840.0,2392128
2007-11-20,850.0,855.0,820.0,836.0,1657082
2007-11-21,830.0,850.0,768.0,780.0,7506113
2007-11-22,775.0,800.0,720.0,750.0,9236139
2007-11-23,780.0,780.0,748.0,780.0,2297155
2007-11-26,790.0,798.0,740.0,749.0,3718757
2007-11-27,750.0,795.0,749.0,785.0,3700410
2007-11-28,790.0,790.0,770.0,790.0,3943182
2007-11-29,795.0,845.0,790.0,790.0,779340
2007-11-30,800.0,840.0,774.0,824.0,950646
2007-12-03,835.0,845.0,810.0,830.0,771243
2007-12-04,836.0,845.0,820.0,830.0,608257
2007-12-05,830.0,830.0,800.0,829.0,527956
2007-12-06,830.0,835.0,820.0,830.0,194309
2007-12-07,829.0,836.0,829.0,830.0,345947
2007-12-10,830.0,845.0,825.0,845.0,221617
2007-12-11,843.0,890.0,840.0,870.0,2785801
2007-12-12,880.0,885.0,855.0,870.0,2761965
2007-12-13,870.0,899.0,865.0,880.0,2416058
2007-12-14,885.0,893.0,856.0,878.0,778511
2007-12-18,880.0,880.0,860.0,865.0,1120754
2007-12-19,870.0,870.0,860.0,869.0,197549
2007-12-20,865.0,873.0,865.0,873.0,201004
2007-12-21,874.0,874.0,865.0,874.0,153331
2007-12-24,875.0,875.0,870.0,875.0,488722
2007-12-27,875.0,880.0,870.0,870.0,509681
2007-12-28,890.0,890.0,875.0,880.0,336818
2007-12-31,890.0,890.0,870.0,880.0,990939
2008-01-02,880.0,885.0,871.0,880.0,863905
2008-01-03,880.0,880.0,874.0,875.0,1203517
2008-01-04,880.0,900.0,875.0,890.0,632978
2008-01-07,890.0,925.0,885.0,910.0,1098602
2008-01-08,920.0,929.0,910.0,925.0,698736
2008-01-09,940.0,950.0,890.0,890.0,1115469
2008-01-10,915.0,918.0,880.0,880.0,628622
2008-01-11,880.0,900.0,856.0,860.0,505530
2008-01-14,860.0,860.0,819.0,850.0,788087
2008-01-15,850.0,850.0,795.0,812.0,783322
2008-01-16,810.0,810.0,720.0,799.0,1385519
2008-01-17,820.0,820.0,780.0,815.0,1148346
2008-01-18,800.0,800.0,770.0,775.0,972670
2008-01-21,780.0,780.0,730.0,730.0,1442979
2008-01-22,700.0,749.0,650.0,730.0,1711610
2008-01-23,770.0,800.0,724.0,724.0,218606
2008-01-24,750.0,775.0,750.0,770.0,184315
2008-01-25,775.0,820.0,770.0,779.0,3863009
2008-01-28,799.0,810.0,760.0,795.0,4211644
2008-01-29,770.0,810.0,770.0,805.0,1149770
2008-01-30,810.0,810.0,795.0,805.0,629989
2008-01-31,800.0,805.0,790.0,800.0,870760
2008-02-01,800.0,810.0,800.0,810.0,1134902
2008-02-04,810.0,840.0,802.0,809.0,543736
2008-02-05,810.0,810.0,798.0,798.0,241479
2008-02-06,779.0,810.0,779.0,810.0,893982
2008-02-07,800.0,810.0,790.0,799.0,165457
2008-02-08,810.0,810.0,800.0,800.0,586962
2008-02-11,810.0,810.0,795.0,800.0,749997
2008-02-12,800.0,805.0,790.0,800.0,553734
2008-02-13,790.0,800.0,790.0,790.0,103138
2008-02-14,800.0,810.0,800.0,805.0,1094034
2008-02-15,800.0,810.0,800.0,805.0,2235960
2008-02-18,805.0,840.0,800.0,823.0,1483505
2008-02-19,830.0,845.0,810.0,820.0,1897388
2008-02-20,830.0,830.0,808.0,815.0,560623
2008-02-21,810.0,815.0,800.0,800.0,489324
2008-02-22,790.0,795.0,780.0,795.0,223049
2008-02-25,805.0,810.0,800.0,800.0,364697
2008-02-26,805.0,810.0,802.0,808.0,220162
2008-02-27,810.0,810.0,800.0,807.0,165762
2008-02-28,805.0,814.0,801.0,810.0,1164157
2008-02-29,805.0,812.0,800.0,810.0,3229921
2008-03-03,806.0,812.0,800.0,810.0,495511
2008-03-04,811.0,811.0,800.0,800.0,797321
2008-03-05,800.0,810.0,790.0,805.0,890524
2008-03-06,809.0,810.0,801.0,805.0,339954
2008-03-07,801.0,801.0,796.0,796.0,1543111
2008-03-10,796.0,800.0,796.0,800.0,891675
2008-03-11,798.0,805.0,798.0,805.0,977193
2008-03-12,805.0,820.0,805.0,815.0,1416039
2008-03-13,830.0,830.0,808.0,810.0,2052510
2008-03-14,807.0,810.0,800.0,800.0,101100
2008-03-17,795.0,795.0,741.0,750.0,1056318
2008-03-18,750.0,785.0,743.0,774.0,1123472
2008-03-19,775.0,800.0,770.0,775.0,921238
2008-03-20,770.0,775.0,745.0,770.0,1572890
2008-03-25,780.0,790.0,760.0,760.0,803660
2008-03-26,755.0,790.0,740.0,775.0,1516050
2008-03-27,770.0,770.0,760.0,770.0,569140
2008-03-28,765.0,765.0,745.0,764.0,294269
2008-03-31,775.0,775.0,775.0,775.0,50000
2008-04-01,770.0,770.0,735.0,740.0,421700
2008-04-02,741.0,742.0,722.0,729.0,1079782
2008-04-03,726.0,726.0,706.0,715.0,1209841
2008-04-04,720.0,740.0,720.0,720.0,1522867
2008-04-07,720.0,760.0,720.0,760.0,2232272
2008-04-08,750.0,775.0,740.0,750.0,549466
2008-04-09,740.0,740.0,715.0,715.0,651867
2008-04-10,720.0,721.0,700.0,715.0,4148513
2008-04-11,710.0,714.0,675.0,700.0,2102347
2008-04-14,700.0,700.0,680.0,700.0,858479
2008-04-15,700.0,710.0,695.0,700.0,3718563
2008-04-16,700.0,720.0,695.0,708.0,2244465
2008-04-17,710.0,710.0,696.0,696.0,583440
2008-04-18,696.0,700.0,675.0,694.0,384482
2008-04-21,700.0,725.0,685.0,699.0,93180
2008-04-22,700.0,700.0,688.0,693.0,35531
2008-04-23,698.0,700.0,690.0,698.0,3215344
2008-04-24,695.0,725.0,691.0,715.0,1115038
2008-04-25,740.0,740.0,710.0,717.0,295330
2008-04-29,717.0,740.0,717.0,735.0,1829122
2008-04-30,735.0,745.0,725.0,740.0,609848
2008-05-05,750.0,760.0,730.0,730.0,435172
2008-05-06,749.0,750.0,733.0,743.0,2863528
2008-05-07,750.0,750.0,740.0,745.0,3510869
2008-05-08,748.0,750.0,735.0,745.0,1193163
2008-05-09,745.0,748.0,730.0,745.0,678411
2008-05-12,735.0,745.0,735.0,740.0,321550
2008-05-13,725.0,745.0,725.0,740.0,730072
2008-05-14,740.0,740.0,730.0,740.0,183137
2008-05-15,720.0,739.0,720.0,738.0,193627
2008-05-16,735.0,738.0,730.0,735.0,788765
2008-05-19,734.0,760.0,730.0,750.0,725739
2008-05-20,750.0,780.0,736.0,779.0,466902
2008-05-21,780.0,790.0,760.0,775.0,303504
2008-05-22,765.0,775.0,765.0,770.0,104965
2008-05-23,770.0,775.0,765.0,770.0,524752
2008-05-26,775.0,775.0,755.0,770.0,1519023
2008-05-28,780.0,780.0,770.0,775.0,300176
2008-05-29,770.0,780.0,765.0,770.0,515013
2008-05-30,770.0,775.0,750.0,765.0,307906
2008-06-02,765.0,770.0,750.0,765.0,1022907
2008-06-03,750.0,751.0,732.0,735.0,793348
2008-06-04,727.0,741.0,726.0,730.0,364930
2008-06-05,721.0,755.0,720.0,740.0,2485616
2008-06-06,735.0,745.0,735.0,738.0,246557
2008-06-09,732.0,732.0,717.0,730.0,52596
2008-06-10,717.0,725.0,700.0,710.0,652695
2008-06-11,690.0,720.0,690.0,715.0,319293
2008-06-12,710.0,720.0,700.0,718.0,538122
2008-06-13,725.0,750.0,720.0,724.0,235766
2008-06-17,740.0,750.0,720.0,720.0,223637
2008-06-18,730.0,730.0,700.0,720.0,291941
2008-06-19,700.0,705.0,695.0,705.0,893599
2008-06-20,703.0,703.0,678.0,695.0,151101
2008-06-23,676.0,680.0,670.0,680.0,193812
2008-06-24,690.0,690.0,660.0,670.0,905500
2008-06-25,669.0,695.0,669.0,690.0,642900
2008-06-26,690.0,700.0,680.0,690.0,306133
2008-06-27,665.0,720.0,665.0,720.0,198546
2008-06-30,689.0,700.0,689.0,700.0,173227
2008-07-01,690.0,700.0,600.0,680.0,1498763
2008-07-02,695.0,695.0,675.0,680.0,2377731
2008-07-03,665.0,665.0,626.0,645.0,1286818
2008-07-04,625.0,640.0,610.0,628.0,783359
2008-07-07,625.0,630.0,600.0,625.0,1227531
2008-07-08,615.0,615.0,575.0,600.0,377094
2008-07-09,600.0,600.0,580.0,599.0,1176624
2008-07-10,600.0,610.0,590.0,605.0,4284656
2008-07-11,605.0,606.0,599.0,600.0,156674
2008-07-14,604.0,610.0,600.0,610.0,502300
2008-07-15,609.0,610.0,550.0,600.0,1116947
2008-07-16,596.0,630.0,588.0,630.0,1826923
2008-07-17,670.0,670.0,600.0,635.0,1416242
2008-07-18,625.0,650.0,625.0,630.0,551521
2008-07-21,631.0,631.0,625.0,630.0,812277
2008-07-22,630.0,630.0,620.0,625.0,1034650
2008-07-23,625.0,630.0,620.0,620.0,373342
2008-07-24,625.0,625.0,605.0,620.0,1030813
2008-07-25,600.0,650.0,590.0,620.0,1122008
2008-07-28,620.0,630.0,616.0,619.0,276675
2008-07-29,619.0,619.0,601.0,615.0,1440823
2008-07-30,615.0,625.0,615.0,615.0,355839
2008-07-31,615.0,620.0,615.0,615.0,1042281
2008-08-01,615.0,615.0,600.0,610.0,2468450
2008-08-04,615.0,622.0,590.0,609.0,1876305
2008-08-05,600.0,615.0,590.0,590.0,1716000
2008-08-06,590.0,610.0,590.0,610.0,893791
2008-08-07,610.0,631.0,610.0,630.0,767268
2008-08-08,630.0,645.0,630.0,640.0,506596
2008-08-11,640.0,649.0,626.0,626.0,97659
2008-08-12,625.0,641.0,620.0,641.0,613693
2008-08-13,644.0,660.0,620.0,660.0,173609
2008-08-14,660.0,660.0,660.0,660.0,0
2008-08-15,630.0,660.0,630.0,650.0,124236
2008-08-18,650.0,650.0,650.0,650.0,75287
2008-08-19,640.0,645.0,630.0,645.0,402987
2008-08-20,640.0,651.0,640.0,651.0,64403
2008-08-21,645.0,660.0,645.0,650.0,36700
2008-08-22,650.0,650.0,625.0,650.0,126450
2008-08-25,650.0,650.0,615.0,640.0,52118
2008-08-26,640.0,640.0,615.0,640.0,1868818
2008-08-27,635.0,635.0,625.0,630.0,1474005
2008-08-28,645.0,645.0,626.0,639.0,1447192
2008-08-29,642.0,680.0,635.0,650.0,703745
2008-09-01,650.0,660.0,640.0,654.0,399193
2008-09-02,650.0,660.0,650.0,660.0,422903
2008-09-03,660.0,660.0,636.0,650.0,409033
2008-09-04,636.0,649.0,630.0,630.0,431253
2008-09-05,612.0,639.0,610.0,639.0,432600
2008-09-08,639.0,639.0,633.0,633.0,5176
2008-09-09,630.0,640.0,600.0,630.0,779292
2008-09-10,630.0,635.0,611.0,618.0,187196
2008-09-11,610.0,618.0,606.0,618.0,113530
2008-09-12,620.0,620.0,610.0,620.0,126800
2008-09-15,620.0,620.0,601.0,619.0,105625
2008-09-16,605.0,605.0,575.0,600.0,1071007
2008-09-17,600.0,600.0,570.0,585.0,4144006
2008-09-18,614.0,614.0,555.0,580.0,288776
2008-09-19,585.0,620.0,580.0,600.0,362528
2008-09-22,600.0,615.0,600.0,600.0,650480
2008-09-23,590.0,595.0,580.0,580.0,320196
2008-09-25,580.0,595.0,580.0,593.0,517084
2008-09-26,580.0,590.0,575.0,590.0,1939936
2008-09-29,590.0,600.0,580.0,590.0,1082420
2008-09-30,560.0,590.0,560.0,590.0,101867
2008-10-01,580.0,590.0,570.0,580.0,295811
2008-10-02,580.0,590.0,560.0,580.0,1167576
2008-10-03,584.0,590.0,574.0,590.0,1522132
2008-10-06,560.0,575.0,555.0,570.0,683532
2008-10-07,570.0,572.0,550.0,550.0,1036208
2008-10-08,550.0,550.0,460.0,490.0,660347
2008-10-09,495.0,515.0,470.0,480.0,182456
2008-10-10,464.0,464.0,400.0,454.0,296676
2008-10-13,529.0,529.0,470.0,480.0,558541
2008-10-14,490.0,500.0,480.0,495.0,234443
2008-10-15,495.0,495.0,424.0,440.0,246412
2008-10-16,410.0,470.0,400.0,430.0,461599
2008-10-17,469.0,469.0,435.0,450.0,1170850
2008-10-20,450.0,477.0,435.0,460.0,115777
2008-10-21,465.0,478.0,460.0,460.0,568249
2008-10-22,450.0,455.0,413.0,450.0,530180
2008-10-23,429.0,430.0,395.0,419.0,222034
2008-10-24,400.0,400.0,325.0,325.0,108705
2008-10-27,360.0,365.0,325.0,345.0,396444
2008-10-28,375.0,410.0,360.0,398.0,138794
2008-10-29,410.0,425.0,391.0,400.0,109712
2008-10-30,401.0,405.0,390.0,400.0,1230145
2008-10-31,390.0,400.0,390.0,400.0,59829
2008-11-03,400.0,400.0,398.0,400.0,741750
2008-11-04,412.0,412.0,403.0,403.0,250157
2008-11-05,410.0,410.0,395.0,400.0,195400
2008-11-06,400.0,400.0,390.0,400.0,42970
2008-11-07,405.0,405.0,399.0,400.0,40138
2008-11-10,412.0,465.0,412.0,450.0,286518
2008-11-11,420.0,490.0,400.0,455.0,164694
2008-11-12,455.0,455.0,425.0,425.0,66900
2008-11-13,420.0,425.0,400.0,400.0,115869
2008-11-14,415.0,425.0,415.0,416.0,23300
2008-11-17,416.0,420.0,415.0,417.0,106853
2008-11-18,415.0,420.0,415.0,420.0,95887
2008-11-19,425.0,440.0,420.0,440.0,157928
2008-11-20,445.0,445.0,410.0,435.0,530492
2008-11-21,440.0,440.0,420.0,425.0,36880
2008-11-24,420.0,460.0,420.0,460.0,1008836
2008-11-25,488.0,488.0,451.0,475.0,506176
2008-11-26,475.0,500.0,474.0,475.0,5092633
2008-11-27,475.0,500.0,475.0,486.0,303468
2008-11-28,487.0,508.0,485.0,505.0,189037
2008-12-01,505.0,510.0,500.0,510.0,10455
2008-12-02,510.0,510.0,485.0,485.0,950009
2008-12-03,515.0,515.0,495.0,495.0,34422
2008-12-04,500.0,505.0,493.0,493.0,343820
2008-12-05,495.0,507.0,490.0,500.0,1326616
2008-12-08,500.0,500.0,499.0,500.0,1134647
2008-12-09,515.0,515.0,510.0,510.0,247558
2008-12-10,510.0,510.0,490.0,490.0,11450
2008-12-11,510.0,510.0,490.0,490.0,151635
2008-12-12,480.0,495.0,480.0,480.0,37732
2008-12-15,480.0,500.0,480.0,500.0,222964
2008-12-17,500.0,500.0,460.0,490.0,12969
2008-12-18,490.0,501.0,490.0,490.0,1298248
2008-12-19,490.0,500.0,490.0,500.0,874057
2008-12-22,500.0,500.0,500.0,500.0,0
2008-12-23,500.0,500.0,500.0,500.0,11850
2008-12-24,500.0,500.0,500.0,500.0,100
2008-12-29,500.0,500.0,500.0,500.0,0
2008-12-30,489.0,490.0,475.0,490.0,18463
2008-12-31,490.0,490.0,490.0,490.0,816
2009-01-02,470.0,470.0,470.0,470.0,1000
2009-01-05,490.0,490.0,475.0,480.0,36548
2009-01-06,490.0,490.0,480.0,490.0,25704
2009-01-07,490.0,490.0,490.0,490.0,100
2009-01-08,490.0,490.0,480.0,480.0,19420
2009-01-09,480.0,480.0,470.0,475.0,63580
2009-01-12,475.0,480.0,470.0,475.0,1041070
2009-01-13,475.0,480.0,465.0,465.0,175335
2009-01-14,474.0,474.0,465.0,465.0,91200
2009-01-15,465.0,465.0,461.0,461.0,10000
2009-01-16,455.0,464.0,455.0,460.0,141065
2009-01-19,460.0,460.0,455.0,455.0,447991
2009-01-20,460.0,460.0,460.0,460.0,62500
2009-01-21,460.0,460.0,455.0,460.0,78470
2009-01-22,455.0,460.0,455.0,460.0,1316250
2009-01-23,452.0,460.0,450.0,450.0,21420
2009-01-26,445.0,460.0,445.0,460.0,77820
2009-01-27,460.0,470.0,460.0,460.0,1048732
2009-01-28,470.0,485.0,465.0,480.0,288342
2009-01-29,462.0,490.0,462.0,480.0,11250
2009-01-30,480.0,480.0,460.0,479.0,92791
2009-02-02,478.0,478.0,460.0,460.0,65600
2009-02-03,452.0,470.0,450.0,470.0,17900
2009-02-04,457.0,458.0,455.0,457.0,92750
2009-02-05,455.0,500.0,455.0,485.0,128199
2009-02-06,500.0,500.0,460.0,490.0,18600
2009-02-09,460.0,480.0,460.0,480.0,16100
2009-02-10,460.0,500.0,460.0,470.0,52528
2009-02-11,470.0,480.0,470.0,475.0,132116
2009-02-12,472.0,480.0,472.0,472.0,58212
2009-02-13,472.0,480.0,465.0,480.0,389748
2009-02-16,470.0,470.0,467.0,470.0,47944
2009-02-17,470.0,475.0,470.0,475.0,117829
2009-02-18,466.0,475.0,466.0,466.0,8300
2009-02-19,466.0,475.0,455.0,475.0,20730
2009-02-20,450.0,474.0,450.0,470.0,15650
2009-02-23,450.0,450.0,435.0,439.0,167769
2009-02-24,435.0,440.0,420.0,440.0,266300
2009-02-25,440.0,470.0,440.0,470.0,197182
2009-02-26,470.0,470.0,440.0,469.0,2101188
2009-02-27,470.0,470.0,455.0,457.0,6500
2009-03-02,457.0,460.0,430.0,430.0,93350
2009-03-03,430.0,440.0,430.0,436.0,97766
2009-03-04,430.0,430.0,425.0,425.0,150900
2009-03-05,420.0,420.0,420.0,420.0,1400
2009-03-06,420.0,420.0,405.0,420.0,102547
2009-03-09,420.0,420.0,405.0,407.0,7407
2009-03-10,403.0,403.0,382.0,398.0,294506
2009-03-11,400.0,400.0,390.0,390.0,140933
2009-03-12,390.0,400.0,385.0,400.0,94177
2009-03-13,400.0,400.0,377.0,400.0,91977
2009-03-16,400.0,400.0,395.0,400.0,138227
2009-03-17,400.0,405.0,400.0,405.0,129000
2009-03-18,400.0,404.0,400.0,400.0,317350
2009-03-19,400.0,400.0,386.0,386.0,294694
