Date,Open,High,Low,Close,Volume
2015-10-15,1100.0,1105.0,1020.0,1020.0,5493159
2015-10-16,1050.0,1050.0,990.0,1025.0,1028987
2015-10-19,1050.0,1050.0,1030.0,1031.0,616102
2015-10-20,1035.0,1040.0,1016.0,1017.0,519389
2015-10-21,1030.0,1030.0,1010.0,1010.0,363837
2015-10-22,1010.0,1020.0,1000.0,1002.0,174290
2015-10-23,1010.0,1020.0,995.0,995.0,418539
2015-10-26,1018.0,1018.0,995.0,1005.0,395384
2015-10-27,1005.0,1009.0,1000.0,1002.0,978040
2015-10-28,1005.0,1008.0,992.0,1000.0,1476535
2015-10-29,995.0,1000.0,992.0,998.0,317741
2015-10-30,989.0,989.0,975.0,980.0,1017517
2015-11-02,980.0,1000.0,980.0,992.0,263487
2015-11-03,992.0,992.0,985.0,990.0,217985
2015-11-04,990.0,990.0,985.0,989.0,120476
2015-11-05,990.0,990.0,970.0,975.0,144163
2015-11-06,975.0,980.0,962.0,970.0,114413
2015-11-09,961.0,970.0,955.0,960.0,209798
2015-11-10,955.0,956.0,900.0,928.0,302008
2015-11-11,928.0,960.0,911.0,933.0,515372
2015-11-12,939.0,939.0,901.0,919.0,684370
2015-11-13,920.0,920.0,881.0,920.0,204151
2015-11-16,915.0,920.0,890.0,905.0,85236
2015-11-17,900.0,900.0,890.0,900.0,484436
2015-11-18,891.0,909.0,891.0,900.0,1452292
2015-11-19,900.0,900.0,895.0,898.0,140004
2015-11-20,898.0,930.0,898.0,929.0,127702
2015-11-23,928.0,931.0,920.0,920.0,709149
2015-11-24,920.0,939.0,920.0,930.0,173771
2015-11-25,950.0,980.0,949.0,959.0,1112031
2015-11-26,960.0,960.0,940.0,943.0,113785
2015-11-27,940.0,940.0,905.0,920.0,281653
2015-11-30,920.0,940.0,907.0,940.0,155635
2015-12-01,945.0,945.0,900.0,920.0,346901
2015-12-02,920.0,935.0,900.0,920.0,41648
2015-12-03,920.0,920.0,905.0,910.0,51226
2015-12-04,900.0,919.0,850.0,865.0,211037
2015-12-07,900.0,900.0,870.0,885.0,36720
2015-12-08,890.0,900.0,870.0,875.0,540711
2015-12-09,875.0,875.0,801.0,849.0,185241
2015-12-10,805.0,849.0,701.0,730.0,528184
2015-12-11,718.0,734.0,505.0,638.0,544605
2015-12-14,710.0,800.0,710.0,770.0,998745
2015-12-15,790.0,800.0,779.0,800.0,1249206
2015-12-17,800.0,888.0,800.0,875.0,310462
2015-12-18,875.0,882.0,806.0,827.0,1047319
2015-12-21,827.0,850.0,820.0,822.0,711514
2015-12-22,850.0,850.0,810.0,810.0,296538
2015-12-23,845.0,845.0,805.0,805.0,28183
2015-12-24,820.0,820.0,810.0,810.0,25767
2015-12-28,810.0,835.0,802.0,835.0,34701
2015-12-29,823.0,825.0,805.0,825.0,56832
2015-12-30,825.0,850.0,825.0,850.0,14445
2015-12-31,825.0,877.0,825.0,872.0,51602
2016-01-04,875.0,875.0,815.0,850.0,80955
2016-01-05,850.0,880.0,850.0,880.0,55181
2016-01-06,880.0,880.0,870.0,873.0,13593
2016-01-07,870.0,870.0,790.0,835.0,83408
2016-01-08,834.0,834.0,760.0,820.0,118053
2016-01-11,775.0,800.0,770.0,799.0,29007
2016-01-12,772.0,790.0,748.0,750.0,231753
2016-01-13,750.0,750.0,700.0,730.0,218049
2016-01-14,730.0,730.0,682.0,704.0,59706
2016-01-15,700.0,700.0,640.0,641.0,315427
2016-01-18,665.0,669.0,655.0,668.0,182255
2016-01-19,668.0,700.0,630.0,630.0,158686
2016-01-20,630.0,631.0,574.0,600.0,221021
2016-01-21,590.0,630.0,576.0,624.0,287679
2016-01-22,624.0,625.0,605.0,613.0,94994
2016-01-25,615.0,645.0,615.0,640.0,1202638
2016-01-26,645.0,679.0,640.0,675.0,470178
2016-01-27,675.0,730.0,675.0,694.0,140122
2016-01-28,699.0,738.0,689.0,738.0,50840
2016-01-29,738.0,762.0,699.0,762.0,191830
2016-02-01,762.0,762.0,725.0,750.0,8327
2016-02-02,720.0,750.0,720.0,749.0,552748
2016-02-03,751.0,751.0,747.0,750.0,141948
2016-02-04,750.0,770.0,750.0,760.0,34801
2016-02-05,711.0,749.0,711.0,749.0,31056
2016-02-08,745.0,760.0,745.0,760.0,265314
2016-02-09,774.0,774.0,732.0,767.0,13956
2016-02-10,760.0,760.0,760.0,760.0,1376
2016-02-11,730.0,748.0,711.0,748.0,60093
2016-02-12,730.0,760.0,725.0,760.0,68922
2016-02-15,760.0,769.0,750.0,769.0,87887
2016-02-16,765.0,765.0,759.0,759.0,94457
2016-02-17,717.0,750.0,716.0,748.0,171879
2016-02-18,744.0,744.0,719.0,729.0,38907
2016-02-19,729.0,729.0,718.0,725.0,35768
2016-02-22,738.0,756.0,720.0,740.0,144866
2016-02-23,750.0,769.0,750.0,759.0,54651
2016-02-24,759.0,760.0,732.0,732.0,580006
2016-02-25,757.0,757.0,721.0,721.0,76536
2016-02-26,725.0,740.0,717.0,718.0,181526
2016-02-29,726.0,726.0,650.0,700.0,219930
2016-03-01,685.0,700.0,680.0,690.0,64521
2016-03-02,700.0,700.0,680.0,680.0,56942
2016-03-03,715.0,795.0,715.0,780.0,1318045
2016-03-04,789.0,795.0,761.0,790.0,78731
2016-03-07,786.0,786.0,767.0,768.0,103473
2016-03-08,760.0,768.0,720.0,720.0,68193
2016-03-09,735.0,735.0,715.0,715.0,36027
2016-03-10,720.0,720.0,700.0,705.0,118193
2016-03-11,724.0,730.0,700.0,715.0,47467
2016-03-14,715.0,757.0,701.0,701.0,379364
2016-03-15,700.0,719.0,695.0,700.0,767275
2016-03-16,700.0,715.0,685.0,685.0,830930
