Date,Open,High,Low,Close,Volume
2007-11-16,320.0,330.0,301.0,329.0,698660
2007-11-19,330.0,330.0,320.0,320.0,33400
2007-11-20,325.0,325.0,310.0,310.0,820
2007-11-21,310.0,320.0,310.0,310.0,34569
2007-11-22,315.0,315.0,310.0,315.0,68000
2007-11-23,315.0,315.0,310.0,310.0,65336
2007-11-26,310.0,310.0,300.0,310.0,60900
2007-11-27,310.0,310.0,310.0,310.0,3200
2007-11-28,300.0,300.0,300.0,300.0,10000
2007-11-29,300.0,300.0,300.0,300.0,0
2007-11-30,305.0,305.0,300.0,300.0,55003
2007-12-03,300.0,300.0,300.0,300.0,1460
2007-12-04,300.0,315.0,300.0,315.0,151987
2007-12-05,315.0,315.0,305.0,305.0,32618
2007-12-06,305.0,305.0,305.0,305.0,0
2007-12-07,305.0,305.0,305.0,305.0,0
2007-12-10,305.0,305.0,305.0,305.0,3000
2007-12-11,305.0,305.0,305.0,305.0,0
2007-12-12,303.0,303.0,303.0,303.0,5000
2007-12-13,303.0,303.0,300.0,300.0,18130
2007-12-14,303.0,310.0,303.0,310.0,30000
2007-12-18,310.0,310.0,310.0,310.0,0
2007-12-19,310.0,310.0,310.0,310.0,0
2007-12-20,310.0,310.0,310.0,310.0,0
2007-12-21,310.0,310.0,310.0,310.0,0
2007-12-24,310.0,310.0,310.0,310.0,0
2007-12-27,300.0,300.0,300.0,300.0,1000
2007-12-28,300.0,300.0,300.0,300.0,0
2007-12-31,300.0,300.0,300.0,300.0,0
2008-01-02,300.0,300.0,300.0,300.0,0
2008-01-03,300.0,300.0,300.0,300.0,0
2008-01-04,300.0,300.0,300.0,300.0,0
2008-01-07,300.0,300.0,300.0,300.0,0
2008-01-08,300.0,300.0,300.0,300.0,0
2008-01-09,300.0,300.0,300.0,300.0,6600
2008-01-10,300.0,300.0,300.0,300.0,0
2008-01-11,300.0,300.0,300.0,300.0,0
2008-01-14,300.0,300.0,300.0,300.0,0
2008-01-15,300.0,300.0,300.0,300.0,0
2008-01-16,300.0,300.0,300.0,300.0,0
2008-01-17,290.0,300.0,290.0,300.0,9000
2008-01-18,300.0,300.0,300.0,300.0,0
2008-01-21,300.0,300.0,300.0,300.0,0
2008-01-22,290.0,290.0,290.0,290.0,5000
2008-01-23,290.0,290.0,290.0,290.0,0
2008-01-24,290.0,290.0,290.0,290.0,0
2008-01-25,290.0,290.0,290.0,290.0,5500
2008-01-28,290.0,290.0,290.0,290.0,0
2008-01-29,290.0,290.0,290.0,290.0,0
2008-01-30,290.0,290.0,290.0,290.0,0
2008-01-31,290.0,290.0,290.0,290.0,0
2008-02-01,290.0,290.0,290.0,290.0,0
2008-02-04,290.0,290.0,290.0,290.0,623
2008-02-05,289.0,289.0,289.0,289.0,727
2008-02-06,289.0,289.0,289.0,289.0,0
2008-02-07,289.0,289.0,284.0,284.0,3600
2008-02-08,284.0,284.0,284.0,284.0,0
2008-02-11,284.0,284.0,284.0,284.0,0
2008-02-12,289.0,289.0,289.0,289.0,10000
2008-02-13,289.0,289.0,289.0,289.0,0
2008-02-14,289.0,289.0,289.0,289.0,0
2008-02-15,289.0,289.0,289.0,289.0,0
2008-02-18,289.0,289.0,289.0,289.0,0
2008-02-19,278.0,278.0,278.0,278.0,45000
2008-02-20,278.0,278.0,278.0,278.0,0
2008-02-21,257.0,257.0,256.0,256.0,46000
2008-02-22,256.0,256.0,256.0,256.0,0
2008-02-25,240.0,240.0,240.0,240.0,12500
2008-02-26,240.0,240.0,240.0,240.0,0
2008-02-27,240.0,240.0,240.0,240.0,0
2008-02-28,240.0,240.0,240.0,240.0,0
2008-02-29,230.0,240.0,230.0,240.0,20000
2008-03-03,240.0,240.0,240.0,240.0,0
2008-03-04,240.0,240.0,240.0,240.0,0
2008-03-05,240.0,240.0,240.0,240.0,0
2008-03-06,240.0,240.0,240.0,240.0,0
2008-03-07,240.0,240.0,240.0,240.0,0
2008-03-10,240.0,240.0,240.0,240.0,0
2008-03-11,240.0,240.0,240.0,240.0,0
2008-03-12,240.0,240.0,240.0,240.0,0
2008-03-13,240.0,240.0,240.0,240.0,0
2008-03-14,240.0,240.0,240.0,240.0,0
2008-03-17,240.0,240.0,240.0,240.0,17500
2008-03-18,250.0,250.0,250.0,250.0,300
2008-03-19,250.0,250.0,250.0,250.0,0
2008-03-20,250.0,250.0,250.0,250.0,0
2008-03-25,250.0,250.0,250.0,250.0,0
2008-03-26,230.0,230.0,230.0,230.0,1500
2008-03-27,230.0,230.0,230.0,230.0,0
2008-03-28,230.0,230.0,230.0,230.0,0
2008-03-31,230.0,230.0,230.0,230.0,0
2008-04-01,230.0,230.0,230.0,230.0,0
2008-04-02,230.0,230.0,230.0,230.0,0
2008-04-03,230.0,230.0,230.0,230.0,0
2008-04-04,230.0,230.0,230.0,230.0,0
2008-04-07,215.0,215.0,215.0,215.0,13250
2008-04-08,215.0,215.0,215.0,215.0,0
2008-04-09,215.0,215.0,215.0,215.0,0
2008-04-10,215.0,215.0,215.0,215.0,0
2008-04-11,215.0,215.0,215.0,215.0,0
2008-04-14,215.0,215.0,215.0,215.0,0
2008-04-15,215.0,215.0,215.0,215.0,0
2008-04-16,200.0,200.0,200.0,200.0,5000
2008-04-17,200.0,200.0,200.0,200.0,10000
2008-04-18,200.0,200.0,200.0,200.0,0
2008-04-21,200.0,200.0,200.0,200.0,0
2008-04-22,180.0,180.0,180.0,180.0,5623
2008-04-23,180.0,180.0,180.0,180.0,0
2008-04-24,180.0,180.0,180.0,180.0,10000
2008-04-25,180.0,180.0,180.0,180.0,0
2008-04-29,180.0,180.0,180.0,180.0,0
2008-04-30,180.0,180.0,180.0,180.0,0
2008-05-05,180.0,180.0,180.0,180.0,0
2008-05-06,185.0,185.0,185.0,185.0,20000
2008-05-07,185.0,185.0,185.0,185.0,0
2008-05-08,185.0,185.0,185.0,185.0,0
2008-05-09,185.0,185.0,185.0,185.0,0
2008-05-12,185.0,185.0,185.0,185.0,0
2008-05-13,185.0,185.0,185.0,185.0,0
2008-05-14,183.0,183.0,183.0,183.0,40000
2008-05-15,165.0,165.0,165.0,165.0,10700
2008-05-16,165.0,165.0,165.0,165.0,6290
2008-05-19,165.0,165.0,165.0,165.0,0
2008-05-20,165.0,165.0,165.0,165.0,0
2008-05-21,170.0,170.0,170.0,170.0,2000
2008-05-22,170.0,170.0,170.0,170.0,0
2008-05-23,170.0,170.0,170.0,170.0,25000
2008-05-26,170.0,170.0,170.0,170.0,20000
2008-05-28,168.0,168.0,168.0,168.0,10000
2008-05-29,168.0,168.0,168.0,168.0,0
2008-05-30,160.0,160.0,160.0,160.0,10000
2008-06-02,160.0,160.0,160.0,160.0,0
2008-06-03,160.0,160.0,160.0,160.0,10000
2008-06-04,160.0,160.0,160.0,160.0,0
2008-06-05,160.0,160.0,160.0,160.0,0
2008-06-06,160.0,160.0,160.0,160.0,0
2008-06-09,160.0,160.0,160.0,160.0,0
2008-06-10,160.0,160.0,160.0,160.0,0
2008-06-11,160.0,160.0,160.0,160.0,0
2008-06-12,160.0,160.0,160.0,160.0,0
2008-06-13,160.0,160.0,160.0,160.0,0
2008-06-17,160.0,160.0,160.0,160.0,0
2008-06-18,160.0,160.0,160.0,160.0,0
2008-06-19,160.0,160.0,160.0,160.0,0
2008-06-20,160.0,160.0,160.0,160.0,0
2008-06-23,160.0,160.0,160.0,160.0,3500
2008-06-24,160.0,160.0,160.0,160.0,0
2008-06-25,160.0,160.0,160.0,160.0,0
2008-06-26,160.0,160.0,160.0,160.0,0
2008-06-27,160.0,160.0,160.0,160.0,0
2008-06-30,160.0,160.0,160.0,160.0,0
2008-07-01,160.0,160.0,160.0,160.0,0
2008-07-02,160.0,160.0,160.0,160.0,0
2008-07-03,160.0,160.0,160.0,160.0,0
2008-07-04,152.0,152.0,152.0,152.0,15000
2008-07-07,152.0,152.0,152.0,152.0,0
2008-07-08,145.0,145.0,145.0,145.0,35000
2008-07-09,145.0,145.0,145.0,145.0,0
2008-07-10,145.0,145.0,145.0,145.0,0
2008-07-11,145.0,145.0,145.0,145.0,0
2008-07-14,145.0,145.0,145.0,145.0,0
2008-07-15,145.0,145.0,145.0,145.0,0
2008-07-16,145.0,145.0,145.0,145.0,0
2008-07-17,145.0,145.0,145.0,145.0,0
2008-07-18,143.0,143.0,141.0,142.0,85000
2008-07-21,142.0,142.0,142.0,142.0,0
2008-07-22,142.0,142.0,142.0,142.0,0
2008-07-23,138.0,138.0,138.0,138.0,550
2008-07-24,138.0,138.0,138.0,138.0,0
2008-07-25,138.0,138.0,138.0,138.0,0
2008-07-28,138.0,138.0,138.0,138.0,0
2008-07-29,138.0,138.0,138.0,138.0,0
2008-07-30,138.0,138.0,138.0,138.0,0
2008-07-31,136.0,136.0,136.0,136.0,30
2008-08-01,136.0,136.0,136.0,136.0,0
2008-08-04,136.0,136.0,136.0,136.0,0
2008-08-05,136.0,136.0,136.0,136.0,0
2008-08-06,136.0,136.0,136.0,136.0,0
2008-08-07,136.0,136.0,136.0,136.0,0
2008-08-08,136.0,136.0,136.0,136.0,0
2008-08-11,136.0,136.0,136.0,136.0,0
2008-08-12,136.0,136.0,136.0,136.0,0
2008-08-13,136.0,136.0,136.0,136.0,0
2008-08-14,136.0,136.0,136.0,136.0,0
2008-08-15,137.0,137.0,137.0,137.0,5000
2008-08-18,137.0,137.0,137.0,137.0,0
2008-08-19,137.0,137.0,137.0,137.0,0
2008-08-20,137.0,137.0,137.0,137.0,0
2008-08-21,130.0,130.0,130.0,130.0,10000
2008-08-22,130.0,130.0,130.0,130.0,0
2008-08-25,130.0,130.0,130.0,130.0,0
2008-08-26,130.0,130.0,130.0,130.0,0
2008-08-27,130.0,130.0,130.0,130.0,0
2008-08-28,130.0,130.0,130.0,130.0,0
2008-08-29,125.0,125.0,125.0,125.0,30000
2008-09-01,125.0,125.0,125.0,125.0,0
2008-09-02,125.0,125.0,125.0,125.0,0
2008-09-03,125.0,125.0,125.0,125.0,0
2008-09-04,125.0,125.0,125.0,125.0,0
2008-09-05,125.0,125.0,125.0,125.0,0
2008-09-08,125.0,125.0,125.0,125.0,0
2008-09-09,125.0,125.0,125.0,125.0,0
2008-09-10,125.0,125.0,125.0,125.0,0
2008-09-11,120.0,125.0,120.0,125.0,20000
2008-09-12,125.0,125.0,125.0,125.0,0
2008-09-15,125.0,125.0,125.0,125.0,0
2008-09-16,125.0,125.0,125.0,125.0,0
2008-09-17,100.0,100.0,100.0,100.0,96600
2008-09-18,100.0,100.0,100.0,100.0,41000
2008-09-19,100.0,100.0,100.0,100.0,0
2008-09-22,100.0,100.0,100.0,100.0,0
2008-09-23,100.0,100.0,100.0,100.0,0
2008-09-25,100.0,100.0,100.0,100.0,0
2008-09-26,100.0,100.0,100.0,100.0,0
2008-09-29,81.0,81.0,81.0,81.0,10600
2008-09-30,99.0,99.0,80.0,80.0,10000
2008-10-01,75.0,75.0,75.0,75.0,5000
2008-10-02,75.0,75.0,75.0,75.0,10000
2008-10-03,75.0,75.0,75.0,75.0,0
2008-10-06,75.0,75.0,75.0,75.0,0
2008-10-07,70.0,70.0,70.0,70.0,15000
2008-10-08,70.0,70.0,70.0,70.0,0
2008-10-09,70.0,70.0,70.0,70.0,0
2008-10-10,70.0,70.0,70.0,70.0,0
2008-10-13,70.0,70.0,70.0,70.0,0
2008-10-14,70.0,70.0,70.0,70.0,0
2008-10-15,78.0,78.0,78.0,78.0,3580
2008-10-16,78.0,78.0,78.0,78.0,0
2008-10-17,78.0,78.0,78.0,78.0,0
2008-10-20,78.0,78.0,78.0,78.0,19000
2008-10-21,78.0,78.0,78.0,78.0,0
2008-10-22,70.0,70.0,70.0,70.0,20000
2008-10-23,70.0,70.0,70.0,70.0,0
2008-10-24,67.0,70.0,67.0,70.0,94100
2008-10-27,65.0,65.0,65.0,65.0,50000
2008-10-28,75.0,79.0,75.0,75.0,285000
2008-10-29,75.0,75.0,75.0,75.0,6000
2008-10-30,75.0,75.0,75.0,75.0,0
2008-10-31,75.0,75.0,75.0,75.0,3500
2008-11-03,75.0,75.0,75.0,75.0,0
2008-11-04,75.0,75.0,75.0,75.0,0
2008-11-05,75.0,75.0,75.0,75.0,100000
2008-11-06,75.0,75.0,75.0,75.0,0
2008-11-07,75.0,75.0,75.0,75.0,0
2008-11-10,75.0,75.0,75.0,75.0,0
2008-11-11,75.0,75.0,75.0,75.0,0
2008-11-12,75.0,75.0,75.0,75.0,0
2008-11-13,70.0,70.0,68.0,69.0,50000
2008-11-14,68.0,69.0,68.0,69.0,7000
