Date,Open,High,Low,Close,Volume
2007-11-28,140.0,159.0,140.0,150.0,6573844
2007-11-29,150.0,151.0,148.0,150.0,3306700
2007-11-30,145.0,150.0,144.0,145.0,623055
2007-12-03,145.0,145.0,142.0,145.0,156765
2007-12-04,145.0,145.0,142.0,145.0,2923871
2007-12-05,140.0,150.0,140.0,150.0,1767841
2007-12-06,150.0,150.0,149.0,150.0,15000
2007-12-07,150.0,150.0,145.0,150.0,54000
2007-12-10,150.0,150.0,150.0,150.0,505000
2007-12-11,146.0,149.0,142.0,149.0,23000
2007-12-12,150.0,150.0,150.0,150.0,55000
2007-12-13,150.0,150.0,150.0,150.0,0
2007-12-14,149.0,155.0,149.0,150.0,73000
2007-12-18,150.0,150.0,150.0,150.0,0
2007-12-19,140.0,150.0,140.0,150.0,3000
2007-12-20,145.0,149.0,145.0,149.0,6000
2007-12-21,149.0,155.0,149.0,155.0,64000
2007-12-24,155.0,155.0,155.0,155.0,50000
2007-12-27,155.0,155.0,155.0,155.0,0
2007-12-28,155.0,160.0,155.0,160.0,187000
2007-12-31,160.0,160.0,160.0,160.0,0
2008-01-02,160.0,160.0,160.0,160.0,0
2008-01-03,160.0,160.0,160.0,160.0,0
2008-01-04,160.0,160.0,160.0,160.0,0
2008-01-07,155.0,155.0,155.0,155.0,9000
2008-01-08,155.0,155.0,155.0,155.0,0
2008-01-09,155.0,155.0,155.0,155.0,0
2008-01-10,155.0,155.0,155.0,155.0,1000
2008-01-11,153.0,153.0,153.0,153.0,291172
2008-01-14,155.0,155.0,145.0,154.0,75950
2008-01-15,154.0,154.0,154.0,154.0,0
2008-01-16,154.0,154.0,154.0,154.0,0
2008-01-17,135.0,155.0,130.0,150.0,1106537
2008-01-18,154.0,154.0,154.0,154.0,1500
2008-01-21,154.0,154.0,154.0,154.0,0
2008-01-22,139.0,144.0,139.0,144.0,11000
2008-01-23,144.0,144.0,144.0,144.0,0
2008-01-24,121.0,150.0,115.0,145.0,319000
2008-01-25,105.0,105.0,105.0,105.0,40000
2008-01-28,107.0,125.0,107.0,121.0,647000
2008-01-29,121.0,121.0,121.0,121.0,0
2008-01-30,131.0,131.0,131.0,131.0,1000
2008-01-31,132.0,132.0,132.0,132.0,2625000
2008-02-01,132.0,132.0,132.0,132.0,0
2008-02-04,132.0,132.0,132.0,132.0,0
2008-02-05,115.0,128.0,110.0,110.0,35550
2008-02-06,110.0,120.0,110.0,120.0,41400
2008-02-07,120.0,120.0,120.0,120.0,0
2008-02-08,110.0,125.0,110.0,125.0,3000
2008-02-11,125.0,125.0,125.0,125.0,0
2008-02-12,125.0,125.0,125.0,125.0,0
2008-02-13,118.0,118.0,107.0,113.0,1425060
2008-02-14,119.0,119.0,118.0,118.0,25000
2008-02-15,118.0,118.0,118.0,118.0,0
2008-02-18,106.0,115.0,106.0,113.0,47725
2008-02-19,114.0,115.0,112.0,115.0,5009000
2008-02-20,114.0,119.0,114.0,119.0,56000
2008-02-21,119.0,119.0,119.0,119.0,0
2008-02-22,106.0,118.0,106.0,118.0,11000
2008-02-25,118.0,118.0,118.0,118.0,0
2008-02-26,117.0,118.0,105.0,118.0,43525
2008-02-27,118.0,118.0,118.0,118.0,0
2008-02-28,105.0,118.0,105.0,118.0,8200
