Date,Open,High,Low,Close,Volume
2010-12-14,1076.0,1100.0,1065.0,1090.0,10933441
2010-12-15,1090.0,1090.0,1065.0,1065.0,1170582
2010-12-17,1070.0,1070.0,1055.0,1060.0,835515
2010-12-20,1055.0,1065.0,1052.0,1065.0,3274374
2010-12-21,1061.0,1070.0,1055.0,1064.0,852038
2010-12-22,1063.0,1069.0,1055.0,1064.0,1030678
2010-12-23,1060.0,1065.0,1055.0,1057.0,2019711
2010-12-24,1056.0,1060.0,1056.0,1060.0,17986
2010-12-28,1060.0,1060.0,1051.0,1060.0,385101
2010-12-29,1055.0,1060.0,1055.0,1060.0,9482
2010-12-30,1060.0,1065.0,1055.0,1060.0,1127831
2010-12-31,1060.0,1060.0,1052.0,1055.0,189637
2011-01-03,1055.0,1064.0,1055.0,1060.0,181811
2011-01-04,1060.0,1062.0,1060.0,1060.0,518005
2011-01-05,1062.0,1062.0,1060.0,1060.0,459667
2011-01-06,1062.0,1074.0,1060.0,1074.0,184408
2011-01-07,1075.0,1079.0,1070.0,1075.0,186307
2011-01-10,1080.0,1085.0,1075.0,1085.0,508616
2011-01-11,1110.0,1110.0,1090.0,1095.0,767089
2011-01-12,1100.0,1115.0,1095.0,1100.0,899845
2011-01-13,1110.0,1110.0,1100.0,1104.0,120342
2011-01-14,1101.0,1107.0,1095.0,1107.0,127701
2011-01-17,1107.0,1107.0,1095.0,1100.0,153474
2011-01-18,1100.0,1100.0,1081.0,1090.0,144386
2011-01-19,1090.0,1095.0,1060.0,1060.0,209476
2011-01-20,1055.0,1061.0,1052.0,1052.0,429904
2011-01-21,1060.0,1065.0,1060.0,1065.0,269278
2011-01-24,1067.0,1067.0,1065.0,1065.0,70731
2011-01-25,1060.0,1060.0,1050.0,1055.0,381583
2011-01-26,1060.0,1060.0,1050.0,1055.0,175989
2011-01-27,1059.0,1070.0,1055.0,1060.0,87798
2011-01-28,1060.0,1065.0,1055.0,1055.0,349722
2011-01-31,1065.0,1065.0,1055.0,1055.0,39770
2011-02-01,1055.0,1058.0,1055.0,1055.0,121410
2011-02-02,1057.0,1065.0,1055.0,1060.0,324900
2011-02-03,1050.0,1066.0,1050.0,1055.0,89019
2011-02-04,1055.0,1055.0,1055.0,1055.0,18255
2011-02-07,1060.0,1065.0,1055.0,1055.0,47097
2011-02-08,1055.0,1056.0,1055.0,1055.0,19043
2011-02-09,1055.0,1060.0,1055.0,1060.0,149694
2011-02-10,1058.0,1058.0,1055.0,1055.0,439664
2011-02-11,1055.0,1055.0,1000.0,1050.0,956259
2011-02-14,1050.0,1058.0,1049.0,1050.0,109768
2011-02-15,1045.0,1045.0,1045.0,1045.0,75000
2011-02-16,1045.0,1050.0,1035.0,1050.0,793264
2011-02-17,1040.0,1041.0,1040.0,1040.0,87130
2011-02-18,1050.0,1050.0,1040.0,1050.0,130821
2011-02-21,1050.0,1066.0,1050.0,1060.0,672474
2011-02-22,1060.0,1060.0,1050.0,1055.0,615276
2011-02-23,1050.0,1054.0,1041.0,1050.0,355399
2011-02-24,1050.0,1050.0,1040.0,1050.0,180360
2011-02-25,1050.0,1050.0,1042.0,1050.0,58295
2011-02-28,,,,1050.0,0
2011-03-01,1050.0,1052.0,1050.0,1050.0,983272
2011-03-02,1050.0,1050.0,1040.0,1040.0,228741
2011-03-03,1040.0,1052.0,1040.0,1045.0,35188
2011-03-04,1043.0,1055.0,1040.0,1050.0,405470
2011-03-07,1055.0,1055.0,1002.0,1055.0,196875
2011-03-08,1051.0,1051.0,1040.0,1050.0,199976
2011-03-09,1050.0,1050.0,1050.0,1050.0,8331
2011-03-10,1050.0,1055.0,1040.0,1050.0,331604
2011-03-11,1025.0,1045.0,1025.0,1045.0,3019
2011-03-14,1049.0,1050.0,1040.0,1050.0,154524
2011-03-15,1045.0,1045.0,1025.0,1045.0,545753
2011-03-16,1040.0,1055.0,1040.0,1050.0,121708
2011-03-17,1050.0,1055.0,1045.0,1055.0,84846
2011-03-18,1054.0,1145.0,1050.0,1145.0,96278
2011-03-22,1150.0,1150.0,1053.0,1061.0,21548
2011-03-23,1067.0,1090.0,1067.0,1080.0,170110
2011-03-24,1080.0,1080.0,1070.0,1080.0,59048
2011-03-25,1085.0,1085.0,1055.0,1080.0,136550
2011-03-28,1080.0,1085.0,1080.0,1080.0,213187
2011-03-29,1080.0,1085.0,1080.0,1080.0,1456445
2011-03-30,1070.0,1070.0,1070.0,1070.0,521464
2011-03-31,1071.0,1075.0,1070.0,1070.0,123183
2011-04-01,1085.0,1085.0,1085.0,1085.0,9338
2011-04-04,1085.0,1085.0,1070.0,1075.0,66500
2011-04-05,1075.0,1100.0,1070.0,1100.0,354519
2011-04-06,1110.0,1110.0,1090.0,1090.0,143148
2011-04-07,1100.0,1100.0,1090.0,1100.0,307691
2011-04-08,1100.0,1100.0,1080.0,1085.0,121751
2011-04-11,1085.0,1100.0,1085.0,1085.0,28486
2011-04-12,1080.0,1090.0,1080.0,1085.0,216029
2011-04-13,1085.0,1086.0,1080.0,1085.0,364468
2011-04-14,1085.0,1085.0,1080.0,1080.0,454061
2011-04-15,1080.0,1080.0,1080.0,1080.0,26835
2011-04-18,1085.0,1085.0,1070.0,1070.0,24759
2011-04-19,1080.0,1080.0,1070.0,1080.0,132473
2011-04-20,1050.0,1085.0,1050.0,1080.0,487251
2011-04-21,1080.0,1085.0,1080.0,1081.0,1415791
