Date,Open,High,Low,Close,Volume
2003-12-29,780.0,780.0,779.0,779.0,48597
2003-12-30,785.0,785.0,770.0,785.0,126589
2004-01-02,786.0,786.0,785.0,785.0,54148
2004-01-05,780.0,790.0,780.0,790.0,480902
2004-01-06,785.0,789.0,780.0,780.0,936658
2004-01-07,776.0,780.0,770.0,776.0,102221
2004-01-08,780.0,784.0,775.0,780.0,354092
2004-01-09,780.0,783.0,780.0,780.0,733747
2004-01-12,775.0,780.0,770.0,775.0,0
2004-01-13,776.0,780.0,775.0,778.0,0
2004-01-14,780.0,780.0,770.0,777.0,0
2004-01-15,780.0,787.0,770.0,780.0,0
2004-01-16,780.0,790.0,779.0,785.0,0
2004-01-19,790.0,790.0,770.0,770.0,0
2004-01-20,750.0,775.0,750.0,770.0,0
2004-01-21,710.0,760.0,710.0,750.0,0
2004-01-22,745.0,770.0,740.0,755.0,0
2004-01-23,750.0,755.0,720.0,750.0,0
2004-01-26,740.0,744.0,740.0,740.0,0
2004-01-27,740.0,770.0,740.0,746.0,0
2004-01-28,746.0,760.0,746.0,758.0,0
2004-01-29,765.0,770.0,755.0,765.0,0
2004-01-30,745.0,770.0,745.0,745.0,0
2004-02-02,745.0,746.0,745.0,745.0,0
2004-02-03,745.0,755.0,745.0,750.0,0
2004-02-04,752.0,759.0,750.0,755.0,0
2004-02-05,770.0,771.0,750.0,770.0,0
2004-02-06,765.0,770.0,760.0,765.0,0
2004-02-09,750.0,751.0,750.0,750.0,1495766
2004-02-10,750.0,755.0,715.0,730.0,1788162
2004-02-11,730.0,740.0,730.0,740.0,767691
2004-02-12,725.0,740.0,725.0,725.0,1354461
2004-02-13,720.0,720.0,715.0,715.0,127951
2004-02-16,715.0,715.0,714.0,715.0,878888
2004-02-17,725.0,730.0,720.0,725.0,493306
2004-02-18,725.0,725.0,720.0,725.0,172393
2004-02-19,725.0,730.0,720.0,730.0,381058
2004-02-20,720.0,730.0,720.0,720.0,3025151
2004-02-23,716.0,716.0,710.0,710.0,477183
2004-02-24,705.0,705.0,690.0,700.0,589769
2004-02-25,690.0,700.0,690.0,700.0,103004
2004-02-26,690.0,695.0,690.0,690.0,236707
2004-02-27,690.0,695.0,690.0,695.0,187172
2004-03-01,695.0,695.0,685.0,690.0,421982
2004-03-02,690.0,700.0,685.0,700.0,1283514
2004-03-03,700.0,703.0,690.0,702.0,149878
2004-03-04,702.0,750.0,702.0,720.0,439516
2004-03-05,729.0,729.0,696.0,696.0,78165
2004-03-08,696.0,715.0,696.0,709.0,129634
2004-03-09,709.0,720.0,709.0,715.0,1054284
2004-03-10,730.0,730.0,710.0,725.0,437900
2004-03-11,720.0,720.0,720.0,720.0,1400
2004-03-12,717.0,717.0,705.0,705.0,547330
2004-03-15,705.0,705.0,695.0,695.0,2569329
2004-03-16,692.0,692.0,692.0,692.0,26195
2004-03-17,695.0,700.0,692.0,697.0,98961
2004-03-18,700.0,702.0,700.0,700.0,65244
2004-03-19,700.0,701.0,700.0,700.0,320559
2004-03-23,700.0,720.0,700.0,720.0,66962
2004-03-24,720.0,725.0,710.0,725.0,67992
2004-03-25,725.0,725.0,700.0,725.0,200606
2004-03-26,725.0,750.0,725.0,744.0,1228160
2004-03-29,750.0,750.0,740.0,740.0,86371
