Date,Open,High,Low,Close,Volume
2011-06-02,550.0,815.0,550.0,799.0,1093829
2011-06-03,840.0,1200.0,840.0,1012.0,40478
2011-06-06,1100.0,1100.0,1000.0,1000.0,59592
2011-06-07,1050.0,1100.0,990.0,1000.0,73824
2011-06-08,1050.0,1050.0,900.0,900.0,44349
2011-06-09,900.0,1100.0,900.0,1100.0,18414
2011-06-10,900.0,900.0,790.0,790.0,42121
2011-06-13,791.0,800.0,790.0,800.0,66275
2011-06-14,800.0,800.0,750.0,750.0,15308
2011-06-15,750.0,750.0,650.0,650.0,38639
2011-06-17,700.0,700.0,620.0,650.0,6830
2011-06-20,660.0,660.0,600.0,600.0,73574
2011-06-21,700.0,700.0,700.0,700.0,1200
2011-06-22,750.0,750.0,700.0,700.0,10600
2011-06-23,675.0,675.0,675.0,675.0,200
2011-06-24,690.0,695.0,685.0,685.0,8775
2011-06-27,700.0,700.0,680.0,680.0,15345
2011-06-28,680.0,700.0,680.0,700.0,101300
2011-06-29,700.0,700.0,660.0,690.0,37572
2011-06-30,675.0,675.0,650.0,650.0,6560
2011-07-01,650.0,650.0,600.0,600.0,34000
2011-07-04,620.0,620.0,600.0,615.0,22100
2011-07-05,625.0,625.0,624.0,624.0,5005
2011-07-06,640.0,650.0,640.0,650.0,12470
2011-07-07,670.0,713.0,670.0,700.0,68241
2011-07-08,700.0,704.0,700.0,702.0,5820
2011-07-11,700.0,700.0,675.0,675.0,22499
2011-07-12,670.0,670.0,633.0,640.0,19100
2011-07-13,639.0,640.0,595.0,600.0,252460
2011-07-14,589.0,610.0,588.0,600.0,76285
2011-07-15,600.0,600.0,600.0,600.0,11500
2011-07-18,600.0,600.0,600.0,600.0,1000
2011-07-19,600.0,600.0,600.0,600.0,9796
2011-07-20,601.0,605.0,600.0,600.0,30424
2011-07-21,601.0,601.0,600.0,600.0,33000
2011-07-22,600.0,610.0,600.0,601.0,29000
2011-07-25,600.0,600.0,600.0,600.0,2500
2011-07-26,600.0,600.0,597.0,598.0,15000
2011-07-27,600.0,600.0,598.0,598.0,31500
2011-07-28,598.0,600.0,597.0,597.0,35700
2011-07-29,595.0,595.0,588.0,589.0,36150
2011-08-01,589.0,595.0,580.0,580.0,121000
2011-08-02,580.0,590.0,580.0,590.0,5000
2011-08-03,590.0,600.0,560.0,600.0,43671
2011-08-04,600.0,600.0,599.0,599.0,19008
2011-08-05,590.0,590.0,560.0,565.0,37757
2011-08-08,570.0,570.0,560.0,560.0,36000
2011-08-10,575.0,575.0,560.0,560.0,24052
2011-08-11,568.0,568.0,560.0,565.0,31930
2011-08-12,565.0,570.0,565.0,570.0,25000
2011-08-15,570.0,570.0,520.0,530.0,136467
2011-08-16,559.0,600.0,540.0,585.0,106653
2011-08-17,585.0,640.0,585.0,610.0,166372
2011-08-18,630.0,650.0,620.0,620.0,70711
2011-08-19,630.0,630.0,610.0,630.0,50015
2011-08-22,627.0,630.0,600.0,618.0,49366
2011-08-23,618.0,626.0,595.0,600.0,135252
2011-08-24,600.0,600.0,590.0,590.0,53224
2011-08-25,590.0,600.0,583.0,593.0,49466
2011-08-26,605.0,605.0,598.0,598.0,28325
2011-08-29,595.0,599.0,590.0,590.0,45355
2011-08-30,589.0,589.0,525.0,579.0,458282
2011-08-31,580.0,580.0,570.0,570.0,44529
2011-09-01,570.0,577.0,570.0,570.0,11535
2011-09-02,577.0,590.0,565.0,585.0,132600
2011-09-05,580.0,580.0,565.0,570.0,304311
2011-09-06,582.0,585.0,565.0,570.0,194141
2011-09-07,575.0,587.0,575.0,587.0,64588
2011-09-08,587.0,600.0,585.0,600.0,48004
2011-09-09,600.0,600.0,565.0,587.0,60048
2011-09-12,582.0,599.0,582.0,585.0,42795
2011-09-13,585.0,585.0,575.0,575.0,82539
2011-09-14,585.0,600.0,582.0,582.0,7064
2011-09-15,585.0,600.0,585.0,599.0,23287
2011-09-16,599.0,600.0,595.0,600.0,29807
2011-09-19,600.0,600.0,591.0,595.0,2036
2011-09-20,595.0,609.0,594.0,596.0,28634
2011-09-21,596.0,650.0,595.0,629.0,186269
2011-09-22,625.0,628.0,600.0,620.0,12457
2011-09-23,628.0,629.0,611.0,611.0,35945
2011-09-26,627.0,685.0,627.0,678.0,46579
2011-09-27,670.0,678.0,649.0,677.0,34154
2011-09-28,677.0,677.0,636.0,655.0,37630
2011-09-29,675.0,675.0,640.0,640.0,62357
2011-09-30,651.0,655.0,650.0,655.0,6727
2011-10-03,670.0,685.0,666.0,685.0,39002
2011-10-04,681.0,800.0,681.0,700.0,61342
2011-10-05,715.0,800.0,715.0,750.0,18343
2011-10-06,780.0,790.0,760.0,761.0,76877
2011-10-07,766.0,780.0,766.0,780.0,92536
2011-10-10,785.0,795.0,785.0,790.0,36628
2011-10-11,785.0,785.0,755.0,765.0,123618
2011-10-12,765.0,780.0,765.0,780.0,61761
2011-10-13,760.0,780.0,760.0,780.0,4878
2011-10-14,775.0,790.0,773.0,790.0,53007
2011-10-17,800.0,800.0,780.0,790.0,27898
2011-10-18,800.0,870.0,800.0,870.0,42895
2011-10-19,875.0,910.0,860.0,885.0,121646
2011-10-20,890.0,890.0,850.0,850.0,79073
2011-10-21,860.0,895.0,840.0,840.0,104675
2011-10-24,858.0,858.0,840.0,840.0,73501
2011-10-25,840.0,840.0,810.0,810.0,62403
2011-10-26,820.0,820.0,794.0,800.0,73833
2011-10-27,800.0,800.0,791.0,800.0,66583
2011-10-28,800.0,844.0,795.0,799.0,56684
2011-10-31,800.0,800.0,789.0,791.0,65158
2011-11-01,785.0,795.0,753.0,780.0,73741
2011-11-02,780.0,780.0,772.0,772.0,45726
2011-11-03,780.0,795.0,766.0,775.0,28788
2011-11-04,780.0,780.0,772.0,780.0,73498
2011-11-07,780.0,780.0,775.0,780.0,76757
2011-11-08,770.0,770.0,760.0,762.0,40801
2011-11-09,770.0,770.0,755.0,760.0,55559
2011-11-10,760.0,770.0,760.0,760.0,36358
2011-11-11,765.0,765.0,759.0,759.0,5277
2011-11-14,770.0,770.0,760.0,765.0,19477
2011-11-15,765.0,770.0,763.0,770.0,56781
2011-11-16,770.0,770.0,763.0,770.0,40311
2011-11-17,770.0,810.0,770.0,810.0,42251
2011-11-18,810.0,810.0,800.0,810.0,13999
2011-11-21,850.0,850.0,811.0,811.0,5150
2011-11-22,830.0,944.0,830.0,864.0,111289
2011-11-23,900.0,900.0,860.0,875.0,149076
2011-11-24,950.0,975.0,880.0,974.0,112610
2011-11-25,975.0,1050.0,970.0,1040.0,207619
2011-11-28,1045.0,1175.0,1040.0,1089.0,145000
2011-11-29,1098.0,1199.0,1096.0,1170.0,361997
2011-11-30,1199.0,1250.0,1176.0,1215.0,292310
2011-12-01,1250.0,1250.0,1095.0,1180.0,394386
2011-12-02,1185.0,1225.0,1180.0,1200.0,78286
2011-12-05,1200.0,1220.0,1190.0,1200.0,62180
2011-12-06,1199.0,1200.0,1130.0,1130.0,88337
2011-12-07,1130.0,1150.0,1120.0,1120.0,16986
2011-12-08,1100.0,1180.0,1075.0,1100.0,66473
2011-12-09,1120.0,1120.0,1091.0,1100.0,45374
2011-12-12,1100.0,1100.0,1050.0,1100.0,31091
2011-12-13,1100.0,1100.0,1060.0,1100.0,9680
2011-12-14,1180.0,1180.0,1130.0,1135.0,25201
2011-12-15,1179.0,1200.0,1151.0,1199.0,71873
2011-12-19,1194.0,1194.0,1170.0,1185.0,22002
2011-12-20,1180.0,1189.0,1150.0,1150.0,60864
2011-12-21,1160.0,1166.0,1150.0,1166.0,20121
2011-12-22,1170.0,1200.0,1170.0,1200.0,61623
2011-12-23,1200.0,1200.0,1185.0,1200.0,11845
2011-12-28,1205.0,1210.0,1201.0,1201.0,5345
2011-12-29,1202.0,1210.0,1190.0,1200.0,21226
2011-12-30,1200.0,1200.0,1200.0,1200.0,6398
2012-01-03,1200.0,1220.0,1176.0,1182.0,63212
2012-01-04,1240.0,1249.0,1200.0,1220.0,42440
2012-01-05,1246.0,1246.0,1210.0,1212.0,27797
2012-01-06,1246.0,1300.0,1240.0,1300.0,50862
2012-01-09,1330.0,1330.0,1305.0,1330.0,94384
2012-01-10,1330.0,1330.0,1300.0,1310.0,94466
2012-01-11,1305.0,1305.0,1250.0,1279.0,95580
2012-01-12,1255.0,1255.0,1235.0,1250.0,92371
2012-01-13,1250.0,1250.0,1244.0,1250.0,41319
2012-01-16,1287.0,1287.0,1261.0,1270.0,32543
2012-01-17,1281.0,1350.0,1275.0,1285.0,104248
2012-01-18,1300.0,1325.0,1230.0,1235.0,124906
2012-01-19,1230.0,1230.0,1195.0,1200.0,87771
2012-01-20,1220.0,1220.0,1195.0,1200.0,39069
2012-01-23,1200.0,1200.0,1150.0,1195.0,74402
2012-01-24,1180.0,1180.0,1179.0,1180.0,41196
2012-01-25,1180.0,1180.0,1095.0,1120.0,107467
2012-01-26,1120.0,1165.0,1120.0,1120.0,72511
2012-01-27,1115.0,1165.0,1102.0,1120.0,55295
2012-01-30,1115.0,1189.0,1115.0,1120.0,15415
2012-01-31,1135.0,1135.0,1115.0,1120.0,14000
2012-02-01,1115.0,1120.0,1112.0,1120.0,11806
2012-02-02,1120.0,1120.0,1116.0,1120.0,23417
2012-02-03,1120.0,1130.0,1100.0,1130.0,70151
2012-02-06,1130.0,1200.0,1130.0,1200.0,65467
2012-02-07,1200.0,1200.0,1151.0,1195.0,8317
2012-02-08,1175.0,1195.0,1175.0,1195.0,22468
2012-02-09,1195.0,1195.0,1185.0,1190.0,19918
2012-02-10,1190.0,1205.0,1185.0,1200.0,34989
2012-02-13,1200.0,1200.0,1170.0,1199.0,2499
2012-02-14,1198.0,1210.0,1198.0,1198.0,24901
2012-02-15,1185.0,1205.0,1185.0,1190.0,19168
2012-02-16,1195.0,1195.0,1185.0,1185.0,36942
2012-02-17,1190.0,1195.0,1185.0,1195.0,56962
2012-02-20,1195.0,1195.0,1120.0,1140.0,34614
2012-02-21,1121.0,1144.0,1056.0,1107.0,113034
2012-02-22,1139.0,1140.0,1080.0,1080.0,23020
2012-02-23,1080.0,1080.0,1050.0,1055.0,68265
2012-02-24,1050.0,1095.0,985.0,1086.0,154071
2012-02-27,1086.0,1125.0,1015.0,1062.0,46054
