Date,Open,High,Low,Close,Volume
2003-07-10,1600.0,1650.0,1600.0,1625.0,21300
2003-07-11,1650.0,1650.0,1640.0,1640.0,13300
2003-07-14,1640.0,1650.0,1625.0,1650.0,34290
2003-07-15,1645.0,1645.0,1640.0,1640.0,16000
2003-07-16,1640.0,1640.0,1640.0,1640.0,500
2003-07-17,1640.0,1641.0,1640.0,1641.0,3500
2003-07-18,1645.0,1660.0,1645.0,1645.0,15300
2003-07-21,1645.0,1650.0,1640.0,1645.0,72200
2003-07-22,1645.0,1695.0,1645.0,1695.0,26150
2003-07-23,1700.0,1750.0,1700.0,1750.0,20150
2003-07-24,1750.0,1780.0,1750.0,1750.0,5124
2003-07-25,1730.0,1745.0,1715.0,1730.0,12870
2003-07-28,1740.0,1740.0,1740.0,1740.0,3199
2003-07-29,1740.0,1750.0,1740.0,1750.0,7800
2003-07-30,1750.0,1750.0,1740.0,1740.0,4433
2003-07-31,1740.0,1740.0,1740.0,1740.0,2400
2003-08-01,1720.0,1720.0,1700.0,1700.0,9167
2003-08-04,1700.0,1700.0,1700.0,1700.0,5100
2003-08-05,1700.0,1740.0,1700.0,1740.0,1733
2003-08-06,1740.0,1750.0,1740.0,1750.0,11100
2003-08-07,1750.0,1760.0,1750.0,1760.0,7458
2003-08-08,1780.0,1800.0,1780.0,1800.0,1086
2003-08-11,1750.0,1800.0,1750.0,1800.0,1200
2003-08-12,1800.0,1855.0,1800.0,1855.0,10300
2003-08-13,1855.0,1855.0,1840.0,1850.0,4800
2003-08-14,1850.0,1850.0,1800.0,1845.0,5192
2003-08-15,1845.0,1845.0,1845.0,1845.0,1000
2003-08-18,1845.0,1845.0,1820.0,1820.0,1658
2003-08-19,1825.0,1845.0,1825.0,1845.0,2700
2003-08-20,1845.0,1875.0,1845.0,1875.0,7342
2003-08-21,1855.0,1855.0,1855.0,1855.0,500
2003-08-22,1860.0,1860.0,1860.0,1860.0,200
2003-08-25,1860.0,1900.0,1801.0,1900.0,10300
2003-08-26,1855.0,1900.0,1800.0,1891.0,5300
2003-08-27,1919.0,1919.0,1840.0,1850.0,33677
2003-08-28,1850.0,1850.0,1800.0,1800.0,47220
2003-08-29,1800.0,1800.0,1700.0,1720.0,16544
2003-09-01,1727.0,1750.0,1727.0,1750.0,12370
2003-09-02,1745.0,1750.0,1745.0,1750.0,10372
