Date,Open,High,Low,Close,Volume
2003-12-29,1306.0,1350.0,1306.0,1330.0,34269
2003-12-30,1350.0,1385.0,1350.0,1355.0,145049
2004-01-02,1375.0,1385.0,1375.0,1375.0,58303
2004-01-05,1385.0,1390.0,1375.0,1380.0,96300
2004-01-06,1380.0,1440.0,1380.0,1440.0,280385
2004-01-07,1440.0,1470.0,1440.0,1455.0,308708
2004-01-08,1465.0,1520.0,1465.0,1500.0,497349
2004-01-09,1500.0,1600.0,1500.0,1585.0,242150
2004-01-12,1600.0,1665.0,1585.0,1635.0,0
2004-01-13,1704.0,1715.0,1650.0,1704.0,0
2004-01-14,1805.0,1825.0,1740.0,1750.0,0
2004-01-15,1600.0,1750.0,1550.0,1600.0,0
2004-01-16,1600.0,1700.0,1600.0,1650.0,0
2004-01-19,1655.0,1670.0,1635.0,1648.0,0
2004-01-20,1650.0,1700.0,1650.0,1650.0,0
2004-01-21,1649.0,1650.0,1620.0,1635.0,0
2004-01-22,1632.0,1635.0,1620.0,1632.0,0
2004-01-23,1630.0,1655.0,1600.0,1651.0,0
2004-01-26,1650.0,1750.0,1650.0,1710.0,0
2004-01-27,1651.0,1740.0,1651.0,1651.0,0
2004-01-28,1630.0,1630.0,1600.0,1600.0,0
2004-01-29,1600.0,1620.0,1590.0,1620.0,0
2004-01-30,1600.0,1605.0,1600.0,1600.0,0
2004-02-02,1600.0,1600.0,1580.0,1580.0,0
2004-02-03,1580.0,1610.0,1580.0,1581.0,0
2004-02-04,1581.0,1600.0,1581.0,1600.0,0
2004-02-05,1600.0,1600.0,1560.0,1570.0,0
2004-02-06,1568.0,1570.0,1560.0,1568.0,0
2004-02-09,1550.0,1570.0,1550.0,1550.0,31700
2004-02-10,1551.0,1560.0,1471.0,1511.0,50990
2004-02-11,1505.0,1550.0,1479.0,1550.0,115339
2004-02-12,1550.0,1560.0,1540.0,1560.0,101412
2004-02-13,1560.0,1570.0,1560.0,1570.0,29500
2004-02-16,1550.0,1561.0,1550.0,1550.0,5400
2004-02-17,1480.0,1570.0,1480.0,1480.0,146767
2004-02-18,1480.0,1520.0,1480.0,1520.0,51315
2004-02-19,1520.0,1550.0,1500.0,1500.0,74125
2004-02-20,1490.0,1490.0,1490.0,1490.0,59325
2004-02-23,1490.0,1490.0,1485.0,1485.0,55680
2004-02-24,1460.0,1465.0,1460.0,1460.0,57066
2004-02-25,1460.0,1510.0,1460.0,1490.0,201560
2004-02-26,1490.0,1490.0,1480.0,1480.0,21850
2004-02-27,1480.0,1490.0,1480.0,1480.0,51627
2004-03-01,1470.0,1470.0,1440.0,1450.0,472787
2004-03-02,1422.0,1430.0,1400.0,1426.0,138306
2004-03-03,1376.0,1431.0,1350.0,1431.0,268860
2004-03-04,1450.0,1499.0,1450.0,1490.0,72358
2004-03-05,1490.0,1490.0,1470.0,1470.0,284070
2004-03-08,1470.0,1470.0,1440.0,1450.0,657108
2004-03-09,1440.0,1450.0,1440.0,1450.0,194850
2004-03-10,1449.0,1450.0,1438.0,1438.0,544165
2004-03-11,1410.0,1410.0,1350.0,1395.0,86271
2004-03-12,1351.0,1370.0,1350.0,1370.0,10900
2004-03-15,1370.0,1425.0,1370.0,1400.0,358200
2004-03-16,1401.0,1450.0,1390.0,1425.0,581883
2004-03-17,1425.0,1443.0,1425.0,1443.0,55890
2004-03-18,1445.0,1470.0,1445.0,1450.0,197276
2004-03-19,1462.0,1500.0,1462.0,1500.0,30007
2004-03-23,1500.0,1500.0,1470.0,1470.0,751785
2004-03-24,1480.0,1510.0,1480.0,1500.0,1071584
2004-03-25,1510.0,1510.0,1510.0,1510.0,129950
2004-03-26,1510.0,1515.0,1500.0,1500.0,256639
2004-03-29,1485.0,1500.0,1485.0,1490.0,34643
2004-03-30,1500.0,1550.0,1490.0,1490.0,225145
2004-03-31,1500.0,1500.0,1480.0,1480.0,216523
2004-04-01,1480.0,1480.0,1440.0,1440.0,94046
2004-04-02,1420.0,1421.0,1400.0,1410.0,62560
2004-04-05,1400.0,1400.0,1380.0,1380.0,80826
2004-04-06,1380.0,1380.0,1370.0,1380.0,242698
2004-04-07,1380.0,1380.0,1360.0,1370.0,131150
2004-04-08,1355.0,1370.0,1355.0,1370.0,203000
2004-04-13,1360.0,1375.0,1360.0,1375.0,34169
2004-04-15,1375.0,1400.0,1375.0,1395.0,136123
2004-04-16,1390.0,1400.0,1390.0,1390.0,112000
2004-04-19,1400.0,1401.0,1390.0,1390.0,219866
2004-04-20,1400.0,1400.0,1395.0,1395.0,123228
2004-04-21,1395.0,1395.0,1390.0,1390.0,19130
2004-04-22,1385.0,1390.0,1375.0,1375.0,18078
2004-04-23,1380.0,1381.0,1379.0,1380.0,69660
2004-04-26,1380.0,1380.0,1380.0,1380.0,0
2004-04-28,1350.0,1370.0,1350.0,1370.0,27040
2004-04-29,1320.0,1325.0,1320.0,1320.0,13370
2004-04-30,1295.0,1295.0,1250.0,1270.0,13856
2004-05-03,1255.0,1300.0,1220.0,1285.0,64350
2004-05-04,1285.0,1330.0,1285.0,1330.0,368027
2004-05-05,1330.0,1330.0,1310.0,1310.0,104175
2004-05-06,1310.0,1310.0,1300.0,1300.0,29300
2004-05-07,1280.0,1280.0,1280.0,1280.0,20000
2004-05-10,1274.0,1275.0,1230.0,1230.0,46578
2004-05-11,1200.0,1200.0,1175.0,1175.0,13020
2004-05-12,1165.0,1175.0,1163.0,1165.0,188137
2004-05-13,1151.0,1160.0,1100.0,1145.0,276445
2004-05-14,1143.0,1143.0,1139.0,1140.0,5800
2004-05-17,1100.0,1100.0,1050.0,1085.0,151099
2004-05-18,1080.0,1080.0,1050.0,1070.0,350595
2004-05-19,1075.0,1101.0,1075.0,1100.0,192991
2004-05-20,1100.0,1100.0,1080.0,1080.0,134810
2004-05-21,1080.0,1089.0,1070.0,1070.0,105386
2004-05-24,1070.0,1070.0,1067.0,1068.0,99728
2004-05-25,1060.0,1060.0,1020.0,1040.0,115778
2004-05-26,1040.0,1050.0,1030.0,1030.0,127600
2004-05-27,1005.0,1040.0,1000.0,1000.0,350614
2004-05-28,1000.0,1000.0,950.0,950.0,518200
2004-05-31,960.0,990.0,960.0,980.0,178200
2004-06-01,980.0,1020.0,980.0,1000.0,237529
2004-06-02,1000.0,1030.0,1000.0,1010.0,47845
2004-06-03,1012.0,1030.0,1012.0,1025.0,30498
2004-06-04,1030.0,1030.0,1025.0,1030.0,42700
2004-06-07,1030.0,1030.0,1020.0,1020.0,115579
2004-06-08,1015.0,1050.0,1015.0,1040.0,87858
2004-06-09,1050.0,1150.0,1050.0,1060.0,348113
2004-06-10,1060.0,1080.0,1051.0,1080.0,231052
2004-06-11,1090.0,1100.0,1090.0,1090.0,132404
2004-06-14,1080.0,1080.0,1070.0,1070.0,35750
2004-06-15,1070.0,1070.0,1070.0,1070.0,130936
2004-06-17,1070.0,1070.0,1069.0,1070.0,71462
2004-06-18,1070.0,1071.0,1070.0,1070.0,115487
2004-06-21,1080.0,1080.0,1050.0,1060.0,47210
2004-06-22,1030.0,1050.0,1030.0,1035.0,47260
2004-06-23,1030.0,1040.0,1000.0,1020.0,287467
2004-06-24,1030.0,1040.0,1025.0,1030.0,119980
2004-06-25,1040.0,1040.0,1000.0,1020.0,108424
2004-06-28,1025.0,1025.0,1020.0,1025.0,32785
2004-06-29,1020.0,1020.0,1010.0,1015.0,33995
2004-06-30,1015.0,1020.0,1010.0,1020.0,83140
2004-07-01,1025.0,1030.0,1010.0,1030.0,90080
2004-07-02,1020.0,1030.0,1010.0,1010.0,64402
2004-07-05,1015.0,1020.0,1015.0,1015.0,11607
2004-07-06,1015.0,1016.0,1010.0,1015.0,389958
2004-07-07,1010.0,1010.0,1005.0,1005.0,150773
2004-07-08,1000.0,1010.0,1000.0,1000.0,94127
2004-07-09,1000.0,1000.0,1000.0,1000.0,8128
2004-07-12,990.0,990.0,976.0,976.0,4800
2004-07-13,951.0,985.0,950.0,985.0,100300
2004-07-14,980.0,980.0,965.0,965.0,608400
2004-07-15,965.0,970.0,950.0,950.0,186053
2004-07-16,940.0,950.0,925.0,940.0,94666
2004-07-19,940.0,940.0,910.0,915.0,100946
2004-07-20,910.0,910.0,880.0,896.0,107391
2004-07-21,900.0,930.0,900.0,930.0,371451
2004-07-22,900.0,900.0,900.0,900.0,100000
2004-07-23,900.0,900.0,890.0,890.0,602202
2004-07-26,875.0,880.0,875.0,875.0,56129
2004-07-27,875.0,880.0,875.0,880.0,346994
2004-07-28,885.0,900.0,880.0,880.0,60198
2004-07-29,851.0,851.0,850.0,850.0,48006
2004-07-30,858.0,870.0,850.0,851.0,430252
2004-08-02,851.0,880.0,851.0,880.0,71859
2004-08-03,900.0,900.0,897.0,900.0,135231
2004-08-04,900.0,950.0,897.0,950.0,192051
2004-08-05,906.0,945.0,906.0,945.0,300
2004-08-06,943.0,943.0,910.0,939.0,15124
2004-08-10,905.0,935.0,905.0,935.0,800
2004-08-11,935.0,950.0,935.0,950.0,454846
2004-08-12,945.0,945.0,900.0,929.0,730144
2004-08-13,910.0,910.0,866.0,910.0,22800
2004-08-16,900.0,900.0,900.0,900.0,44000
2004-08-17,899.0,899.0,895.0,899.0,1506
2004-08-18,898.0,898.0,870.0,894.0,11800
2004-08-19,890.0,910.0,870.0,896.0,347515
2004-08-20,896.0,900.0,896.0,900.0,320607
2004-08-23,900.0,920.0,900.0,910.0,563479
2004-08-24,910.0,930.0,900.0,930.0,93548
2004-08-25,929.0,950.0,929.0,950.0,48803
2004-08-26,950.0,990.0,950.0,980.0,100400
2004-08-27,980.0,1000.0,979.0,990.0,135055
2004-08-30,985.0,1000.0,985.0,990.0,7696
2004-08-31,995.0,1005.0,990.0,991.0,49318
2004-09-01,991.0,991.0,957.0,957.0,53110
2004-09-02,960.0,1000.0,960.0,1000.0,141027
2004-09-03,980.0,1020.0,980.0,1020.0,175500
2004-09-06,1000.0,1050.0,980.0,1050.0,9100
2004-09-07,1060.0,1060.0,1022.0,1050.0,10080
2004-09-08,1050.0,1060.0,1025.0,1025.0,31351
2004-09-09,1025.0,1030.0,1025.0,1030.0,56533
2004-09-10,1050.0,1050.0,1030.0,1040.0,85669
2004-09-13,1065.0,1065.0,1035.0,1035.0,15943
2004-09-14,1035.0,1040.0,1025.0,1030.0,103300
2004-09-15,1035.0,1035.0,1026.0,1029.0,50700
2004-09-16,1025.0,1035.0,1025.0,1035.0,55421
2004-09-17,1040.0,1040.0,1035.0,1040.0,155666
2004-09-20,1025.0,1040.0,1025.0,1040.0,59427
2004-09-21,1040.0,1060.0,1040.0,1050.0,110100
2004-09-22,1050.0,1050.0,1010.0,1015.0,12640
2004-09-23,1000.0,1000.0,961.0,985.0,79172
2004-09-27,1000.0,1020.0,990.0,1020.0,61742
2004-09-28,1030.0,1040.0,1012.0,1040.0,33836
2004-09-29,1040.0,1070.0,1040.0,1070.0,54961
2004-09-30,1070.0,1070.0,1065.0,1070.0,72476
2004-10-01,1070.0,1070.0,975.0,1020.0,13892
2004-10-04,1040.0,1075.0,1030.0,1050.0,83926
2004-10-05,1050.0,1050.0,1030.0,1030.0,26216
2004-10-06,1030.0,1030.0,1030.0,1030.0,59507
2004-10-07,1030.0,1045.0,1030.0,1040.0,96045
2004-10-08,1040.0,1040.0,1030.0,1040.0,74290
2004-10-11,1050.0,1050.0,1025.0,1030.0,61993
2004-10-12,1030.0,1035.0,1020.0,1030.0,379774
2004-10-13,1030.0,1040.0,1030.0,1033.0,16188
2004-10-14,1033.0,1035.0,1010.0,1030.0,308021
2004-10-15,1030.0,1040.0,1030.0,1035.0,47119
2004-10-18,1038.0,1040.0,1020.0,1039.0,11175
2004-10-19,1030.0,1040.0,1030.0,1035.0,252700
2004-10-20,1035.0,1040.0,1035.0,1040.0,161722
2004-10-21,1040.0,1041.0,1040.0,1041.0,21492
2004-10-22,1041.0,1060.0,1040.0,1060.0,80944
2004-10-25,1040.0,1050.0,1040.0,1050.0,85492
2004-10-26,1051.0,1065.0,1050.0,1065.0,96982
2004-10-27,1090.0,1090.0,1030.0,1030.0,979347
2004-10-28,1000.0,1000.0,945.0,965.0,197500
2004-10-29,965.0,980.0,945.0,980.0,162308
2004-11-01,950.0,975.0,950.0,955.0,196312
2004-11-02,951.0,955.0,906.0,906.0,375300
2004-11-03,920.0,925.0,910.0,920.0,303218
2004-11-04,920.0,951.0,920.0,930.0,185564
2004-11-05,931.0,940.0,930.0,940.0,40622
2004-11-08,930.0,940.0,930.0,935.0,100128
2004-11-09,940.0,970.0,935.0,970.0,71763
2004-11-10,980.0,980.0,955.0,955.0,270150
2004-11-11,955.0,960.0,950.0,960.0,788386
2004-11-12,955.0,956.0,950.0,955.0,863319
2004-11-15,955.0,957.0,950.0,957.0,339888
2004-11-16,950.0,959.0,950.0,950.0,18610
2004-11-17,950.0,960.0,950.0,950.0,123480
2004-11-18,950.0,950.0,945.0,950.0,506400
2004-11-19,950.0,950.0,940.0,950.0,25220
2004-11-22,940.0,940.0,940.0,940.0,88656
2004-11-23,940.0,955.0,940.0,940.0,267884
2004-11-24,940.0,942.0,940.0,940.0,200632
2004-11-25,950.0,985.0,950.0,985.0,101425
2004-11-26,985.0,1020.0,985.0,1010.0,22700
2004-11-29,1005.0,1006.0,995.0,1004.0,171325
2004-11-30,980.0,1000.0,980.0,998.0,174570
2004-12-01,995.0,1010.0,995.0,1005.0,514110
2004-12-02,1000.0,1020.0,1000.0,1000.0,128952
2004-12-03,1000.0,1030.0,1000.0,1025.0,178544
2004-12-06,1020.0,1020.0,1010.0,1020.0,69230
2004-12-07,1020.0,1020.0,1010.0,1020.0,185600
2004-12-08,1000.0,1002.0,1000.0,1002.0,44660
2004-12-09,1002.0,1010.0,1002.0,1010.0,32721
2004-12-10,981.0,1010.0,981.0,1010.0,366079
2004-12-13,1020.0,1020.0,1000.0,1000.0,26292
2004-12-14,999.0,1010.0,990.0,990.0,211500
2004-12-15,1000.0,1000.0,995.0,995.0,460780
2004-12-17,970.0,1000.0,970.0,1000.0,52657
2004-12-20,1000.0,1000.0,985.0,990.0,96050
2004-12-21,975.0,980.0,975.0,980.0,4900
2004-12-22,985.0,990.0,975.0,985.0,100800
2004-12-23,985.0,985.0,985.0,985.0,0
2004-12-24,980.0,980.0,975.0,975.0,9100
2004-12-28,970.0,970.0,940.0,945.0,1746134
2004-12-29,940.0,960.0,940.0,960.0,31414
2004-12-30,945.0,965.0,945.0,965.0,3701
2004-12-31,965.0,1010.0,965.0,1010.0,14209
2005-01-03,980.0,1015.0,980.0,1015.0,900
2005-01-04,1015.0,1015.0,975.0,1010.0,11003
2005-01-05,1000.0,1015.0,1000.0,1015.0,37500
2005-01-06,1015.0,1015.0,1015.0,1015.0,86464
2005-01-07,1000.0,1000.0,980.0,1000.0,3250
2005-01-10,980.0,1000.0,980.0,1000.0,6600
2005-01-11,1000.0,1000.0,990.0,1000.0,58200
2005-01-12,990.0,1000.0,990.0,990.0,458900
2005-01-13,990.0,990.0,980.0,990.0,26500
2005-01-14,985.0,995.0,985.0,985.0,54600
2005-01-17,950.0,970.0,945.0,970.0,13117
2005-01-18,950.0,960.0,940.0,945.0,64967
2005-01-19,950.0,960.0,930.0,930.0,51820
2005-01-20,902.0,920.0,902.0,910.0,9188
2005-01-21,925.0,930.0,905.0,905.0,15200
2005-01-24,905.0,928.0,898.0,898.0,92476
2005-01-25,890.0,900.0,882.0,895.0,121698
2005-01-26,894.0,894.0,840.0,861.0,199800
2005-01-27,861.0,870.0,860.0,870.0,135860
2005-01-28,870.0,900.0,870.0,883.0,247893
2005-01-31,886.0,900.0,881.0,900.0,116050
2005-02-01,900.0,940.0,892.0,895.0,126575
2005-02-02,895.0,950.0,888.75,900.0,640186
2005-02-03,896.0,938.0,892.0,938.0,251607
2005-02-04,938.0,965.0,935.0,955.0,119470
2005-02-07,950.0,1000.0,950.0,995.0,44330
2005-02-08,995.0,1000.0,990.0,1000.0,56692
2005-02-09,970.0,970.0,970.0,970.0,5900
2005-02-10,950.0,955.0,930.0,950.0,150258
2005-02-11,945.0,945.0,945.0,945.0,25200
2005-02-14,950.0,958.0,946.0,951.0,129767
2005-02-15,952.0,955.0,951.0,954.0,30500
2005-02-16,955.0,975.0,953.0,965.0,285583
2005-02-17,995.0,995.0,972.0,973.0,65330
2005-02-18,975.0,978.0,970.0,974.0,70800
2005-02-21,970.0,970.0,950.0,968.0,65219
2005-02-22,960.0,960.0,950.0,960.0,127267
2005-02-23,950.0,950.0,940.0,945.0,129400
2005-02-24,940.0,940.0,934.0,934.0,241863
2005-02-25,930.0,950.0,920.0,950.0,1431575
2005-02-28,940.0,965.0,940.0,959.0,661863
2005-03-01,955.0,955.0,950.0,955.0,141736
2005-03-02,958.0,970.0,957.0,970.0,690241
2005-03-03,970.0,975.0,970.0,974.0,1514438
2005-03-04,978.0,1007.0,978.0,1005.0,76895
2005-03-07,1005.0,1005.0,1000.0,1000.0,297465
2005-03-08,995.0,995.0,991.0,995.0,298970
2005-03-09,995.0,995.0,990.0,990.0,646090
2005-03-10,990.0,990.0,985.0,990.0,333673
2005-03-11,985.0,985.0,970.0,980.0,660812
2005-03-14,975.0,980.0,950.0,950.0,539950
2005-03-15,940.0,950.0,940.0,950.0,53760
2005-03-16,940.0,950.0,930.0,950.0,203486
2005-03-17,930.0,940.0,930.0,930.0,64100
2005-03-18,930.0,940.0,930.0,940.0,845797
2005-03-22,930.0,930.0,930.0,930.0,700
2005-03-23,930.0,945.0,930.0,931.0,200000
2005-03-24,930.0,940.0,930.0,940.0,132400
2005-03-29,930.0,935.0,930.0,935.0,76300
2005-03-30,930.0,930.0,910.0,910.0,117052
2005-03-31,910.0,930.0,910.0,920.0,42000
2005-04-01,910.0,911.0,910.0,910.0,33833
2005-04-04,910.0,910.0,910.0,910.0,23022
2005-04-05,910.0,920.0,910.0,910.0,3260
2005-04-06,910.0,910.0,900.0,900.0,518945
2005-04-07,900.0,915.0,900.0,900.0,46096
2005-04-08,900.0,920.0,900.0,900.0,831299
2005-04-11,920.0,920.0,890.0,890.0,280845
2005-04-12,890.0,890.0,890.0,890.0,115963
2005-04-13,885.0,900.0,885.0,890.0,69000
2005-04-14,885.0,890.0,885.0,885.0,94150
2005-04-15,880.0,885.0,880.0,885.0,37500
2005-04-18,885.0,885.0,867.0,867.0,143446
2005-04-19,868.0,871.0,868.0,870.0,9120
2005-04-20,868.0,872.0,868.0,872.0,11980
2005-04-21,872.0,900.0,872.0,900.0,15800
2005-04-22,905.0,905.0,900.0,900.0,17660
2005-04-25,901.0,901.0,885.0,885.0,28052
2005-04-26,885.0,885.0,880.0,880.0,14408
2005-04-28,875.0,880.0,875.0,880.0,62800
2005-04-29,880.0,900.0,880.0,900.0,228110
2005-05-03,895.0,895.0,890.0,890.0,25000
2005-05-04,890.0,900.0,890.0,900.0,304496
2005-05-05,895.0,900.0,895.0,900.0,23366
2005-05-06,900.0,910.0,900.0,900.0,1049163
2005-05-09,910.0,910.0,910.0,910.0,21475
2005-05-10,911.0,925.0,905.0,905.0,315759
2005-05-11,906.0,925.0,906.0,925.0,1114716
2005-05-12,925.0,960.0,925.0,960.0,590132
2005-05-13,960.0,960.0,950.0,955.0,70082
2005-05-16,955.0,955.0,949.0,950.0,82750
2005-05-17,950.0,950.0,945.0,945.0,125500
2005-05-18,945.0,1000.0,935.0,998.0,1537948
2005-05-19,1001.0,1080.0,1001.0,1060.0,1222150
2005-05-20,1060.0,1100.0,1051.0,1080.0,1037811
2005-05-23,1077.0,1100.0,1077.0,1085.0,44950
2005-05-24,1095.0,1150.0,1095.0,1120.0,1190308
2005-05-25,1135.0,1157.0,1135.0,1157.0,700359
2005-05-26,1159.0,1175.0,1150.0,1162.0,1333555
2005-05-27,1170.0,1185.0,1150.0,1157.0,701879
2005-05-30,1165.0,1195.0,1157.0,1170.0,1038484
2005-05-31,1200.0,1200.0,1170.0,1170.0,54995
2005-06-01,1165.0,1210.0,1165.0,1200.0,449154
2005-06-02,1202.0,1250.0,1202.0,1210.0,45289
2005-06-03,1210.0,1250.0,1206.0,1230.0,20228
2005-06-06,1230.0,1250.0,1205.0,1210.0,393920
2005-06-07,1210.0,1240.0,1210.0,1221.0,310154
2005-06-08,1221.0,1249.0,1220.0,1230.0,823136
2005-06-09,1235.0,1280.0,1235.0,1270.0,1002770
2005-06-10,1260.0,1275.0,1260.0,1270.0,111500
2005-06-13,1275.0,1300.0,1260.0,1280.0,114310
2005-06-14,1290.0,1290.0,1285.0,1290.0,197440
2005-06-15,1290.0,1290.0,1240.0,1250.0,163898
2005-06-17,1250.0,1264.0,1240.0,1260.0,151504
2005-06-20,1240.0,1250.0,1230.0,1250.0,892332
2005-06-21,1258.0,1258.0,1230.0,1241.0,52268
2005-06-22,1250.0,1250.0,1240.0,1240.0,292705
2005-06-23,1235.0,1249.0,1230.0,1236.0,39875
2005-06-24,1237.0,1259.0,1237.0,1259.0,1800
2005-06-27,1260.0,1300.0,1250.0,1295.0,40100
2005-06-28,1300.0,1310.0,1280.0,1280.0,183643
2005-06-29,1260.0,1270.0,1260.0,1260.0,69000
2005-06-30,1260.0,1285.0,1243.0,1285.0,249933
2005-07-01,1285.0,1285.0,1254.0,1275.0,226642
2005-07-04,1275.0,1280.0,1275.0,1280.0,55709
2005-07-05,1279.0,1280.0,1260.0,1265.0,109595
2005-07-06,1260.0,1260.0,1250.0,1256.0,178265
2005-07-07,1256.0,1256.0,1230.0,1240.0,322080
2005-07-08,1240.0,1251.0,1240.0,1251.0,547105
2005-07-11,1251.0,1262.0,1251.0,1260.0,107512
2005-07-12,1261.0,1270.0,1250.0,1266.0,272310
2005-07-13,1266.0,1330.0,1266.0,1306.0,170943
2005-07-14,1320.0,1345.0,1315.0,1320.0,123067
2005-07-15,1320.0,1320.0,1315.0,1315.0,215970
2005-07-18,1310.0,1315.0,1301.0,1315.0,99060
2005-07-19,1310.0,1320.0,1310.0,1315.0,81888
2005-07-20,1320.0,1320.0,1310.0,1315.0,148938
2005-07-21,1320.0,1375.0,1320.0,1335.0,107813
2005-07-22,1335.0,1375.0,1325.0,1375.0,53475
2005-07-25,1375.0,1390.0,1361.0,1375.0,44987
2005-07-26,1370.0,1375.0,1370.0,1375.0,59646
2005-07-27,1375.0,1410.0,1375.0,1410.0,50100
2005-07-28,1410.0,1470.0,1400.0,1470.0,477184
2005-07-29,1470.0,1475.0,1420.0,1426.0,99364
2005-08-01,1450.0,1450.0,1430.0,1430.0,3564
2005-08-02,1435.0,1490.0,1435.0,1445.0,94639
2005-08-03,1450.0,1490.0,1450.0,1461.0,115091
2005-08-04,1460.0,1470.0,1460.0,1470.0,168020
2005-08-05,1465.0,1490.0,1465.0,1490.0,829480
2005-08-08,1490.0,1490.0,1470.0,1470.0,67712
2005-08-10,1465.0,1524.0,1465.0,1524.0,155716
2005-08-11,1525.0,1525.0,1500.0,1500.0,690472
2005-08-12,1500.0,1505.0,1500.0,1500.0,271480
2005-08-15,1500.0,1520.0,1490.0,1520.0,56625
2005-08-16,1520.0,1610.0,1520.0,1610.0,293272
2005-08-17,1600.0,1610.0,1580.0,1610.0,712545
2005-08-18,1610.0,1625.0,1600.0,1610.0,301140
2005-08-19,1615.0,1615.0,1580.0,1609.0,1024703
2005-08-22,1600.0,1610.0,1589.0,1610.0,839536
2005-08-23,1610.0,1690.0,1601.0,1650.0,723617
2005-08-24,1700.0,1740.0,1645.0,1680.0,791931
2005-08-25,1670.0,1750.0,1656.0,1715.0,427072
2005-08-26,1730.0,1750.0,1698.0,1698.0,846791
2005-08-29,1669.0,1669.0,1620.0,1650.0,128166
2005-08-30,1655.0,1670.0,1650.0,1659.0,229070
2005-08-31,1660.0,1685.0,1650.0,1669.0,182019
2005-09-01,1670.0,1685.0,1650.0,1673.0,156997
