Date,Open,High,Low,Close,Volume
2003-12-29,195.0,195.0,195.0,195.0,0
2003-12-30,195.0,195.0,195.0,195.0,0
2004-01-02,200.0,200.0,200.0,200.0,3500
2004-01-05,200.0,200.0,200.0,200.0,0
2004-01-06,215.0,215.0,215.0,215.0,4200
2004-01-07,215.0,215.0,215.0,215.0,0
2004-01-08,211.0,211.0,210.0,210.0,20000
2004-01-09,210.0,210.0,210.0,210.0,0
2004-01-12,220.0,225.0,220.0,225.0,0
2004-01-13,225.0,235.0,225.0,235.0,0
2004-01-14,235.0,235.0,225.0,225.0,0
2004-01-15,227.0,227.0,227.0,227.0,0
2004-01-16,235.0,235.0,230.0,235.0,0
2004-01-19,236.0,236.0,230.0,230.0,0
2004-01-20,230.0,230.0,230.0,230.0,0
2004-01-21,230.0,230.0,230.0,230.0,0
2004-01-22,230.0,230.0,230.0,230.0,0
2004-01-23,235.0,235.0,225.0,235.0,0
2004-01-26,235.0,235.0,235.0,235.0,0
2004-01-27,235.0,235.0,235.0,235.0,0
2004-01-28,233.0,235.0,233.0,235.0,0
2004-01-29,235.0,235.0,235.0,235.0,0
2004-01-30,235.0,235.0,235.0,235.0,0
2004-02-02,235.0,235.0,235.0,235.0,0
2004-02-03,230.0,230.0,226.0,230.0,0
2004-02-04,226.0,230.0,225.0,230.0,0
2004-02-05,225.0,225.0,220.0,220.0,0
2004-02-06,230.0,230.0,230.0,230.0,0
2004-02-09,230.0,235.0,230.0,235.0,0
2004-02-10,235.0,235.0,235.0,235.0,0
2004-02-11,235.0,235.0,235.0,235.0,5000
2004-02-12,235.0,250.0,235.0,250.0,99300
2004-02-13,250.0,250.0,250.0,250.0,0
2004-02-16,250.0,250.0,241.0,241.0,53060
2004-02-17,240.0,240.0,240.0,240.0,4000
2004-02-18,240.0,240.0,240.0,240.0,0
2004-02-19,240.0,240.0,240.0,240.0,0
2004-02-20,240.0,240.0,240.0,240.0,3000
2004-02-23,238.0,238.0,235.0,235.0,492500
2004-02-24,234.0,234.0,234.0,234.0,95000
2004-02-25,234.0,234.0,234.0,234.0,0
2004-02-26,233.0,233.0,225.0,225.0,33000
2004-02-27,220.0,225.0,210.0,220.0,42350
2004-03-01,220.0,220.0,220.0,220.0,0
2004-03-02,220.0,220.0,220.0,220.0,38500
2004-03-03,220.0,220.0,220.0,220.0,0
2004-03-04,220.0,220.0,220.0,220.0,0
2004-03-05,220.0,220.0,220.0,220.0,0
2004-03-08,220.0,220.0,220.0,220.0,0
2004-03-09,215.0,215.0,215.0,215.0,3000
2004-03-10,220.0,220.0,220.0,220.0,20360
2004-03-11,225.0,225.0,225.0,225.0,15700
2004-03-12,225.0,225.0,225.0,225.0,0
2004-03-15,225.0,225.0,225.0,225.0,3600
2004-03-16,225.0,225.0,225.0,225.0,0
2004-03-17,225.0,225.0,225.0,225.0,0
2004-03-18,225.0,225.0,225.0,225.0,0
2004-03-19,230.0,230.0,230.0,230.0,22500
2004-03-23,225.0,225.0,220.0,220.0,10000
2004-03-24,220.0,220.0,220.0,220.0,9605
2004-03-25,220.0,220.0,220.0,220.0,0
2004-03-26,230.0,230.0,230.0,230.0,100
2004-03-29,225.0,225.0,225.0,225.0,2500
2004-03-30,225.0,225.0,225.0,225.0,0
2004-03-31,225.0,225.0,225.0,225.0,0
2004-04-01,226.0,230.0,226.0,230.0,43400
2004-04-02,240.0,240.0,240.0,240.0,5000
2004-04-05,240.0,240.0,240.0,240.0,2270
2004-04-06,240.0,240.0,240.0,240.0,38000
2004-04-07,240.0,240.0,240.0,240.0,0
2004-04-08,240.0,240.0,240.0,240.0,24730
2004-04-13,238.0,240.0,238.0,240.0,27370
2004-04-15,240.0,250.0,240.0,250.0,20100
2004-04-16,235.0,240.0,235.0,240.0,7000
2004-04-19,240.0,240.0,240.0,240.0,8000
2004-04-20,239.0,240.0,239.0,239.0,11700
2004-04-21,250.0,250.0,249.0,249.0,12700
2004-04-22,249.0,260.0,249.0,250.0,34720
2004-04-23,250.0,250.0,250.0,250.0,15680
2004-04-26,255.0,260.0,255.0,260.0,51600
2004-04-28,255.0,260.0,255.0,260.0,12100
2004-04-29,275.0,280.0,275.0,280.0,23400
2004-04-30,280.0,280.0,280.0,280.0,10000
2004-05-03,271.0,271.0,270.0,271.0,15000
2004-05-04,270.0,270.0,270.0,270.0,3300
2004-05-05,279.0,279.0,279.0,279.0,10000
2004-05-06,279.0,279.0,279.0,279.0,0
2004-05-07,274.0,278.0,273.0,278.0,4700
2004-05-10,279.0,279.0,279.0,279.0,13000
2004-05-11,279.0,279.0,279.0,279.0,0
2004-05-12,278.0,278.0,276.0,278.0,14680
2004-05-13,270.0,270.0,270.0,270.0,2000
2004-05-14,278.0,280.0,278.0,280.0,36000
2004-05-17,280.0,280.0,280.0,280.0,0
2004-05-18,280.0,280.0,280.0,280.0,5000
2004-05-19,278.0,278.0,278.0,278.0,12000
2004-05-20,278.0,278.0,278.0,278.0,0
2004-05-21,280.0,280.0,280.0,280.0,3000
2004-05-24,280.0,285.0,280.0,285.0,19000
2004-05-25,285.0,285.0,285.0,285.0,0
2004-05-26,284.0,290.0,284.0,290.0,28401
2004-05-27,295.0,295.0,295.0,295.0,24200
2004-05-28,295.0,295.0,295.0,295.0,0
2004-05-31,295.0,300.0,295.0,300.0,17386
2004-06-01,300.0,300.0,300.0,300.0,0
2004-06-02,305.0,305.0,305.0,305.0,5000
2004-06-03,305.0,305.0,305.0,305.0,0
2004-06-04,305.0,305.0,300.0,300.0,17650
2004-06-07,305.0,305.0,305.0,305.0,6000
2004-06-08,305.0,305.0,300.0,300.0,8900
2004-06-09,300.0,300.0,300.0,300.0,250
2004-06-10,300.0,300.0,300.0,300.0,3000
2004-06-11,300.0,300.0,300.0,300.0,11500
2004-06-14,300.0,306.0,300.0,306.0,15160
2004-06-15,300.0,300.0,290.0,300.0,75870
2004-06-17,300.0,300.0,295.0,295.0,14000
2004-06-18,300.0,300.0,300.0,300.0,5000
2004-06-21,295.0,300.0,295.0,300.0,8000
2004-06-22,295.0,300.0,295.0,300.0,4500
2004-06-23,300.0,300.0,300.0,300.0,2500
2004-06-24,300.0,300.0,300.0,300.0,0
2004-06-25,300.0,300.0,300.0,300.0,0
2004-06-28,300.0,300.0,300.0,300.0,0
2004-06-29,296.0,300.0,295.0,300.0,10000
2004-06-30,300.0,300.0,300.0,300.0,0
2004-07-01,300.0,300.0,300.0,300.0,0
2004-07-02,300.0,300.0,300.0,300.0,0
2004-07-05,300.0,300.0,300.0,300.0,0
2004-07-06,300.0,300.0,300.0,300.0,0
2004-07-07,295.0,300.0,295.0,300.0,9000
2004-07-08,300.0,300.0,300.0,300.0,1500
2004-07-09,300.0,300.0,300.0,300.0,0
2004-07-12,300.0,300.0,300.0,300.0,0
2004-07-13,298.0,300.0,298.0,300.0,7480
2004-07-14,300.0,300.0,300.0,300.0,0
2004-07-15,300.0,300.0,300.0,300.0,0
2004-07-16,296.0,296.0,296.0,296.0,20
2004-07-19,300.0,300.0,300.0,300.0,3000
2004-07-20,300.0,300.0,300.0,300.0,0
2004-07-21,300.0,300.0,300.0,300.0,0
2004-07-22,296.0,296.0,295.0,295.0,20980
2004-07-23,295.0,295.0,295.0,295.0,0
2004-07-26,290.0,295.0,290.0,295.0,11350
2004-07-27,295.0,295.0,295.0,295.0,0
2004-07-28,295.0,295.0,295.0,295.0,7300
2004-07-29,285.0,290.0,285.0,287.0,35000
2004-07-30,280.0,295.0,280.0,295.0,18000
2004-08-02,290.0,290.0,290.0,290.0,1450
2004-08-03,290.0,290.0,290.0,290.0,0
2004-08-04,290.0,290.0,290.0,290.0,0
2004-08-05,290.0,290.0,290.0,290.0,4000
