Date,Open,High,Low,Close,Volume
2013-11-13,5441.8,5500.0,5350.0,5387.0,34794950
2013-11-14,5450.0,5500.0,5327.0,5370.0,11196570
2013-11-15,5428.0,5428.0,5302.0,5342.0,5533618
2013-11-18,5400.0,5400.0,5292.0,5324.0,3669382
2013-11-19,5400.0,5400.0,5229.0,5296.0,2465247
2013-11-20,5300.0,5320.0,5190.0,5210.0,3253020
2013-11-21,5249.0,5259.0,5139.0,5162.0,1291646
2013-11-22,5189.0,5245.0,5085.0,5098.0,1517457
2013-11-25,5128.0,5149.0,5051.0,5074.0,1620986
2013-11-26,5100.0,5100.0,4967.0,4999.0,2576974
2013-11-27,5000.0,5129.0,5000.0,5129.0,1041576
2013-11-28,5150.0,5239.0,5140.0,5239.0,570791
2013-11-29,5290.0,5290.0,5150.0,5214.0,992860
2013-12-02,5220.0,5225.0,5120.0,5180.0,1418836
2013-12-03,5200.0,5200.0,5084.0,5190.0,2818075
2013-12-04,5200.0,5280.0,5176.0,5199.0,1547429
2013-12-05,5260.0,5299.0,5189.0,5250.0,1307413
2013-12-06,5290.0,5290.0,5192.0,5220.0,2839996
2013-12-09,5250.0,5250.0,5135.0,5210.0,2442418
2013-12-10,5294.0,5294.0,5200.0,5240.0,747878
2013-12-11,5230.0,5280.0,5194.0,5224.0,1236214
2013-12-12,5200.0,5250.0,5084.0,5092.0,1940403
2013-12-13,5199.0,5199.0,5056.0,5079.0,1595484
2013-12-17,5100.0,5210.0,5068.0,5196.0,2187352
2013-12-18,5249.0,5249.0,5168.0,5213.0,1554149
2013-12-19,5250.0,5345.0,5102.0,5233.0,6436743
2013-12-20,5339.0,5350.0,5200.0,5203.0,1070366
2013-12-23,5360.0,5360.0,5143.0,5178.0,122228
2013-12-24,5380.0,5380.0,5186.0,5191.0,141854
2013-12-27,5349.0,5460.0,5186.0,5455.24,228537
2013-12-30,5500.0,5527.0,5446.0,5465.0,385425
2013-12-31,5549.0,5549.0,5452.0,5481.0,49971
2014-01-02,5490.0,5505.0,5409.0,5409.0,159590
2014-01-03,5450.0,5450.0,5340.0,5349.0,206330
2014-01-06,5490.0,5490.0,5364.0,5364.0,249283
2014-01-07,5386.0,5435.0,5322.0,5370.0,1536047
2014-01-08,5449.0,5570.0,5400.0,5567.0,221400
2014-01-09,5568.0,5616.0,5542.0,5542.0,1457063
2014-01-10,5609.0,5672.0,5550.0,5587.0,1901337
2014-01-13,5669.0,5690.0,5550.0,5635.0,1274859
2014-01-14,5700.0,5705.0,5542.0,5640.0,1480793
2014-01-15,5679.0,5758.0,5679.0,5680.0,559513
2014-01-16,5685.0,5897.0,5685.0,5870.0,1936100
2014-01-17,5999.0,6090.0,5800.0,6020.0,5937952
2014-01-20,6100.0,6100.0,5950.0,6050.0,1565668
2014-01-21,6100.0,6100.0,5946.0,5950.0,725005
2014-01-22,6000.0,6066.0,5975.0,6034.0,856988
2014-01-23,6065.0,6130.0,6010.0,6085.0,1330502
2014-01-24,6090.0,6105.0,6005.0,6050.0,1133097
2014-01-27,6045.0,6077.0,5936.0,5960.0,1474232
2014-01-28,5950.0,6000.0,5900.0,5998.0,709690
2014-01-29,6000.0,6130.0,5956.0,6030.0,2057383
2014-01-30,6030.0,6083.0,5922.0,5922.0,1447729
2014-01-31,5940.0,6000.0,5900.0,5902.0,520184
2014-02-03,5905.0,5907.0,5790.0,5823.0,1168966
2014-02-04,5795.0,5795.0,5590.0,5685.0,2119389
2014-02-05,5709.0,5709.0,5634.0,5679.0,2467644
2014-02-06,5670.0,5899.0,5670.0,5800.0,4519776
