Date,Open,High,Low,Close,Volume
2005-10-31,1160.0,1165.0,1160.0,1160.0,43221
2005-11-01,1160.0,1165.0,1140.0,1150.0,447294
2005-11-02,1179.0,1179.0,1150.0,1160.0,1220026
2005-11-03,1179.0,1185.0,1165.0,1185.0,694377
2005-11-04,1192.0,1200.0,1177.0,1185.0,843641
2005-11-07,1185.0,1220.0,1185.0,1199.0,881428
2005-11-08,1199.0,1205.0,1180.0,1185.0,643534
2005-11-09,1185.0,1200.0,1175.0,1190.0,712857
2005-11-10,1185.0,1212.0,1185.0,1212.0,483928
2005-11-11,1215.0,1235.0,1215.0,1230.0,795721
2005-11-14,1234.0,1285.0,1234.0,1270.0,1311168
2005-11-15,1280.0,1280.0,1240.0,1260.0,305965
2005-11-16,1260.0,1260.0,1215.0,1215.0,1017715
2005-11-17,1225.0,1250.0,1225.0,1250.0,871120
2005-11-18,1241.0,1250.0,1235.0,1240.0,1310189
2005-11-21,1230.0,1240.0,1220.0,1240.0,486027
2005-11-22,1245.0,1275.0,1236.0,1251.0,911445
2005-11-23,1250.0,1275.0,1230.0,1235.0,1223169
2005-11-24,1239.0,1240.0,1210.0,1225.0,2487761
2005-11-25,1240.0,1240.0,1220.0,1229.0,665351
2005-11-28,1229.0,1230.0,1210.0,1210.0,452634
2005-11-29,1209.0,1209.0,1190.0,1195.0,969556
2005-11-30,1195.0,1220.0,1195.0,1195.0,2224400
2005-12-01,1210.0,1220.0,1200.0,1210.0,1292258
2005-12-02,1215.0,1220.0,1207.0,1210.0,1358589
2005-12-05,1230.0,1230.0,1216.0,1220.0,478956
2005-12-06,1220.0,1236.0,1220.0,1225.0,881886
2005-12-07,1230.0,1243.0,1225.0,1240.0,723068
2005-12-08,1245.0,1265.0,1240.0,1260.0,1143013
2005-12-09,1265.0,1302.0,1261.0,1302.0,2170657
2005-12-12,1305.0,1315.0,1275.0,1280.0,838930
2005-12-13,1280.0,1290.0,1279.0,1285.0,280322
2005-12-14,1284.0,1300.0,1280.0,1296.0,653411
2005-12-15,1299.0,1303.0,1290.0,1300.0,609363
2005-12-19,1295.0,1303.0,1280.0,1296.0,608050
2005-12-20,1303.0,1303.0,1285.0,1299.0,149905
2005-12-21,1300.0,1300.0,1285.0,1290.0,85371
2005-12-22,1290.0,1300.0,1285.0,1293.0,671361
2005-12-23,1290.0,1298.0,1290.0,1294.0,116123
2005-12-27,1290.0,1298.0,1290.0,1290.0,314840
2005-12-28,1285.0,1290.0,1280.0,1280.0,308499
2005-12-29,1287.0,1287.0,1280.0,1283.0,206911
2005-12-30,1282.0,1283.0,1270.0,1275.0,267576
2006-01-03,1280.0,1300.0,1271.0,1300.0,261280
2006-01-04,1305.0,1340.0,1305.0,1335.0,284622
2006-01-05,1336.0,1339.0,1307.0,1324.0,284975
2006-01-06,1325.0,1349.0,1320.0,1348.0,170661
2006-01-09,1349.0,1375.0,1340.0,1350.0,601604
2006-01-10,1355.0,1398.49,1355.0,1391.0,651169
2006-01-11,1395.0,1449.0,1392.0,1405.0,903636
2006-01-12,1405.0,1415.0,1392.0,1400.0,915776
2006-01-13,1400.0,1425.0,1400.0,1425.0,303731
2006-01-16,1450.0,1450.0,1434.0,1445.0,524941
2006-01-17,1445.0,1450.0,1405.0,1425.0,661173
2006-01-18,1425.0,1425.0,1366.0,1420.0,1529335
2006-01-19,1420.0,1440.0,1401.0,1425.0,444263
2006-01-20,1445.0,1445.0,1380.0,1380.0,525317
2006-01-23,1380.0,1400.0,1369.0,1395.0,598772
2006-01-24,1410.0,1430.0,1395.0,1395.0,304314
2006-01-25,1400.0,1410.0,1380.0,1400.0,885626
2006-01-26,1400.0,1435.0,1400.0,1421.0,662912
2006-01-27,1434.0,1440.0,1398.0,1400.0,1144568
2006-01-30,1414.0,1435.0,1376.0,1381.0,807485
2006-01-31,1400.0,1405.0,1380.0,1400.0,1026460
