Date,Open,High,Low,Close,Volume
2003-12-29,975.0,975.0,960.0,960.0,4500
2003-12-30,961.0,970.0,960.0,960.0,61000
2004-01-02,965.0,965.0,965.0,965.0,5090
2004-01-05,925.0,925.0,925.0,925.0,5000
2004-01-06,900.0,900.0,870.0,870.0,42800
2004-01-07,900.0,901.0,890.0,900.0,9500
2004-01-08,910.0,910.0,910.0,910.0,420
2004-01-09,910.0,910.0,880.0,900.0,85831
2004-01-12,900.0,901.0,900.0,900.0,0
2004-01-13,905.0,910.0,905.0,910.0,0
2004-01-14,910.0,910.0,910.0,910.0,0
2004-01-15,910.0,910.0,910.0,910.0,0
2004-01-16,910.0,910.0,910.0,910.0,0
2004-01-19,920.0,920.0,900.0,920.0,0
2004-01-20,925.0,925.0,920.0,920.0,0
2004-01-21,923.0,923.0,900.0,900.0,0
2004-01-22,890.0,890.0,880.0,880.0,0
2004-01-23,880.0,885.0,880.0,880.0,0
2004-01-26,880.0,880.0,880.0,880.0,0
2004-01-27,900.0,900.0,880.0,880.0,0
2004-01-28,875.0,880.0,875.0,875.0,0
2004-01-29,875.0,875.0,870.0,873.0,0
2004-01-30,875.0,880.0,870.0,875.0,0
2004-02-02,875.0,875.0,830.0,835.0,0
2004-02-03,841.0,841.0,840.0,841.0,0
2004-02-04,841.0,865.0,839.0,865.0,0
2004-02-05,860.0,868.0,860.0,865.0,0
2004-02-06,865.0,865.0,865.0,865.0,0
2004-02-09,850.0,850.0,850.0,850.0,0
2004-02-10,856.0,860.0,856.0,860.0,18310
2004-02-11,860.0,860.0,835.0,835.0,107928
2004-02-12,835.0,836.0,835.0,835.0,18600
2004-02-13,835.0,835.0,835.0,835.0,0
2004-02-16,845.0,850.0,845.0,850.0,3250
2004-02-17,860.0,860.0,855.0,855.0,38650
2004-02-18,845.0,845.0,840.0,845.0,6112
2004-02-19,855.0,875.0,855.0,870.0,76691
2004-02-20,875.0,900.0,875.0,880.0,30300
2004-02-23,890.0,892.0,885.0,892.0,75000
2004-02-24,895.0,900.0,895.0,895.0,8802
2004-02-25,895.0,905.0,895.0,905.0,218400
2004-02-26,905.0,905.0,900.0,900.0,168500
2004-02-27,905.0,905.0,900.0,905.0,367500
2004-03-01,900.0,905.0,900.0,905.0,89590
2004-03-02,906.0,906.0,905.0,905.0,128166
2004-03-03,905.0,905.0,905.0,905.0,107000
2004-03-04,901.0,901.0,900.0,900.0,21000
2004-03-05,901.0,902.0,901.0,902.0,125000
2004-03-08,905.0,905.0,905.0,905.0,20000
2004-03-09,908.0,908.0,905.0,905.0,4000
2004-03-10,907.0,908.0,906.0,908.0,53504
2004-03-11,908.0,908.0,905.0,905.0,49191
2004-03-12,905.0,911.0,900.0,905.0,125810
2004-03-15,907.0,915.0,907.0,910.0,24000
2004-03-16,912.0,915.0,910.0,910.0,36900
2004-03-17,920.0,940.0,920.0,940.0,40487
2004-03-18,940.0,940.0,940.0,940.0,0
2004-03-19,935.0,942.0,935.0,942.0,65410
2004-03-23,910.0,942.0,910.0,942.0,18317
2004-03-24,945.0,950.0,945.0,950.0,20500
2004-03-25,960.0,1000.0,960.0,990.0,5000
2004-03-26,980.0,1000.0,980.0,1000.0,38973
2004-03-29,980.0,1000.0,980.0,1000.0,116400
2004-03-30,1000.0,1000.0,995.0,1000.0,2126000
2004-03-31,975.0,975.0,970.0,975.0,14500
2004-04-01,965.0,974.0,965.0,966.0,18500
2004-04-02,966.0,975.0,966.0,975.0,169700
2004-04-05,975.0,975.0,974.0,974.0,23500
2004-04-06,950.0,975.0,950.0,965.0,38200
2004-04-07,960.0,965.0,950.0,960.0,75200
2004-04-08,960.0,960.0,950.0,950.0,949570
2004-04-13,950.0,970.0,950.0,950.0,28522
2004-04-15,950.0,960.0,950.0,960.0,154605
2004-04-16,970.0,970.0,970.0,970.0,126549
2004-04-19,960.0,970.0,960.0,970.0,541958
2004-04-20,970.0,970.0,969.0,970.0,254000
2004-04-21,970.0,970.0,970.0,970.0,15125
2004-04-22,950.0,950.0,950.0,950.0,550
2004-04-23,950.0,950.0,950.0,950.0,100
2004-04-26,950.0,950.0,950.0,950.0,5000
2004-04-28,950.0,950.0,950.0,950.0,116579
2004-04-29,951.0,951.0,949.0,950.0,14271
2004-04-30,940.0,965.0,940.0,955.0,24672
2004-05-03,950.0,965.0,950.0,965.0,793300
2004-05-04,965.0,965.0,965.0,965.0,5250
2004-05-05,960.0,960.0,955.0,955.0,27300
2004-05-06,965.0,972.0,965.0,970.0,507567
2004-05-07,970.0,985.0,970.0,970.0,17450
2004-05-10,975.0,985.0,975.0,985.0,14528
2004-05-11,980.0,995.0,980.0,985.0,256650
2004-05-12,985.0,985.0,975.0,975.0,501312
2004-05-13,975.0,975.0,970.0,975.0,42900
2004-05-14,970.0,975.0,970.0,975.0,332502
2004-05-17,985.0,986.0,985.0,985.0,232498
2004-05-18,950.0,950.0,950.0,950.0,797
2004-05-19,955.0,955.0,950.0,950.0,10000
2004-05-20,950.0,950.0,945.0,950.0,138000
2004-05-21,949.0,950.0,948.0,950.0,114119
2004-05-24,935.0,950.0,935.0,942.0,47400
2004-05-25,950.0,950.0,950.0,950.0,100400
2004-05-26,950.0,950.0,950.0,950.0,0
2004-05-27,950.0,950.0,950.0,950.0,74431
2004-05-28,950.0,954.0,950.0,954.0,41117
2004-05-31,955.0,955.0,950.0,950.0,15000
2004-06-01,955.0,955.0,955.0,955.0,25000
2004-06-02,960.0,965.0,960.0,965.0,40000
2004-06-03,968.0,968.0,965.0,965.0,47200
2004-06-04,967.0,967.0,967.0,967.0,10657
2004-06-07,969.0,976.0,968.0,976.0,5550
2004-06-08,966.0,975.0,965.0,971.0,119700
2004-06-09,975.0,985.0,975.0,985.0,203223
2004-06-10,985.0,985.0,985.0,985.0,36400
2004-06-11,978.0,980.0,975.0,975.0,38895
2004-06-14,975.0,990.0,975.0,990.0,408000
2004-06-15,1000.0,1000.0,995.0,1000.0,48800
2004-06-17,1020.0,1035.0,1020.0,1025.0,10950
2004-06-18,1020.0,1032.0,1020.0,1032.0,24150
2004-06-21,1050.0,1060.0,1050.0,1060.0,41450
2004-06-22,1055.0,1056.0,1055.0,1055.0,125309
2004-06-23,1035.0,1055.0,1035.0,1055.0,105941
2004-06-24,1055.0,1055.0,1055.0,1055.0,200
2004-06-25,1060.0,1070.0,1060.0,1065.0,18000
2004-06-28,1067.0,1085.0,1065.0,1080.0,225394
2004-06-29,1090.0,1100.0,1090.0,1090.0,37042
2004-06-30,1100.0,1100.0,1090.0,1100.0,19400
2004-07-01,1101.0,1101.0,1090.0,1090.0,501035
2004-07-02,1090.0,1090.0,1080.0,1080.0,19765
2004-07-05,1086.0,1100.0,1085.0,1100.0,30301
2004-07-06,1095.0,1095.0,1085.0,1085.0,9000
2004-07-07,1085.0,1085.0,1070.0,1075.0,37208
2004-07-08,1060.0,1060.0,1050.0,1050.0,27867
2004-07-09,1040.0,1050.0,1040.0,1050.0,34200
2004-07-12,1049.0,1055.0,1049.0,1050.0,743915
2004-07-13,1048.0,1048.0,1035.0,1035.0,4396
2004-07-14,1034.0,1034.0,1025.0,1025.0,240256
2004-07-15,1025.0,1040.0,1024.0,1040.0,196556
2004-07-16,1010.0,1070.0,1005.0,1060.0,187105
2004-07-19,1055.0,1055.0,1050.0,1050.0,5200
2004-07-20,1050.0,1050.0,1050.0,1050.0,40400
2004-07-21,1060.0,1070.0,1060.0,1070.0,53084
2004-07-22,1070.0,1070.0,1070.0,1070.0,0
2004-07-23,1065.0,1065.0,1050.0,1050.0,17150
2004-07-26,1050.0,1050.0,1050.0,1050.0,28990
2004-07-27,1050.0,1050.0,1045.0,1049.0,69300
2004-07-28,1050.0,1050.0,1030.0,1050.0,21550
2004-07-29,1040.0,1050.0,1040.0,1050.0,3800
2004-07-30,1035.0,1040.0,1035.0,1040.0,33500
2004-08-02,1040.0,1040.0,1010.0,1010.0,32350
2004-08-03,1010.0,1010.0,1000.0,1010.0,884863
2004-08-04,1005.0,1030.0,1005.0,1025.0,1002851
2004-08-05,1030.0,1040.0,1030.0,1030.0,187700
2004-08-06,1040.0,1040.0,1030.0,1030.0,61686
2004-08-10,1030.0,1030.0,1030.0,1030.0,56427
2004-08-11,1030.0,1051.0,1030.0,1050.0,131474
2004-08-12,1050.0,1050.0,1050.0,1050.0,68700
2004-08-13,1070.0,1100.0,1052.0,1080.0,48400
2004-08-16,1150.0,1195.0,1150.0,1169.0,8230
