Date,Open,High,Low,Close,Volume
2011-07-18,3097.0,3101.0,3040.0,3040.0,37279223
2011-07-19,3040.0,3075.0,3040.0,3050.0,477281
2011-07-20,3100.0,3120.0,3100.0,3120.0,2090
2011-07-21,3110.0,3199.0,3110.0,3110.0,5825
2011-07-22,3115.0,3150.0,3115.0,3150.0,29415
2011-07-25,3220.0,3220.0,3100.0,3100.0,11114
2011-07-26,3225.0,3225.0,3150.0,3150.0,2600
2011-07-27,3200.0,3200.0,3100.0,3100.0,109196
2011-07-28,3100.0,3100.0,3100.0,3100.0,1829061
2011-07-29,3080.0,3080.0,3065.0,3080.0,143500
2011-08-01,3100.0,3100.0,3080.0,3080.0,37905
2011-08-02,3080.0,3080.0,3074.0,3075.0,47330
2011-08-03,3075.0,3075.0,3050.0,3050.0,315000
2011-08-04,3080.0,3080.0,3080.0,3080.0,172
2011-08-05,3045.0,3045.0,3015.0,3020.0,116424
2011-08-08,3020.0,3050.0,3020.0,3040.0,38320
2011-08-10,3040.0,3071.0,3020.0,3050.0,576859
2011-08-11,3050.0,3060.0,3040.0,3046.0,381344
2011-08-12,3045.0,3045.0,3045.0,3045.0,46613
2011-08-15,3045.0,3050.0,3045.0,3050.0,98095
2011-08-16,3050.0,3075.0,3050.0,3050.0,74281
2011-08-17,3050.0,3075.0,3050.0,3075.0,14181
2011-08-18,3050.0,3050.0,3045.0,3045.0,497750
2011-08-19,3050.0,3050.0,3029.0,3029.0,51322
2011-08-22,2950.0,3015.0,2950.0,2980.0,6591
2011-08-23,2980.0,2980.0,2978.0,2980.0,20130
2011-08-24,2980.0,3050.0,2980.0,3050.0,2180
2011-08-25,3040.0,3040.0,3010.0,3011.0,135760
2011-08-26,,,,3011.0,0
2011-08-29,3010.0,3010.0,3010.0,3010.0,6541
2011-08-30,3010.0,3050.0,3010.0,3050.0,10700
2011-08-31,3000.0,3150.0,3000.0,3150.0,66495
2011-09-01,,,,3150.0,0
2011-09-02,,,,3150.0,0
2011-09-05,3145.0,3145.0,3000.0,3000.0,16487
2011-09-06,3000.0,3000.0,3000.0,3000.0,64
2011-09-07,2980.0,2980.0,2980.0,2980.0,647
2011-09-08,2980.0,2985.0,2980.0,2980.0,240000
2011-09-09,2980.0,2980.0,2950.0,2950.0,80064
2011-09-12,2950.0,2950.0,2925.0,2925.0,92196
2011-09-13,2900.0,2925.0,2900.0,2925.0,533196
2011-09-14,2880.0,3015.0,2880.0,3015.0,976481
2011-09-15,3020.0,3200.0,3020.0,3200.0,528956
2011-09-16,3300.0,3300.0,3200.0,3300.0,17007
2011-09-19,3265.0,3300.0,3265.0,3300.0,13986
2011-09-20,3300.0,3320.0,3300.0,3300.0,75729
2011-09-21,3301.0,3301.0,3300.0,3300.0,20661
2011-09-22,3300.0,3300.0,3200.0,3210.0,237122
2011-09-23,3150.0,3150.0,3150.0,3150.0,318
2011-09-26,3000.0,3029.0,2999.0,3007.0,706656
2011-09-27,3148.0,3148.0,3148.0,3148.0,100
2011-09-28,3100.0,3250.0,3100.0,3200.0,34568
