Date,Open,High,Low,Close,Volume
2013-10-24,10.24,,,10.21,3020931
2013-10-25,10.3,11.0,10.3,10.6,817726
2013-10-28,10.89,10.89,10.66,10.7,557923
2013-10-29,10.8,11.0,10.71,10.75,404148
2013-10-30,10.8,11.5,10.8,11.0,231635
2013-10-31,10.98,11.45,10.89,10.9,330661
2013-11-01,11.0,11.2,10.95,10.95,189956
2013-11-04,10.95,11.0,10.84,10.85,475861
2013-11-05,10.85,11.0,10.85,11.0,287010
2013-11-06,11.0,11.0,10.9,11.0,592580
2013-11-07,11.0,11.0,11.0,11.0,202635
2013-11-08,11.5,11.5,11.0,11.0,89170
2013-11-11,11.2,11.2,10.85,10.85,67752
2013-11-12,10.99,10.99,10.85,10.85,219972
2013-11-13,10.95,10.95,10.8,10.8,129956
2013-11-14,10.8,10.8,10.7,10.8,163372
2013-11-15,10.95,10.95,10.5,10.65,110328
2013-11-18,10.99,11.2,10.8,10.8,32635
2013-11-19,10.8,10.8,10.75,10.8,122618
2013-11-20,10.8,10.8,10.51,10.6,867870
2013-11-21,10.61,10.8,10.6,10.8,30392
2013-11-22,10.8,11.5,10.8,11.0,252883
2013-11-25,11.0,11.1,10.7,11.0,147411
2013-11-26,10.95,10.95,10.75,10.75,126396
2013-11-27,10.8,10.95,10.75,10.75,111850
2013-11-28,10.79,10.9,10.79,10.79,82375
2013-11-29,10.89,10.89,10.75,10.75,66850
2013-12-02,10.75,10.75,10.75,10.75,169706
2013-12-03,10.75,10.75,10.6,10.6,357127
2013-12-04,10.6,10.75,10.6,10.65,140329
2013-12-05,10.65,10.65,10.6,10.65,137746
2013-12-06,10.65,10.65,10.63,10.63,109866
2013-12-09,11.0,11.0,10.64,10.71,97373
2013-12-10,11.0,11.0,10.64,10.65,173741
2013-12-11,10.8,11.0,10.65,10.68,23700
2013-12-12,10.68,10.68,10.6,10.6,73914
2013-12-13,10.6,10.6,10.5,10.55,65428
2013-12-17,10.55,10.65,10.55,10.65,41308
2013-12-18,10.65,10.7,10.65,10.7,59495
2013-12-19,10.7,11.0,10.7,11.0,286157
2013-12-20,10.8,10.8,10.8,10.8,81863
2013-12-23,10.8,10.8,10.8,10.8,19100
2013-12-24,10.8,11.0,10.8,11.0,700
2013-12-27,10.8,10.8,10.65,10.8,131086
2013-12-30,10.8,11.5,10.8,11.25,89600
2013-12-31,11.25,11.25,11.2,11.25,20600
2014-01-02,11.25,11.25,11.1,11.11,9880
2014-01-03,11.25,11.4,11.25,11.3,49847
2014-01-06,11.41,11.42,11.4,11.42,32458
2014-01-07,11.8,11.8,11.8,11.8,218022
2014-01-08,11.83,11.83,11.7,11.7,43695
2014-01-09,11.8,11.8,11.8,11.8,51400
2014-01-10,11.8,11.8,11.8,11.8,19400
2014-01-13,11.5,11.55,11.5,11.55,40344
2014-01-14,11.8,11.8,11.6,11.72,36444
2014-01-15,11.8,11.8,11.5,11.53,112041
2014-01-16,11.5,11.53,11.3,11.3,88392
2014-01-17,11.3,11.35,11.3,11.35,5340
2014-01-20,11.37,11.4,11.3,11.3,65453
2014-01-21,11.3,11.3,11.25,11.25,84375
2014-01-22,11.25,11.25,11.2,11.2,185403
2014-01-23,11.2,11.26,11.2,11.26,10075
2014-01-24,11.2,11.4,11.1,11.15,218439
2014-01-27,11.21,11.21,11.21,11.21,108895
2014-01-28,11.21,11.21,11.15,11.15,2447
2014-01-29,11.35,11.35,11.26,11.26,419762
2014-01-30,11.25,11.3,11.15,11.3,526100
2014-01-31,11.15,11.3,11.01,11.3,22350
2014-02-03,11.3,11.3,11.3,11.3,3975
2014-02-04,11.4,11.5,11.3,11.5,124265
2014-02-05,11.75,11.75,11.4,11.4,3300
2014-02-06,,,,11.4,0
2014-02-07,11.65,11.7,11.3,11.3,68557
2014-02-10,11.38,11.38,11.3,11.33,39975
2014-02-11,11.35,11.35,11.35,11.35,44245
2014-02-12,11.35,11.35,11.25,11.25,7376
2014-02-13,11.3,11.3,11.3,11.3,44920
2014-02-14,11.5,11.5,11.4,11.4,2440
2014-02-17,11.35,12.34,11.3,12.34,17601
2014-02-18,12.2,12.2,12.2,12.2,2000
2014-02-19,,,,12.2,0
2014-02-20,11.55,11.7,11.5,11.7,20300
2014-02-21,12.0,12.0,12.0,12.0,138
2014-02-24,11.54,11.55,11.5,11.53,37562
2014-02-25,11.53,11.53,11.5,11.53,11300
2014-02-26,11.55,11.55,11.53,11.53,27994
2014-02-27,11.53,12.0,11.53,11.53,194700
2014-02-28,11.6,12.25,11.6,12.25,1077
2014-03-03,12.0,12.0,11.94,11.97,43200
2014-03-04,11.51,11.73,11.5,11.73,13977
2014-03-05,11.5,11.52,11.5,11.52,188000
2014-03-06,11.55,11.55,11.45,11.45,4200
2014-03-07,11.45,11.45,11.45,11.45,3650
2014-03-10,11.3,11.94,11.3,11.51,73900
2014-03-11,11.51,11.85,11.35,11.51,26994
2014-03-12,11.51,11.51,11.4,11.51,126500
2014-03-13,11.5,11.98,11.5,11.6,756903
2014-03-14,11.98,11.98,11.52,11.75,10203
2014-03-17,11.7,11.75,11.52,11.52,16800
2014-03-18,,,,11.52,9613
2014-03-19,11.54,11.54,11.54,11.54,77797
2014-03-20,12.23,12.23,11.93,11.93,2044
2014-03-24,11.93,11.93,11.8,11.8,16750
2014-03-25,12.0,12.0,11.65,11.7,65775
2014-03-26,11.7,11.7,11.65,11.65,17936
2014-03-27,11.6,11.62,11.6,11.62,1047554
2014-03-28,11.61,11.62,11.53,11.53,96672
2014-03-31,11.5,11.76,11.3,11.76,41892
2014-04-01,11.85,11.85,11.35,11.75,40633
2014-04-02,11.74,11.75,11.74,11.75,4500
2014-04-03,11.4,11.4,11.4,11.4,1000
2014-04-04,11.5,11.6,11.45,11.6,8900
2014-04-07,,,,11.6,0
2014-04-08,11.75,11.75,11.75,11.75,4303
2014-04-09,11.75,11.75,11.75,11.75,66345
2014-04-10,11.75,11.75,11.75,11.75,45300
2014-04-11,11.75,11.75,11.6,11.6,54884
2014-04-14,11.51,11.6,11.51,11.6,36678
2014-04-15,11.6,11.6,11.5,11.5,10025
2014-04-16,11.5,11.6,11.5,11.6,9640
2014-04-17,11.6,11.6,11.35,11.35,24929
2014-04-22,11.35,11.35,11.26,11.26,26534
2014-04-23,11.35,11.4,11.2,11.2,64600
2014-04-24,11.5,11.6,11.2,11.2,66157
2014-04-25,11.2,11.7,11.2,11.59,97135
2014-04-29,11.6,11.6,11.3,11.59,67609
2014-04-30,,,,11.59,0
2014-05-02,11.45,11.45,11.3,11.3,21000
2014-05-05,11.35,11.53,11.35,11.53,50768
2014-05-06,11.58,11.59,11.5,11.5,50837
2014-05-08,11.45,11.5,11.4,11.5,76797
2014-05-09,11.5,11.5,11.4,11.41,26543
2014-05-12,11.5,11.5,11.4,11.4,20433
2014-05-13,11.49,11.49,11.43,11.43,69862
2014-05-14,11.43,11.5,11.4,11.41,310073
2014-05-15,11.5,11.5,11.3,11.3,62000
2014-05-16,11.85,11.85,11.35,11.46,184722
2014-05-19,11.4,11.4,11.4,11.4,620
2014-05-20,11.41,11.45,11.41,11.41,23553
2014-05-21,11.5,11.7,11.5,11.6,39968
2014-05-22,11.79,11.91,11.62,11.7,53775
2014-05-23,11.59,11.7,11.55,11.6,86171
2014-05-26,11.6,11.6,11.56,11.6,15973
2014-05-27,11.6,11.6,11.59,11.59,816070
2014-05-28,11.59,11.6,11.55,11.59,162150
2014-05-29,11.52,11.59,11.4,11.5,55219
2014-05-30,11.5,11.5,11.45,11.45,16600
2014-06-02,11.49,11.49,11.3,11.4,129142
2014-06-03,11.4,11.45,11.35,11.4,229710
2014-06-04,11.45,11.55,11.4,11.55,127522
2014-06-05,11.6,11.6,11.51,11.6,168309
2014-06-06,11.6,11.65,11.6,11.65,323382
2014-06-09,11.45,11.6,11.2,11.4,25202
2014-06-10,11.4,11.4,11.4,11.4,55000
2014-06-11,11.4,11.6,11.4,11.6,34202
2014-06-12,11.6,11.6,11.48,11.55,139800
2014-06-13,11.41,11.55,11.4,11.55,17359
2014-06-17,11.55,11.55,11.4,11.5,42035
2014-06-18,11.5,11.5,11.5,11.5,5400
2014-06-19,11.7,11.7,11.5,11.5,8717
2014-06-20,11.69,11.69,11.3,11.31,16002
2014-06-23,11.36,11.5,11.36,11.5,191480
2014-06-24,11.37,11.69,11.37,11.6,44435
2014-06-25,11.45,11.65,11.45,11.65,234824
2014-06-26,11.7,11.7,11.7,11.7,9700
2014-06-27,11.6,11.7,11.5,11.6,940717
2014-06-30,11.7,11.7,11.5,11.52,16471
2014-07-01,11.5,11.7,11.5,11.7,2541
2014-07-02,11.7,11.8,11.7,11.7,807088
2014-07-03,11.7,11.7,11.7,11.7,83120
2014-07-04,11.6,11.7,11.6,11.7,92389
2014-07-07,11.7,11.7,11.6,11.7,146725
2014-07-08,11.7,11.7,11.6,11.6,115096
2014-07-09,11.6,11.6,11.6,11.6,14815
2014-07-10,11.55,11.55,11.5,11.5,34580
2014-07-11,11.45,11.45,11.36,11.36,86120
2014-07-14,11.5,11.5,11.49,11.49,83400
2014-07-15,11.68,11.68,11.4,11.5,487792
2014-07-16,11.43,11.43,11.3,11.43,58725
2014-07-17,11.4,11.49,11.4,11.4,295715
2014-07-18,11.42,11.42,11.4,11.4,139733
2014-07-21,11.38,11.4,11.25,11.38,458627
2014-07-22,11.4,11.4,11.38,11.39,1210550
2014-07-23,11.3,11.4,11.3,11.3,80800
2014-07-24,11.31,11.4,11.3,11.4,220445
2014-07-25,11.4,11.4,11.34,11.4,265900
2014-07-28,11.4,11.4,11.3,11.3,21575
2014-07-29,11.3,11.39,11.3,11.39,34691
2014-07-30,11.4,11.4,11.35,11.39,256569
2014-07-31,11.3,11.39,11.3,11.3,26164
2014-08-01,11.31,11.31,11.31,11.31,10000
2014-08-04,11.35,11.35,11.25,11.25,53700
