Date,Open,High,Low,Close,Volume
2003-12-29,676.0,695.0,676.0,695.0,6217
2003-12-30,695.0,695.0,682.0,682.0,257874
2004-01-02,695.0,700.0,694.0,700.0,41230
2004-01-05,695.0,700.0,685.0,700.0,160600
2004-01-06,690.0,690.0,690.0,690.0,41294
2004-01-07,690.0,690.0,675.0,675.0,98177
2004-01-08,676.0,680.0,666.0,680.0,616676
2004-01-09,680.0,690.0,680.0,690.0,685185
2004-01-12,690.0,700.0,690.0,700.0,0
2004-01-13,720.0,725.0,700.0,720.0,0
2004-01-14,725.0,763.0,725.0,762.0,0
2004-01-15,770.0,780.0,760.0,770.0,0
2004-01-16,780.0,810.0,780.0,800.0,0
2004-01-19,815.0,815.0,800.0,815.0,0
2004-01-20,815.0,815.0,790.0,790.0,0
2004-01-21,790.0,800.0,779.0,790.0,0
2004-01-22,790.0,800.0,790.0,800.0,0
2004-01-23,815.0,815.0,800.0,815.0,0
2004-01-26,815.0,815.0,810.0,815.0,0
2004-01-27,810.0,815.0,805.0,805.0,0
2004-01-28,805.0,805.0,780.0,780.0,0
2004-01-29,795.0,795.0,750.0,795.0,0
2004-01-30,780.0,795.0,595.08,780.0,0
2004-02-02,780.0,790.0,775.0,780.0,0
2004-02-03,780.0,780.0,780.0,780.0,0
2004-02-04,778.0,780.0,775.0,778.0,0
2004-02-05,765.0,770.0,765.0,765.0,0
2004-02-06,770.0,770.0,766.0,770.0,0
2004-02-09,770.0,770.0,760.0,765.0,1156214
2004-02-10,760.0,768.0,760.0,760.0,222806
2004-02-11,760.0,765.0,760.0,763.0,68514
2004-02-12,765.0,770.0,760.0,760.0,331956
2004-02-13,762.0,770.0,760.0,762.0,38839
2004-02-16,760.0,760.0,750.0,750.0,145607
2004-02-17,745.0,750.0,744.0,745.0,497906
2004-02-18,745.0,750.0,742.0,745.0,258800
2004-02-19,750.0,750.0,746.0,750.0,821015
2004-02-20,745.0,750.0,745.0,750.0,176609
2004-02-23,750.0,751.0,750.0,750.0,72730
2004-02-24,750.0,750.0,750.0,750.0,71004
2004-02-25,750.0,750.0,730.0,735.0,355025
2004-02-26,735.0,737.0,720.0,735.0,619710
2004-02-27,740.0,740.0,735.0,740.0,492382
2004-03-01,730.0,750.0,730.0,750.0,824077
2004-03-02,750.0,760.0,721.0,760.0,1121637
2004-03-03,760.0,760.0,755.0,759.0,356090
2004-03-04,759.0,777.0,755.0,765.0,151699
2004-03-05,765.0,765.0,750.0,750.0,115750
2004-03-08,750.0,750.0,730.0,736.0,63712
2004-03-09,738.0,738.0,731.0,732.0,127831
2004-03-10,732.0,732.0,726.0,726.0,1031504
2004-03-11,726.0,726.0,715.0,717.0,607793
2004-03-12,712.0,740.0,711.0,730.0,54143
2004-03-15,730.0,745.0,730.0,740.0,653664
2004-03-16,740.0,750.0,740.0,747.0,453256
2004-03-17,745.0,745.0,740.0,740.0,147314
2004-03-18,745.0,745.0,740.0,740.0,363608
2004-03-19,739.0,761.0,739.0,761.0,157846
2004-03-23,750.0,775.0,750.0,765.0,133057
2004-03-24,760.0,776.0,760.0,773.0,287557
2004-03-25,775.0,800.0,775.0,800.0,205737
2004-03-26,800.0,805.0,800.0,800.0,703459
2004-03-29,800.0,800.0,785.0,790.0,716105
2004-03-30,785.0,790.0,780.0,785.0,632205
2004-03-31,785.0,810.0,785.0,800.0,2098346
2004-04-01,800.0,800.0,760.0,760.0,69174
2004-04-02,770.0,780.0,770.0,770.0,266176
2004-04-05,770.0,780.0,770.0,780.0,801054
2004-04-06,780.0,780.0,752.0,775.0,296879
2004-04-07,776.0,776.0,770.0,770.0,53831
2004-04-08,785.0,785.0,770.0,775.0,916737
2004-04-13,760.0,770.0,760.0,765.0,389509
2004-04-15,760.0,765.0,755.0,760.0,480585
2004-04-16,751.0,755.0,750.0,750.0,1076438
2004-04-19,753.0,753.0,743.0,745.0,171908
2004-04-20,745.0,750.0,745.0,745.0,406226
2004-04-21,745.0,745.0,743.0,743.0,192310
2004-04-22,745.0,789.0,742.0,745.0,14246
2004-04-23,750.0,765.0,750.0,753.0,53988
2004-04-26,760.0,765.0,760.0,765.0,23193
2004-04-28,765.0,800.0,764.24,775.0,5911
2004-04-29,790.0,795.0,780.0,780.0,144839
2004-04-30,780.0,780.0,765.0,780.0,768945
2004-05-03,785.0,785.0,765.0,765.0,16501
2004-05-04,765.0,765.0,750.0,760.0,241961
2004-05-05,758.0,760.0,750.0,760.0,291573
2004-05-06,755.0,780.0,750.0,780.0,68144
2004-05-07,780.0,780.0,752.0,760.0,351645
2004-05-10,752.0,760.0,752.0,755.0,49017
2004-05-11,756.0,770.0,755.0,770.0,441764
2004-05-12,775.0,781.0,770.0,780.0,655352
2004-05-13,790.0,790.0,770.0,775.0,82666
2004-05-14,775.0,775.0,750.0,755.0,105849
2004-05-17,755.0,755.0,364.38,750.0,75912
2004-05-18,750.0,769.0,750.0,769.0,260471
2004-05-19,755.0,760.0,753.0,760.0,104511
2004-05-20,755.0,760.0,750.0,750.0,531266
2004-05-21,750.0,760.0,746.0,750.0,1030364
2004-05-24,750.0,775.0,602.19,757.0,108241
2004-05-25,755.0,755.0,751.0,751.0,102526
2004-05-26,755.0,755.0,750.0,751.0,23521
2004-05-27,751.0,765.0,751.0,751.0,637562
2004-05-28,755.0,758.0,755.0,758.0,52153
2004-05-31,761.0,785.0,753.07,780.0,346321
2004-06-01,790.0,790.0,770.0,770.0,170058
