Date,Open,High,Low,Close,Volume
2003-12-29,100.0,100.0,100.0,100.0,0
2003-12-30,100.0,100.0,100.0,100.0,0
2004-01-02,90.0,90.0,90.0,90.0,7504
2004-01-05,84.0,84.0,50.0,50.0,39556
2004-01-06,50.0,50.0,50.0,50.0,50
2004-01-07,50.0,50.0,50.0,50.0,0
2004-01-08,70.0,70.0,61.0,70.0,13000
2004-01-09,75.0,75.0,75.0,75.0,215
2004-01-12,75.0,75.0,75.0,75.0,0
2004-01-13,75.0,75.0,75.0,75.0,0
2004-01-14,75.0,75.0,75.0,75.0,0
2004-01-15,75.0,75.0,75.0,75.0,0
2004-01-16,75.0,75.0,75.0,75.0,0
2004-01-19,75.0,75.0,75.0,75.0,0
2004-01-20,75.0,75.0,75.0,75.0,0
2004-01-21,75.0,75.0,75.0,75.0,0
2004-01-22,75.0,75.0,75.0,75.0,0
2004-01-23,75.0,75.0,75.0,75.0,0
2004-01-26,75.0,75.0,75.0,75.0,0
2004-01-27,75.0,75.0,75.0,75.0,0
2004-01-28,70.0,100.0,70.0,100.0,0
2004-01-29,100.0,100.0,100.0,100.0,0
2004-01-30,100.0,100.0,100.0,100.0,0
2004-02-02,100.0,100.0,100.0,100.0,0
2004-02-03,100.0,100.0,100.0,100.0,0
2004-02-04,100.0,100.0,100.0,100.0,0
2004-02-05,100.0,100.0,100.0,100.0,0
2004-02-06,100.0,100.0,100.0,100.0,0
2004-02-09,100.0,100.0,100.0,100.0,0
2004-02-10,90.0,90.0,90.0,90.0,35
2004-02-11,90.0,90.0,90.0,90.0,0
2004-02-12,90.0,90.0,90.0,90.0,0
2004-02-13,90.0,90.0,90.0,90.0,0
2004-02-16,90.0,90.0,90.0,90.0,0
2004-02-17,90.0,90.0,90.0,90.0,0
2004-02-18,90.0,90.0,90.0,90.0,0
2004-02-19,90.0,90.0,90.0,90.0,0
2004-02-20,90.0,90.0,90.0,90.0,0
2004-02-23,90.0,90.0,90.0,90.0,0
2004-02-24,90.0,90.0,90.0,90.0,0
2004-02-25,90.0,90.0,90.0,90.0,4107
2004-02-26,90.0,90.0,90.0,90.0,0
2004-02-27,80.0,80.0,80.0,80.0,50
2004-03-01,110.0,110.0,110.0,110.0,30000
2004-03-02,130.0,130.0,130.0,130.0,766
2004-03-03,130.0,130.0,130.0,130.0,0
2004-03-04,110.0,130.0,110.0,130.0,25000
2004-03-05,130.0,130.0,130.0,130.0,0
2004-03-08,112.0,112.0,112.0,112.0,10
2004-03-09,112.0,112.0,112.0,112.0,0
2004-03-10,120.0,120.0,120.0,120.0,2604
2004-03-11,123.0,123.0,123.0,123.0,15903
2004-03-12,123.0,123.0,123.0,123.0,0
2004-03-15,120.0,120.0,120.0,120.0,9690
2004-03-16,123.0,130.0,123.0,130.0,12999
2004-03-17,130.0,130.0,130.0,130.0,8800
2004-03-18,130.0,135.0,130.0,135.0,47894
2004-03-19,135.0,140.0,135.0,140.0,40600
2004-03-23,130.0,130.0,130.0,130.0,9027
2004-03-24,135.0,135.0,130.0,135.0,35050
2004-03-25,150.0,150.0,150.0,150.0,600
2004-03-26,150.0,150.0,140.0,140.0,50100
2004-03-29,140.0,140.0,140.0,140.0,0
2004-03-30,130.0,130.0,130.0,130.0,3610
2004-03-31,138.0,138.0,130.0,138.0,4690
2004-04-01,180.0,180.0,172.0,178.0,30980
2004-04-02,178.0,200.0,170.0,170.0,35470
2004-04-05,170.0,170.0,167.0,167.0,12860
2004-04-06,170.0,180.0,170.0,180.0,9055
2004-04-07,199.0,210.0,199.0,199.0,8126
2004-04-08,200.0,215.0,200.0,215.0,16528
2004-04-13,235.0,235.0,200.0,200.0,189338
2004-04-15,200.0,200.0,182.0,182.0,40302
2004-04-16,199.0,199.0,180.0,180.0,22555
2004-04-19,180.0,180.0,174.0,174.0,29500
2004-04-20,170.0,180.0,170.0,180.0,2300
2004-04-21,180.0,180.0,165.0,165.0,8925
2004-04-22,156.0,165.0,156.0,165.0,13800
2004-04-23,150.0,150.0,150.0,150.0,29722
2004-04-26,150.0,150.0,150.0,150.0,11000
2004-04-28,150.0,150.0,150.0,150.0,21250
2004-04-29,150.0,150.0,150.0,150.0,0
2004-04-30,140.0,140.0,140.0,140.0,25000
2004-05-03,140.0,140.0,140.0,140.0,8014
2004-05-04,160.0,180.0,140.0,140.0,24173
2004-05-05,140.0,140.0,140.0,140.0,0
2004-05-06,140.0,140.0,140.0,140.0,0
2004-05-07,170.0,170.0,170.0,170.0,1500
2004-05-10,170.0,170.0,140.0,150.0,1526085
2004-05-11,150.0,150.0,150.0,150.0,20000
2004-05-12,150.0,150.0,142.0,142.0,22628
2004-05-13,150.0,150.0,150.0,150.0,1630
2004-05-14,170.0,180.0,170.0,180.0,1000
2004-05-17,180.0,180.0,145.0,145.0,113870
2004-05-18,145.0,145.0,140.0,140.0,292713
2004-05-19,140.0,140.0,140.0,140.0,5725
2004-05-20,150.0,150.0,150.0,150.0,325
2004-05-21,144.0,144.0,144.0,144.0,8095
2004-05-24,143.0,150.0,143.0,150.0,5650
2004-05-25,160.0,160.0,160.0,160.0,7750
2004-05-26,160.0,160.0,150.0,150.0,18650
2004-05-27,180.0,180.0,180.0,180.0,1200
2004-05-28,155.0,155.0,150.0,150.0,20350
2004-05-31,152.0,155.0,152.0,155.0,10600
2004-06-01,155.0,155.0,155.0,155.0,0
2004-06-02,155.0,155.0,155.0,155.0,0
2004-06-03,155.0,155.0,155.0,155.0,0
