Date,Open,High,Low,Close,Volume
2011-07-11,1600.0,1701.0,1330.0,1360.0,4834178
2011-07-12,1369.0,1370.0,1330.0,1345.0,4386917
2011-07-13,1335.0,1335.0,1300.0,1325.0,5244898
2011-07-14,1306.0,1330.0,1300.0,1316.0,5002280
2011-07-15,1316.0,1330.0,1316.0,1330.0,7636067
2011-07-18,1320.0,1329.0,1308.0,1315.0,4816156
2011-07-19,1304.0,1330.0,1300.0,1329.0,4349600
2011-07-20,1325.0,1360.0,1325.0,1349.0,3310232
2011-07-21,1330.0,1357.0,1330.0,1355.0,3654200
2011-07-22,1359.0,1390.0,1345.0,1354.0,4681641
2011-07-25,1348.0,1391.0,1305.0,1370.0,1145687
2011-07-26,1365.0,1405.0,1365.0,1386.0,1958092
2011-07-27,1381.0,1381.0,1340.0,1340.0,8300248
2011-07-28,1340.0,1365.0,1300.0,1360.0,6827440
2011-07-29,1350.0,1390.0,1330.0,1370.0,1451693
2011-08-01,1389.0,1390.0,1345.0,1349.0,1007404
2011-08-02,1349.0,1365.0,1328.0,1346.0,1678013
2011-08-03,1330.0,1345.0,1330.0,1340.0,1077771
2011-08-04,1349.0,1349.0,1310.0,1334.0,1373162
2011-08-05,1319.0,1330.0,1251.0,1320.0,346881
2011-08-08,1300.0,1320.0,1285.0,1298.0,769567
2011-08-10,1300.0,1302.0,1250.0,1273.0,1191040
2011-08-11,1270.0,1330.0,1251.0,1315.0,466373
2011-08-12,1301.0,1330.0,1216.0,1310.0,734909
2011-08-15,1330.0,1330.0,1318.0,1320.0,401984
2011-08-16,1312.0,1330.0,1300.0,1322.0,602811
2011-08-17,1330.0,1330.0,1320.0,1320.0,265785
2011-08-18,1320.0,1330.0,1310.0,1310.0,689005
2011-08-19,1286.0,1319.0,1261.0,1310.0,924837
2011-08-22,1300.0,1330.0,1300.0,1300.0,481199
2011-08-23,1310.0,1325.0,1260.0,1300.0,237092
2011-08-24,1281.0,1310.0,1281.0,1300.0,500373
2011-08-25,1310.0,1320.0,1300.0,1310.0,683721
2011-08-26,1310.0,1310.0,1260.0,1310.0,839987
2011-08-29,1312.0,1320.0,1280.0,1304.0,181549
2011-08-30,1300.0,1320.0,1300.0,1316.0,109077
2011-08-31,1316.0,1330.0,1310.0,1330.0,260559
2011-09-01,1310.0,1330.0,1310.0,1325.0,607386
2011-09-02,1300.0,1325.0,1300.0,1317.0,46530
2011-09-05,1300.0,1329.0,1300.0,1329.0,82999
2011-09-06,1305.0,1335.0,1305.0,1335.0,313736
2011-09-07,1354.0,1464.0,1335.0,1350.0,404280
2011-09-08,1349.0,1390.0,1349.0,1365.0,46895
2011-09-09,1335.0,1400.0,1335.0,1378.0,169011
2011-09-12,1323.0,1370.0,1323.0,1354.0,103174
2011-09-13,1355.0,1435.0,1325.0,1335.0,1051041
2011-09-14,1315.0,1349.0,1315.0,1331.0,1476878
2011-09-15,1350.0,1364.0,1330.0,1362.0,442538
2011-09-16,1351.0,1378.0,1351.0,1376.0,204376
2011-09-19,1352.0,1365.0,1350.0,1360.0,243295
2011-09-20,1349.0,1360.0,1330.0,1341.0,381719
2011-09-21,1332.0,1340.0,1320.0,1327.0,898102
2011-09-22,1296.0,1310.0,1296.0,1302.0,522766
2011-09-23,1314.0,1344.0,1300.0,1344.0,542868
2011-09-26,1310.0,1345.0,1310.0,1314.0,154873
2011-09-27,1354.0,1354.0,1305.0,1316.0,850135
2011-09-28,1314.0,1330.0,1314.0,1318.0,742082
2011-09-29,1345.0,1420.0,1325.0,1334.0,172805
2011-09-30,1340.0,1340.0,1319.0,1321.0,1527004
2011-10-03,1300.0,1330.0,1300.0,1320.0,305133
2011-10-04,1310.0,1335.0,1310.0,1325.0,732803
2011-10-05,1345.0,1345.0,1320.0,1330.0,236852
2011-10-06,1320.0,1330.0,1320.0,1320.0,40999
2011-10-07,1318.0,1325.0,1310.0,1325.0,526840
2011-10-10,1310.0,1348.0,1310.0,1345.0,16253
2011-10-11,1353.0,1353.0,1330.0,1340.0,571021
2011-10-12,1340.0,1348.0,1340.0,1340.0,354927
2011-10-13,1350.0,1360.0,1330.0,1340.0,115344
2011-10-14,1330.0,1331.0,1330.0,1330.0,96950
2011-10-17,1310.0,1350.0,1310.0,1350.0,29739
2011-10-18,1320.0,1365.0,1320.0,1350.0,28602
2011-10-19,1350.0,1360.0,1335.0,1360.0,64419
2011-10-20,1340.0,1350.0,1330.0,1330.0,98274
2011-10-21,1330.0,1350.0,1330.0,1350.0,42330
2011-10-24,1335.0,1370.0,1335.0,1370.0,55433
2011-10-25,1335.0,1384.0,1305.0,1360.0,155444
2011-10-26,1345.0,1380.0,1345.0,1360.0,90911
2011-10-27,1385.0,1420.0,1360.0,1395.0,74133
2011-10-28,1393.0,1420.0,1350.0,1400.0,72784
2011-10-31,1375.0,1375.0,1375.0,1375.0,134223
2011-11-01,1400.0,1425.0,1349.0,1397.0,324758
2011-11-02,1397.0,1425.0,1352.0,1374.0,116264
2011-11-03,1370.0,1400.0,1350.0,1350.0,263657
2011-11-04,1355.0,1400.0,1355.0,1361.0,26395
2011-11-07,1400.0,1400.0,1350.0,1382.0,14434
2011-11-08,1385.0,1385.0,1350.0,1366.0,81071
2011-11-09,1384.0,1398.0,1358.0,1378.0,70206
2011-11-10,1350.0,1385.0,1350.0,1385.0,47642
2011-11-11,1368.0,1386.0,1351.0,1386.0,31999
2011-11-14,1399.0,1450.0,1399.0,1415.0,160079
2011-11-15,1400.0,1410.0,1370.0,1370.0,62457
2011-11-16,1395.0,1410.0,1368.0,1410.0,55144
2011-11-17,1380.0,1390.0,1375.0,1390.0,87570
2011-11-18,1375.0,1440.0,1375.0,1425.0,418145
2011-11-21,1401.0,1421.0,1401.0,1420.0,7259
2011-11-22,1390.0,1436.0,1390.0,1436.0,34034
2011-11-23,1436.0,1436.0,1406.0,1435.0,22330
2011-11-24,1395.0,1430.0,1395.0,1425.0,55345
2011-11-25,1405.0,1425.0,1405.0,1425.0,238618
2011-11-28,1425.0,1425.0,1405.0,1410.0,264188
2011-11-29,1395.0,1425.0,1395.0,1423.0,4145
2011-11-30,1405.0,1436.0,1405.0,1430.0,276526
2011-12-01,1400.0,1425.0,1400.0,1417.0,84472
2011-12-02,1400.0,1435.0,1400.0,1420.0,126048
2011-12-05,1390.0,1440.0,1390.0,1435.0,322958
2011-12-06,1410.0,1490.0,1410.0,1438.0,50213
2011-12-07,1425.0,1440.0,1425.0,1439.0,48726
2011-12-08,1410.0,1475.0,1410.0,1455.0,313306
2011-12-09,1410.0,1542.0,1410.0,1499.0,367163
2011-12-12,1500.0,1511.0,1485.0,1500.0,103922
2011-12-13,1400.0,1521.0,1400.0,1500.0,356409
2011-12-14,1500.0,1500.0,1460.0,1485.0,13201
2011-12-15,1480.0,1485.0,1411.0,1460.0,65420
2011-12-19,1450.0,1500.0,1435.0,1451.0,82343
2011-12-20,1411.0,1480.0,1411.0,1470.0,37029
2011-12-21,1470.0,1480.0,1450.0,1450.0,111531
2011-12-22,1500.0,1500.0,1450.0,1480.0,288093
2011-12-23,1450.0,1490.0,1450.0,1475.0,16594
2011-12-28,1450.0,1493.0,1450.0,1486.0,46648
2011-12-29,1490.0,1490.0,1485.0,1490.0,76594
2011-12-30,1450.0,1500.0,1450.0,1499.0,34750
2012-01-03,1493.0,1500.0,1460.0,1460.0,5566
2012-01-04,1470.0,1500.0,1450.0,1464.0,8450
2012-01-05,1458.0,1499.0,1458.0,1481.0,86301
2012-01-06,1465.0,1485.0,1465.0,1466.0,450527
2012-01-09,1465.0,1522.0,1465.0,1495.0,54365
2012-01-10,1475.0,1476.0,1461.0,1475.0,134363
2012-01-11,1495.0,1495.0,1461.0,1482.0,48813
2012-01-12,1465.0,1495.0,1465.0,1476.0,56020
2012-01-13,1460.0,1495.0,1460.0,1495.0,25259
2012-01-16,1465.0,1515.0,1465.0,1511.0,308693
2012-01-17,1500.0,1505.0,1476.0,1505.0,408511
2012-01-18,1505.0,1555.0,1504.0,1530.0,396650
2012-01-19,1545.0,1600.0,1530.0,1535.0,184532
2012-01-20,1540.0,1540.0,1509.0,1526.0,11704
2012-01-23,1500.0,1525.0,1500.0,1525.0,13311
2012-01-24,1525.0,1525.0,1510.0,1515.0,30304
2012-01-25,1510.0,1510.0,1500.0,1500.0,126818
2012-01-26,1500.0,1515.0,1460.0,1500.0,279480
2012-01-27,1490.0,1500.0,1468.0,1500.0,496757
2012-01-30,1470.0,1495.0,1470.0,1495.0,10665
2012-01-31,1470.0,1500.0,1460.0,1500.0,203895
2012-02-01,1500.0,1500.0,1490.0,1500.0,397308
2012-02-02,1495.0,1500.0,1485.0,1500.0,33857
2012-02-03,1500.0,1500.0,1480.0,1500.0,34378
2012-02-06,1500.0,1500.0,1475.0,1480.0,166535
2012-02-07,1480.0,1480.0,1470.0,1470.0,85196
2012-02-08,1475.0,1550.0,1475.0,1500.0,364468
2012-02-09,1480.0,1503.0,1480.0,1503.0,242142
2012-02-10,1413.0,1550.0,1413.0,1493.0,727590
2012-02-13,1500.0,1560.0,1500.0,1511.0,20594
2012-02-14,1525.0,1545.0,1502.0,1516.0,45216
2012-02-15,1525.0,1525.0,1502.0,1510.0,85514
2012-02-16,1510.0,1510.0,1491.0,1495.0,45906
2012-02-17,1495.0,1510.0,1480.0,1480.0,306606
2012-02-20,1480.0,1510.0,1480.0,1495.0,78689
2012-02-21,1480.0,1500.0,1480.0,1483.0,1774125
2012-02-22,1580.0,1580.0,1485.0,1513.0,22878
2012-02-23,1515.0,1544.0,1510.0,1510.0,17831
2012-02-24,1510.0,1524.0,1509.0,1510.0,3755
2012-02-27,1480.0,1501.0,1480.0,1500.0,342436
2012-02-28,1500.0,1575.0,1500.0,1519.0,40109
2012-02-29,1519.0,1520.0,1500.0,1500.0,527489
2012-03-01,1480.0,1520.0,1480.0,1515.0,426441
2012-03-02,1500.0,1519.0,1500.0,1501.0,54111
2012-03-05,1450.0,1520.0,1450.0,1510.0,31284
