Date,Open,High,Low,Close,Volume
2003-12-29,790.0,790.0,780.0,790.0,40568
2003-12-30,777.0,780.0,770.0,777.0,50006
2004-01-02,777.0,777.0,777.0,777.0,500
2004-01-05,777.0,780.0,777.0,780.0,9500
2004-01-06,760.0,760.0,750.0,760.0,94996
2004-01-07,760.0,780.0,760.0,780.0,4000
2004-01-08,774.0,775.0,760.0,775.0,32366
2004-01-09,760.0,770.0,760.0,765.0,343500
2004-01-12,760.0,762.0,750.0,750.0,0
2004-01-13,715.0,755.0,710.0,715.0,0
2004-01-14,714.0,735.0,701.0,725.0,0
2004-01-15,725.0,740.0,725.0,730.0,0
2004-01-16,735.0,745.0,735.0,744.0,0
2004-01-19,721.0,745.0,720.0,721.0,0
2004-01-20,730.0,735.0,720.0,730.0,0
2004-01-21,725.0,735.0,725.0,730.0,0
2004-01-22,735.0,740.0,730.0,735.0,0
2004-01-23,740.0,749.0,740.0,740.0,0
2004-01-26,755.0,755.0,745.0,755.0,0
2004-01-27,740.0,750.0,740.0,740.0,0
2004-01-28,749.0,749.0,735.0,735.0,0
2004-01-29,735.0,735.0,728.0,730.0,0
2004-01-30,730.0,740.0,730.0,730.0,0
2004-02-02,735.0,735.0,725.0,725.0,0
2004-02-03,725.0,725.0,720.0,720.0,0
2004-02-04,720.0,725.0,715.0,720.0,0
2004-02-05,725.0,725.0,715.0,715.0,0
2004-02-06,705.0,710.0,705.0,705.0,0
2004-02-09,706.0,710.0,705.0,705.0,45658
2004-02-10,705.0,705.0,700.0,705.0,172175
2004-02-11,701.0,701.0,700.0,700.0,340630
2004-02-12,700.0,700.0,699.0,700.0,418278
2004-02-13,680.0,700.0,680.0,700.0,666887
2004-02-16,700.0,710.0,700.0,710.0,87656
2004-02-17,711.0,711.0,710.0,710.0,762500
2004-02-18,712.0,712.0,710.0,710.0,8910
2004-02-19,710.0,712.0,705.0,705.0,84299
2004-02-20,705.0,710.0,705.0,710.0,817865
2004-02-23,710.0,710.0,710.0,710.0,2000
2004-02-24,710.0,715.0,710.0,715.0,22488
2004-02-25,715.0,715.0,710.0,710.0,17532
2004-02-26,710.0,715.0,710.0,710.0,14987
2004-02-27,715.0,715.0,710.0,715.0,223159
2004-03-01,720.0,725.0,720.0,720.0,154800
2004-03-02,720.0,730.0,720.0,722.0,89834
2004-03-03,730.0,740.0,730.0,730.0,111701
2004-03-04,730.0,730.0,728.0,729.0,107000
2004-03-05,730.0,735.0,728.0,728.0,186119
2004-03-08,730.0,730.0,728.0,728.0,2400
2004-03-09,724.0,724.0,719.0,720.0,65760
2004-03-10,720.0,720.0,715.0,715.0,29471
2004-03-11,710.0,715.0,710.0,710.0,23623
2004-03-12,710.0,710.0,705.0,705.0,62966
2004-03-15,705.0,715.0,705.0,706.0,274598
2004-03-16,710.0,710.0,710.0,710.0,194678
2004-03-17,710.0,710.0,710.0,710.0,4000
2004-03-18,715.0,715.0,715.0,715.0,132297
2004-03-19,714.0,722.0,714.0,722.0,72787
2004-03-23,715.0,722.0,715.0,722.0,34086
2004-03-24,722.0,736.0,722.0,736.0,101978
2004-03-25,745.0,760.0,745.0,760.0,63840
2004-03-26,750.0,770.0,750.0,770.0,329474
2004-03-29,755.0,755.0,755.0,755.0,254294
2004-03-30,755.0,765.0,755.0,765.0,804242
2004-03-31,763.0,795.0,763.0,795.0,1038204
2004-04-01,775.0,775.0,775.0,775.0,736215
2004-04-02,778.0,795.0,778.0,795.0,30610
2004-04-05,790.0,794.0,790.0,791.0,107685
2004-04-06,791.0,792.0,791.0,792.0,71800
2004-04-07,791.0,795.0,791.0,795.0,413518
2004-04-08,795.0,810.0,790.0,810.0,479775
2004-04-13,816.0,816.0,816.0,816.0,15000
2004-04-15,816.0,825.0,816.0,818.0,251386
2004-04-16,820.0,821.0,820.0,820.0,175531
2004-04-19,817.0,820.0,817.0,820.0,175962
2004-04-20,817.0,817.0,810.0,814.0,416454
2004-04-21,815.0,815.0,800.0,800.0,145300
2004-04-22,801.0,801.0,790.0,800.0,776068
2004-04-23,795.0,795.0,790.0,790.0,428332
2004-04-26,790.0,798.0,790.0,798.0,22599
2004-04-28,780.0,780.0,780.0,780.0,7320
2004-04-29,785.0,798.0,785.0,785.0,10803
2004-04-30,785.0,790.0,785.0,790.0,145178
2004-05-03,789.0,789.0,780.0,780.0,128180
2004-05-04,781.0,785.0,780.0,785.0,27882
2004-05-05,785.0,785.0,780.0,780.0,65152
2004-05-06,780.0,785.0,780.0,785.0,339021
2004-05-07,786.0,786.0,785.0,785.0,2702
2004-05-10,785.0,790.0,775.0,780.0,107861
2004-05-11,775.0,785.0,775.0,785.0,13550
2004-05-12,785.0,785.0,780.0,780.0,114793
2004-05-13,780.0,781.0,780.0,781.0,23566
2004-05-14,780.0,790.0,780.0,780.0,702000
2004-05-17,770.0,770.0,760.0,760.0,473887
2004-05-18,760.0,770.0,750.0,760.0,133739
2004-05-19,765.0,765.0,764.0,765.0,515324
2004-05-20,760.0,760.0,750.0,750.0,141000
2004-05-21,750.0,750.0,750.0,750.0,276651
2004-05-24,760.0,770.0,760.0,761.0,259633
2004-05-25,760.0,765.0,755.0,755.0,223367
2004-05-26,780.0,782.0,775.0,775.0,195127
2004-05-27,780.0,790.0,776.0,780.0,915129
2004-05-28,780.0,791.0,780.0,790.0,110040
2004-05-31,795.0,810.0,785.0,805.0,64468
2004-06-01,815.0,821.0,815.0,820.0,297401
2004-06-02,818.0,825.0,818.0,820.0,57645
2004-06-03,820.0,820.0,820.0,820.0,179728
2004-06-04,805.0,805.0,805.0,805.0,15852
2004-06-07,800.0,810.0,800.0,810.0,216889
2004-06-08,805.0,815.0,800.0,810.0,156970
2004-06-09,810.0,815.0,810.0,810.0,229528
2004-06-10,815.0,815.0,810.0,810.0,347000
2004-06-11,810.0,815.0,810.0,815.0,11815
2004-06-14,815.0,820.0,810.0,810.0,11601
2004-06-15,810.0,815.0,810.0,810.0,161162
2004-06-17,811.0,811.0,811.0,811.0,1054
2004-06-18,820.0,820.0,820.0,820.0,470730
2004-06-21,800.0,800.0,790.0,795.0,1046758
2004-06-22,788.0,788.0,785.0,785.0,48303
2004-06-23,785.0,825.0,785.0,800.0,136141
2004-06-24,800.0,810.0,790.0,800.0,104900
2004-06-25,802.0,820.0,802.0,810.0,193624
2004-06-28,816.0,830.0,815.0,815.0,349489
2004-06-29,820.0,820.0,810.0,810.0,1135345
2004-06-30,810.0,815.0,810.0,810.0,49623
2004-07-01,815.0,815.0,815.0,815.0,1500
2004-07-02,810.0,815.0,805.0,815.0,2230467
2004-07-05,815.0,815.0,810.0,815.0,467015
2004-07-06,815.0,815.0,814.0,814.0,641901
2004-07-07,815.0,830.0,815.0,825.0,515356
2004-07-08,825.0,833.0,825.0,830.0,273900
2004-07-09,830.0,830.0,815.0,815.0,32770
2004-07-12,815.0,815.0,805.0,810.0,130193
2004-07-13,805.0,810.0,805.0,810.0,397484
2004-07-14,815.0,825.0,815.0,825.0,275359
