Date,Open,High,Low,Close,Volume
2003-09-29,1245.0,1250.0,1235.0,1245.0,421255
2003-09-30,1230.0,1250.0,1230.0,1230.0,639853
2003-10-01,1245.0,1250.0,1230.0,1245.0,672802
2003-10-02,1270.0,1275.0,1245.0,1270.0,453736
2003-10-03,1240.0,1275.0,1240.0,1240.0,435397
2003-10-06,1250.0,1265.0,1245.0,1250.0,452840
2003-10-07,1250.0,1252.0,1240.0,1250.0,827422
2003-10-08,1255.0,1270.0,1250.0,1255.0,936243
2003-10-09,1260.0,1270.0,1250.0,1260.0,768960
2003-10-10,1249.0,1265.0,1245.0,1249.0,378314
2003-10-13,1250.0,1270.0,1245.0,1270.0,1121411
2003-10-14,1275.0,1275.0,1260.0,1265.0,2074080
2003-10-15,1245.0,1271.0,1245.0,1245.0,2555861
2003-10-16,1275.0,1275.0,1250.0,1275.0,2888444
2003-10-17,1282.0,1300.0,1270.0,1282.0,594222
2003-10-20,1282.0,1283.0,1275.0,1282.0,434334
2003-10-21,1265.0,1280.0,1255.0,1265.0,1715559
2003-10-22,1260.0,1265.0,1260.0,1260.0,725468
2003-10-23,1250.0,1265.0,1235.0,1265.0,1449942
2003-10-24,1260.0,1271.0,1260.0,1260.0,967084
2003-10-27,1260.0,1265.0,1250.0,1250.0,827880
2003-10-28,1272.0,1275.0,1260.0,1272.0,2577164
2003-10-29,1279.0,1298.0,1276.0,1279.0,1253264
2003-10-30,1310.0,1310.0,1270.0,1310.0,2584537
2003-10-31,1298.0,1310.0,1290.0,1298.0,940551
2003-11-03,1298.0,1315.0,1280.85,1300.0,594148
2003-11-04,1315.0,1320.0,1304.0,1315.0,716049
2003-11-05,1334.0,1345.0,1314.0,1334.0,777524
2003-11-06,1335.0,1340.0,1320.0,1335.0,914648
2003-11-07,1332.0,1400.0,1332.0,1332.0,602523
2003-11-10,1345.0,1360.0,1332.0,1345.0,500645
2003-11-11,1335.0,1370.0,1330.0,1361.0,632738
2003-11-12,1352.0,1375.0,1352.0,1360.0,712667
2003-11-13,1365.0,1370.0,1360.0,1365.0,3809142
2003-11-14,1340.0,1355.0,1335.0,1340.0,829653
2003-11-17,1320.0,1349.0,1305.0,1320.0,472162
2003-11-18,1320.0,1365.0,1320.0,1337.0,1760388
2003-11-19,1335.0,1335.0,1310.0,1320.0,2458446
2003-11-20,1280.0,1320.0,1270.0,1280.0,1514396
2003-11-21,1285.0,1315.0,1265.0,1285.0,1684499
2003-11-24,1280.0,1285.0,1270.0,1280.0,1226887
2003-11-25,1280.0,1285.0,1275.0,1280.0,1583891
2003-11-26,1234.0,1268.46,1234.0,1234.0,3417006
2003-11-27,1234.0,1250.0,1234.0,1235.0,1205833
2003-11-28,1240.0,1265.0,1235.0,1240.0,607159
2003-12-01,1245.0,1250.0,1238.0,1245.0,1397436
2003-12-02,1245.0,1250.0,1238.0,1245.0,2351766
2003-12-03,1240.0,1248.0,1240.0,1240.0,1126767
2003-12-04,1245.0,1250.0,1242.0,1245.0,634187
2003-12-05,1255.0,1265.0,1245.0,1255.0,1183729
2003-12-08,1248.0,1260.0,1242.0,1248.0,2058258
2003-12-09,1237.0,1250.0,1231.0,1237.0,1280637
2003-12-10,1237.0,1246.0,1237.0,1245.0,1502128
2003-12-11,1245.0,1270.0,1240.0,1245.0,2549339
2003-12-12,1235.0,1249.0,1230.0,1235.0,824746
2003-12-15,1240.0,1265.0,1232.0,1254.0,979573
2003-12-17,1254.0,1254.0,1241.0,1241.0,1919629
2003-12-18,1245.0,1250.0,1240.0,1245.0,3283686
