Date,Open,High,Low,Close,Volume
2003-12-29,485.0,490.0,485.0,485.0,306770
2003-12-30,490.0,500.0,490.0,495.0,231636
2004-01-02,510.0,515.0,507.0,510.0,1067873
2004-01-05,522.0,522.0,510.0,522.0,1020227
2004-01-06,535.0,535.0,522.0,535.0,2036593
2004-01-07,535.0,535.0,525.0,530.0,749195
2004-01-08,530.0,530.0,515.0,517.0,375285
2004-01-09,520.0,520.0,500.0,509.0,821104
2004-01-12,509.0,514.0,500.0,501.0,0
2004-01-13,505.0,511.0,500.0,501.0,0
2004-01-14,502.0,505.0,490.0,492.0,0
2004-01-15,485.0,500.0,482.0,485.0,0
2004-01-16,499.0,500.0,482.0,499.0,0
2004-01-19,500.0,510.0,490.0,490.0,0
2004-01-20,480.0,490.0,470.0,480.0,0
2004-01-21,470.0,480.0,470.0,470.0,0
2004-01-22,479.0,479.0,445.0,455.0,0
2004-01-23,455.0,475.0,446.0,455.0,0
2004-01-26,460.0,475.0,460.0,470.0,0
2004-01-27,475.0,480.0,474.0,480.0,0
2004-01-28,480.0,480.0,464.0,465.0,0
2004-01-29,465.0,470.0,460.0,467.0,0
2004-01-30,467.0,470.0,462.0,467.0,0
2004-02-02,464.0,464.0,450.0,460.0,0
2004-02-03,460.0,460.0,450.0,460.0,0
2004-02-04,457.0,462.0,455.0,461.0,0
2004-02-05,464.0,465.0,460.0,464.0,0
2004-02-06,463.0,464.0,460.0,463.0,0
2004-02-09,463.0,465.0,460.0,463.0,2739671
2004-02-10,463.0,464.0,462.0,463.0,1040935
2004-02-11,462.0,465.0,462.0,462.0,1990639
2004-02-12,460.0,466.0,460.0,460.0,3328170
2004-02-13,460.0,461.0,458.0,460.0,1063194
2004-02-16,460.0,464.0,460.0,460.0,1104968
2004-02-17,462.0,465.0,455.0,455.0,2508143
2004-02-18,455.0,460.0,455.0,455.0,1191845
2004-02-19,455.0,455.0,437.0,440.0,3078896
2004-02-20,445.0,450.0,435.0,446.0,1333754
2004-02-23,440.0,455.0,440.0,455.0,2809551
2004-02-24,455.0,460.0,450.0,450.0,2682616
2004-02-25,450.0,451.0,446.0,446.0,2408982
2004-02-26,447.0,449.0,440.0,445.0,2062683
2004-02-27,450.0,450.0,440.0,449.0,7360493
2004-03-01,450.0,450.0,441.0,450.0,1790805
2004-03-02,448.0,453.0,440.0,448.0,2603027
2004-03-03,450.0,450.0,440.0,440.0,6072639
2004-03-04,440.0,450.0,440.0,450.0,3802805
2004-03-05,450.0,462.0,450.0,454.0,5818151
2004-03-08,457.0,460.0,454.0,454.0,1306987
2004-03-09,455.0,465.0,455.0,462.0,2556026
2004-03-10,464.0,465.0,458.0,464.0,5378079
2004-03-11,465.0,466.0,455.0,460.0,6951399
2004-03-12,460.0,470.0,459.0,465.0,3123113
2004-03-15,465.0,466.0,460.0,465.0,1880592
2004-03-16,465.0,471.0,460.0,466.0,528179
2004-03-17,468.0,478.0,460.0,475.0,3183607
2004-03-18,479.0,494.0,477.0,484.0,5878515
2004-03-19,482.0,482.0,470.0,480.0,1304020
2004-03-23,480.0,480.0,470.0,475.0,1478530
2004-03-24,475.0,475.0,465.0,468.0,2137671
2004-03-25,467.0,475.0,467.0,470.0,1294415
2004-03-26,467.0,467.0,460.0,465.0,4341825
2004-03-29,467.0,475.0,460.0,468.0,701438
2004-03-30,461.0,468.0,461.0,465.0,2558187
2004-03-31,465.0,465.0,455.0,460.0,2943366
2004-04-01,456.0,459.0,455.0,459.0,908323
2004-04-02,460.0,460.0,455.0,460.0,545363
2004-04-05,460.0,465.0,455.0,465.0,2567279
2004-04-06,465.0,470.0,450.0,467.0,2840523
2004-04-07,470.0,485.0,470.0,474.0,2110650
2004-04-08,480.0,485.0,480.0,480.0,2105421
2004-04-13,480.0,500.0,480.0,488.0,530438
2004-04-15,500.0,500.0,486.0,495.0,2436344
2004-04-16,495.0,498.0,486.0,497.0,1651631
2004-04-19,490.0,496.0,480.0,492.0,1192076
2004-04-20,492.0,501.0,492.0,496.0,1411508
2004-04-21,500.0,511.0,496.0,500.0,4323727
2004-04-22,510.0,510.0,500.0,502.0,1189289
2004-04-23,503.0,512.0,503.0,510.0,1872334
2004-04-26,509.0,510.0,496.0,508.0,316028
2004-04-28,508.0,518.0,508.0,510.0,1033309
2004-04-29,514.0,514.0,485.0,486.0,1069924
2004-04-30,486.0,500.0,486.0,495.0,1746013
2004-05-03,495.0,495.0,485.0,490.0,1184679
2004-05-04,490.0,490.0,480.0,480.0,3502758
2004-05-05,480.0,485.0,475.0,475.0,4518827
2004-05-06,476.0,476.0,470.0,470.0,2331215
2004-05-07,466.0,475.0,466.0,475.0,4538147
2004-05-10,466.0,470.0,459.0,462.0,4077410
2004-05-11,462.0,462.0,450.0,458.0,2171944
2004-05-12,462.0,462.0,450.0,450.0,6117434
2004-05-13,450.0,460.0,450.0,455.0,4357109
2004-05-14,455.0,460.0,427.0,445.0,1907620
2004-05-17,445.0,455.0,430.0,455.0,1360606
2004-05-18,450.0,455.0,440.0,442.0,1756682
2004-05-19,440.0,455.0,440.0,448.0,3646177
2004-05-20,448.0,448.0,440.0,441.0,2290123
2004-05-21,445.0,447.0,440.0,440.0,2888007
2004-05-24,441.0,443.0,430.0,435.0,3126083
2004-05-25,440.0,440.0,420.0,427.0,3840154
2004-05-26,427.0,432.0,427.0,432.0,3301788
2004-05-27,433.0,449.0,433.0,446.0,5088981
2004-05-28,450.0,450.0,442.0,443.0,2796002
2004-05-31,440.0,450.0,440.0,447.0,1563748
2004-06-01,445.0,445.0,443.0,443.0,741875
2004-06-02,445.0,457.0,445.0,457.0,3489630
2004-06-03,459.0,470.0,459.0,466.0,968032
2004-06-04,474.0,474.0,467.0,470.0,1697104
2004-06-07,470.0,475.0,466.0,466.0,1718729
2004-06-08,468.0,472.0,455.0,455.0,6217105
2004-06-09,455.0,457.0,445.0,445.0,5853600
2004-06-10,445.0,450.0,440.0,440.0,3722439
2004-06-11,440.0,443.0,430.0,440.0,1951741
2004-06-14,430.0,445.0,430.0,444.0,1245600
2004-06-15,445.0,445.0,435.0,440.0,664203
2004-06-17,440.0,469.0,430.0,430.0,9412564
2004-06-18,430.0,435.0,430.0,433.0,1484659
2004-06-21,435.0,448.0,430.0,448.0,2204794
2004-06-22,440.0,445.0,435.0,442.0,1517193
2004-06-23,440.0,452.0,440.0,450.0,1947139
2004-06-24,455.0,459.0,453.0,458.0,989803
2004-06-25,458.0,461.0,437.0,437.0,1738210
2004-06-28,439.0,444.0,434.0,436.0,1268831
2004-06-29,437.0,451.0,436.0,451.0,1304145
2004-06-30,464.0,464.0,445.0,445.0,2380142
2004-07-01,455.0,455.0,438.0,438.0,439539
2004-07-02,440.0,445.0,432.0,435.0,888290
2004-07-05,435.0,440.0,435.0,435.0,942438
2004-07-06,435.0,441.0,435.0,437.0,1305701
2004-07-07,437.0,438.0,435.0,436.0,675213
2004-07-08,440.0,446.0,435.0,438.0,1777502
2004-07-09,440.0,440.0,437.0,440.0,2465567
2004-07-12,440.0,440.0,428.0,434.0,2091343
2004-07-13,434.0,438.0,430.0,433.0,1866824
2004-07-14,430.0,430.0,420.0,420.0,4867373
2004-07-15,421.0,424.0,420.0,420.0,16266438
2004-07-16,423.0,427.0,420.0,421.0,1481120
2004-07-19,422.0,427.0,421.0,425.0,1072380
2004-07-20,422.0,425.0,420.0,425.0,969910
2004-07-21,428.0,442.0,425.0,442.0,1699632
2004-07-22,441.0,441.0,430.0,435.0,2035624
2004-07-23,432.0,441.0,432.0,439.0,2756311
2004-07-26,439.0,439.0,434.0,439.0,2816148
2004-07-27,440.0,449.0,435.0,448.0,2741094
2004-07-28,450.0,455.0,450.0,451.0,5660806
2004-07-29,455.0,458.0,450.0,455.0,1103511
2004-07-30,451.0,462.0,450.0,450.0,1558211
2004-08-02,450.0,452.0,449.0,449.0,2213072
2004-08-03,449.0,459.0,449.0,450.0,1471009
2004-08-04,451.0,455.0,445.0,447.0,805751
2004-08-05,447.0,454.0,445.0,447.0,1495175
2004-08-06,441.0,441.0,433.0,435.0,1577000
2004-08-10,435.0,435.0,425.0,429.0,1047224
2004-08-11,430.0,435.0,430.0,435.0,976482
2004-08-12,435.0,455.0,435.0,455.0,1208931
2004-08-13,455.0,455.0,445.0,452.0,3034856
2004-08-16,450.0,459.0,450.0,459.0,1242857
2004-08-17,450.0,460.0,450.0,457.0,1285175
2004-08-18,459.0,459.0,450.0,450.0,2383049
2004-08-19,450.0,455.0,450.0,450.0,833914
2004-08-20,450.0,459.0,450.0,458.0,1098934
2004-08-23,457.0,470.0,457.0,470.0,2432367
2004-08-24,470.0,490.0,460.0,475.0,3880742
2004-08-25,500.0,500.0,473.0,474.0,2329021
2004-08-26,470.0,483.0,470.0,476.0,3752566
2004-08-27,476.0,476.0,450.0,465.0,3866978
2004-08-30,470.0,474.0,469.0,470.0,196055
2004-08-31,470.0,478.0,466.0,478.0,3360298
2004-09-01,478.0,484.0,475.0,482.0,1367958
2004-09-02,480.0,487.0,480.0,483.0,1557191
2004-09-03,483.0,495.0,482.0,495.0,1079231
2004-09-06,495.0,500.0,485.0,492.0,784568
2004-09-07,490.0,490.0,475.0,483.0,2321714
2004-09-08,482.0,490.0,475.0,482.0,1208353
2004-09-09,475.0,485.0,475.0,483.0,3249117
2004-09-10,480.0,485.0,467.0,470.0,5989326
2004-09-13,480.0,480.0,470.0,475.0,1928528
2004-09-14,475.0,480.0,475.0,480.0,5741986
2004-09-15,480.0,495.0,480.0,495.0,3171033
2004-09-16,494.0,500.0,489.0,499.0,5547581
2004-09-17,499.0,500.0,491.0,495.0,1401076
2004-09-20,490.0,495.0,488.0,490.0,1012261
2004-09-21,490.0,495.0,485.0,492.0,1146903
2004-09-22,492.0,499.0,480.0,490.0,1515424
2004-09-23,485.0,490.0,485.0,487.0,1754258
2004-09-27,487.0,494.0,487.0,491.0,1007563
2004-09-28,490.0,500.0,490.0,495.0,2196771
2004-09-29,497.0,499.0,490.0,499.0,7593751
2004-09-30,499.0,499.0,495.0,495.0,1274552
2004-10-01,499.0,499.0,495.0,496.0,1479603
2004-10-04,496.0,510.0,494.0,510.0,3507159
2004-10-05,505.0,514.0,505.0,510.0,1608409
2004-10-06,500.0,517.0,500.0,515.0,1948467
2004-10-07,515.0,535.0,511.0,525.0,1553041
2004-10-08,525.0,528.0,519.0,525.0,2161860
2004-10-11,525.0,545.0,520.0,540.0,2389419
2004-10-12,542.0,560.0,542.0,560.0,3585426
2004-10-13,550.0,590.0,550.0,569.0,4123975
2004-10-14,545.0,573.0,545.0,572.0,2074144
