Date,Open,High,Low,Close,Volume
2015-03-31,2500.0,2500.0,1600.0,1680.0,314360
2015-04-01,1749.0,1870.0,1640.0,1650.0,460918
2015-04-02,1699.0,1800.0,1675.0,1680.0,154024
2015-04-07,1699.0,1699.0,1510.0,1560.0,110344
2015-04-08,1600.0,1600.0,1571.0,1587.0,33198
2015-04-09,1600.0,1610.0,1595.0,1595.0,40003
2015-04-10,1595.0,1595.0,1470.0,1500.0,88954
2015-04-13,1585.0,1585.0,1548.0,1550.0,465571
2015-04-14,1569.0,1569.0,1500.0,1500.0,21771
2015-04-15,1510.0,1550.0,1480.0,1501.0,3033093
2015-04-16,1503.0,1525.0,1495.0,1500.0,84099
2015-04-17,1549.0,1549.0,1500.0,1500.0,14233
2015-04-20,1510.0,1539.0,1503.0,1539.0,33253
2015-04-21,1532.0,1570.0,1510.0,1560.0,81666
2015-04-22,1515.0,1515.0,1512.0,1515.0,25289
2015-04-23,1555.0,1555.0,1515.0,1515.0,4915
2015-04-24,1515.0,1550.0,1515.0,1550.0,62555
2015-04-28,1550.0,1550.0,1526.0,1550.0,278801
2015-04-29,1550.0,1550.0,1550.0,1550.0,164488
2015-04-30,1549.0,1560.0,1521.0,1560.0,180302
2015-05-04,1528.0,1559.0,1528.0,1559.0,2321
2015-05-05,1530.0,1550.0,1530.0,1530.0,5814
2015-05-06,1532.0,1540.0,1521.0,1540.0,355315
2015-05-07,1540.0,1550.0,1540.0,1550.0,107606
2015-05-08,1575.0,1595.0,1575.0,1595.0,43400
2015-05-11,1590.0,1600.0,1590.0,1600.0,398671
2015-05-12,1625.0,1635.0,1621.0,1630.0,218660
2015-05-13,1630.0,1650.0,1630.0,1640.0,11151
2015-05-14,1635.0,1635.0,1630.0,1630.0,33600
2015-05-15,1629.0,1630.0,1629.0,1630.0,54227
2015-05-18,1620.0,1620.0,1555.0,1575.0,34119
2015-05-19,1585.0,1630.0,1585.0,1630.0,8024
2015-05-20,1600.0,1630.0,1600.0,1605.0,14954
2015-05-21,1630.0,1630.0,1629.0,1630.0,198340
2015-05-22,1600.0,1630.0,1600.0,1630.0,5024
2015-05-25,1630.0,1630.0,1630.0,1630.0,9566
2015-05-26,1650.0,1650.0,1625.0,1630.0,43785
2015-05-27,1630.0,1630.0,1625.0,1630.0,18081
2015-05-28,1630.0,1630.0,1625.0,1625.0,14890
2015-05-29,1625.0,1630.0,1590.0,1625.0,375321
2015-06-01,1580.0,1590.0,1580.0,1590.0,7657
2015-06-02,1590.0,1590.0,1550.0,1585.0,52987
2015-06-03,1556.0,1600.0,1550.0,1590.0,6212
2015-06-04,1600.0,1600.0,1600.0,1600.0,4985
2015-06-05,1530.0,1625.0,1530.0,1595.0,278570
2015-06-08,1530.0,1625.0,1530.0,1625.0,3746
2015-06-09,1561.0,1625.0,1561.0,1625.0,33105
2015-06-10,1599.0,1599.0,1599.0,1599.0,2302
2015-06-11,1570.0,1590.0,1570.0,1570.0,14879
2015-06-12,1570.0,1570.0,1570.0,1570.0,4240
2015-06-15,1600.0,1625.0,1600.0,1625.0,17258
2015-06-17,1625.0,1625.0,1620.0,1620.0,22107
2015-06-18,1623.0,1625.0,1620.0,1625.0,41851
2015-06-19,1625.0,1825.0,1625.0,1700.0,157138
2015-06-22,1700.0,1700.0,1621.0,1621.0,6780
2015-06-23,1621.0,1700.0,1621.0,1621.0,553
2015-06-24,1621.0,1690.0,1620.0,1620.0,17876
2015-06-25,1620.0,1620.0,1572.0,1573.0,22263
2015-06-26,1580.0,1620.0,1570.0,1620.0,10494
