Date,Open,High,Low,Close,Volume
2003-12-29,2450.0,2451.0,2450.0,2450.0,94992
2003-12-30,2435.0,2480.0,2435.0,2435.0,3000
2004-01-02,2500.0,2500.0,2500.0,2500.0,100
2004-01-05,2490.0,2490.0,2490.0,2490.0,1500
2004-01-06,2475.0,2475.0,2430.0,2445.0,18800
2004-01-07,2445.0,2500.0,2445.0,2500.0,42867
2004-01-08,2480.0,2480.0,2480.0,2480.0,19117
2004-01-09,2450.0,2470.0,2440.0,2450.0,199977
2004-01-12,2450.0,2450.0,2380.0,2390.0,0
2004-01-13,2400.0,2400.0,2200.0,2299.0,0
2004-01-14,2299.0,2299.0,2250.0,2250.0,0
2004-01-15,2245.0,2250.0,2240.0,2240.0,0
2004-01-16,2240.0,2295.0,2180.0,2295.0,0
2004-01-19,2299.0,2300.0,2260.0,2295.0,0
2004-01-20,2351.0,2375.0,2305.0,2350.0,0
2004-01-21,2350.0,2380.0,2350.0,2360.0,0
2004-01-22,2350.0,2350.0,2350.0,2350.0,0
2004-01-23,2360.0,2365.0,2360.0,2365.0,0
2004-01-26,2360.0,2400.0,2355.0,2400.0,0
2004-01-27,2400.0,2430.0,2400.0,2401.0,0
2004-01-28,2405.0,2445.0,2405.0,2420.0,0
2004-01-29,2421.0,2421.0,2415.0,2415.0,0
2004-01-30,2415.0,2415.0,2400.0,2400.0,0
2004-02-02,2400.0,2400.0,2380.0,2380.0,0
2004-02-03,2375.0,2380.0,2350.0,2375.0,0
2004-02-04,2375.0,2390.0,2375.0,2390.0,0
2004-02-05,2390.0,2410.0,2390.0,2410.0,0
2004-02-06,2410.0,2420.0,2410.0,2420.0,0
2004-02-09,2426.0,2426.0,2426.0,2426.0,0
2004-02-10,2430.0,2430.0,2430.0,2430.0,1000
2004-02-11,2430.0,2475.0,2430.0,2460.0,16573
2004-02-12,2465.0,2465.0,2465.0,2465.0,833
2004-02-13,2455.0,2465.0,2450.0,2450.0,87607
2004-02-16,2470.0,2470.0,2450.0,2470.0,41070
2004-02-17,2470.0,2470.0,2470.0,2470.0,5873
2004-02-18,2480.0,2480.0,2480.0,2480.0,8550
2004-02-19,2480.0,2500.0,2480.0,2500.0,33377
2004-02-20,2550.0,2555.0,2550.0,2555.0,1400
2004-02-23,2585.0,2585.0,2585.0,2585.0,1000
2004-02-24,2585.0,2600.0,2585.0,2600.0,6644
2004-02-25,2600.0,2625.0,2600.0,2625.0,11618
2004-02-26,2600.0,2600.0,2590.0,2600.0,5576
2004-02-27,2600.0,2610.0,2600.0,2600.0,124635
2004-03-01,2600.0,2600.0,2580.0,2595.0,37512
2004-03-02,2575.0,2595.0,2575.0,2575.0,11088
2004-03-03,2575.0,2581.0,2575.0,2581.0,10050
2004-03-04,2581.0,2585.0,2575.0,2580.0,17910
2004-03-05,2575.0,2575.0,2575.0,2575.0,25250
