Date,Open,High,Low,Close,Volume
2008-08-25,1100.0,1100.0,1050.0,1050.0,69060
2008-08-26,1050.0,1050.0,950.0,950.0,171845
2008-08-27,950.0,950.0,930.0,940.0,78500
2008-08-28,940.0,940.0,935.0,935.0,40170
2008-08-29,935.0,940.0,935.0,940.0,57398
2008-09-01,940.0,940.0,930.0,930.0,29076
2008-09-02,930.0,930.0,920.0,920.0,25780
2008-09-03,915.0,920.0,900.0,915.0,147011
2008-09-04,915.0,915.0,915.0,915.0,30000
2008-09-05,915.0,915.0,875.0,900.0,8929
2008-09-08,915.0,915.0,915.0,915.0,13150
2008-09-09,900.0,900.0,850.0,850.0,87040
2008-09-10,865.0,865.0,850.0,850.0,17045
2008-09-11,850.0,850.0,850.0,850.0,27066
2008-09-12,850.0,850.0,825.0,825.0,4410
2008-09-15,801.0,801.0,775.0,798.0,73673
2008-09-16,798.0,798.0,770.0,770.0,20211
2008-09-17,770.0,849.0,755.0,790.0,23118
2008-09-18,740.0,740.0,740.0,740.0,152933
2008-09-19,780.0,780.0,740.0,740.0,86632
2008-09-22,750.0,770.0,750.0,750.0,735968
2008-09-23,780.0,900.0,780.0,900.0,508000
2008-09-25,900.0,900.0,780.0,790.0,6650
2008-09-26,850.0,850.0,800.0,850.0,300830
2008-09-29,800.0,805.0,800.0,805.0,207600
2008-09-30,805.0,830.0,805.0,830.0,75200
2008-10-01,836.0,888.0,835.0,850.0,76250
2008-10-02,850.0,850.0,850.0,850.0,1416
2008-10-03,850.0,850.0,830.0,830.0,15550
2008-10-06,829.0,829.0,725.0,755.0,263623
2008-10-07,761.0,800.0,760.0,770.0,2344100
2008-10-08,760.0,760.0,750.0,750.0,1027267
2008-10-09,750.0,750.0,750.0,750.0,0
2008-10-10,700.0,745.0,700.0,740.0,27457
2008-10-13,740.0,740.0,700.0,700.0,175312
2008-10-14,705.0,706.0,700.0,700.0,607914
2008-10-15,690.0,695.0,650.0,652.0,46223
2008-10-16,600.0,705.0,600.0,705.0,62702
2008-10-17,710.0,710.0,650.0,650.0,33445
2008-10-20,651.0,700.0,650.0,675.0,57550
2008-10-21,675.0,675.0,660.0,660.0,34486
2008-10-22,660.0,660.0,660.0,660.0,0
2008-10-23,600.0,605.0,600.0,605.0,1520
2008-10-24,605.0,606.0,600.0,600.0,37253
2008-10-27,580.0,580.0,580.0,580.0,5500
2008-10-28,600.0,625.0,600.0,600.0,111200
2008-10-29,600.0,600.0,600.0,600.0,0
2008-10-30,625.0,625.0,625.0,625.0,20000
2008-10-31,625.0,625.0,625.0,625.0,500
2008-11-03,625.0,625.0,620.0,620.0,800
2008-11-04,625.0,625.0,625.0,625.0,23175
2008-11-05,625.0,625.0,610.0,620.0,143460
2008-11-06,607.0,607.0,600.0,600.0,950824
2008-11-07,600.0,600.0,600.0,600.0,3300
2008-11-10,600.0,600.0,600.0,600.0,35000
2008-11-11,600.0,600.0,600.0,600.0,500
2008-11-12,600.0,600.0,600.0,600.0,135500
2008-11-13,600.0,600.0,570.0,570.0,15350
2008-11-14,570.0,570.0,570.0,570.0,0
2008-11-17,570.0,570.0,570.0,570.0,7000
2008-11-18,570.0,570.0,570.0,570.0,61000
2008-11-19,550.0,560.0,550.0,560.0,45098
2008-11-20,530.0,530.0,515.0,515.0,46000
2008-11-21,515.0,515.0,475.0,475.0,23250
2008-11-24,475.0,480.0,455.0,460.0,104845
2008-11-25,465.0,465.0,459.0,459.0,186800
2008-11-26,450.0,450.0,450.0,450.0,111200
2008-11-27,444.0,460.0,444.0,455.0,32670
2008-11-28,470.0,470.0,470.0,470.0,500
2008-12-01,470.0,470.0,470.0,470.0,0
2008-12-02,465.0,465.0,465.0,465.0,10000
2008-12-03,462.0,462.0,459.0,460.0,36000
2008-12-04,475.0,475.0,455.0,460.0,37128
2008-12-05,460.0,460.0,435.0,449.0,85790
2008-12-08,450.0,450.0,449.0,449.0,1076
2008-12-09,401.0,445.0,401.0,445.0,5465
2008-12-10,445.0,445.0,435.0,435.0,22888
2008-12-11,450.0,450.0,445.0,448.0,70661
2008-12-12,450.0,450.0,405.0,405.0,115975
2008-12-15,435.0,450.0,410.0,415.0,68225
2008-12-17,420.0,425.0,420.0,420.0,20811
2008-12-18,435.0,435.0,400.0,400.0,43105
2008-12-19,400.0,450.0,400.0,450.0,19910
2008-12-22,450.0,450.0,450.0,450.0,1000
2008-12-23,450.0,460.0,449.0,460.0,47800
2008-12-24,450.0,450.0,450.0,450.0,20000
2008-12-29,475.0,475.0,450.0,450.0,1314
2008-12-30,460.0,470.0,459.0,461.0,16200
2008-12-31,474.0,474.0,474.0,474.0,1000
2009-01-02,474.0,474.0,474.0,474.0,2100
2009-01-05,475.0,475.0,474.0,474.0,21165
2009-01-06,470.0,470.0,445.0,445.0,58441
2009-01-07,445.0,445.0,436.0,441.0,82950
2009-01-08,440.0,440.0,440.0,440.0,25500
2009-01-09,440.0,440.0,431.0,440.0,9962
2009-01-12,430.0,440.0,430.0,440.0,42000
2009-01-13,430.0,430.0,430.0,430.0,26000
2009-01-14,440.0,440.0,430.0,430.0,4000
2009-01-15,425.0,425.0,410.0,410.0,94174
2009-01-16,412.0,412.0,375.0,400.0,151003
2009-01-19,400.0,400.0,400.0,400.0,2635
2009-01-20,390.0,410.0,380.0,380.0,35000
2009-01-21,381.0,399.0,380.0,380.0,50529
2009-01-22,375.0,395.0,360.0,372.0,54710
2009-01-23,365.0,365.0,365.0,365.0,51622
2009-01-26,365.0,365.0,365.0,365.0,23500
2009-01-27,375.0,375.0,360.0,370.0,19863
2009-01-28,380.0,385.0,380.0,385.0,6437
2009-01-29,385.0,385.0,381.0,381.0,11400
2009-01-30,381.0,381.0,335.0,335.0,1051777
2009-02-02,350.0,350.0,340.0,350.0,77235
2009-02-03,335.0,335.0,320.0,320.0,187800
2009-02-04,320.0,324.0,320.0,320.0,70741
2009-02-05,320.0,320.0,320.0,320.0,80000
2009-02-06,317.0,320.0,300.0,320.0,85600
2009-02-09,320.0,320.0,320.0,320.0,4525
2009-02-10,315.0,320.0,311.0,317.0,83175
2009-02-11,317.0,319.0,317.0,319.0,17875
2009-02-12,319.0,319.0,319.0,319.0,23475
2009-02-13,319.0,319.0,319.0,319.0,1030
2009-02-16,319.0,319.0,302.0,305.0,60000
2009-02-17,305.0,305.0,305.0,305.0,0
2009-02-18,302.0,302.0,302.0,302.0,6000
2009-02-19,300.0,301.0,300.0,301.0,4900
2009-02-20,300.0,301.0,300.0,300.0,16300
2009-02-23,295.0,295.0,290.0,290.0,80000
2009-02-24,290.0,290.0,240.0,240.0,460732
2009-02-25,240.0,240.0,225.0,239.0,46703
2009-02-26,239.0,239.0,239.0,239.0,0
2009-02-27,225.0,225.0,220.0,220.0,18000
2009-03-02,220.0,234.0,220.0,234.0,10800
