Date,Open,High,Low,Close,Volume
2008-12-10,3100.0,3100.0,3079.21,3098.0,2170757
2008-12-11,3098.0,3120.0,2933.0,3050.0,2666341
2008-12-12,2995.0,3090.0,2945.0,3000.0,1830215
2008-12-15,3190.0,3190.0,2981.0,2981.0,3872002
2008-12-17,3170.0,3170.0,3001.0,3001.0,2499547
2008-12-18,3099.0,3099.0,2900.0,2984.0,2916923
2008-12-19,3049.0,3050.0,2900.0,2900.0,1756613
2008-12-22,3036.0,3120.0,2921.0,3100.0,1517525
2008-12-23,3005.0,3100.0,3001.0,3100.0,524799
2008-12-24,3055.0,3100.0,2995.0,3000.0,220083
2008-12-29,3000.0,3139.0,3000.0,3050.0,522615
2008-12-30,3075.0,3250.0,3050.0,3199.0,647313
2008-12-31,3200.0,3250.0,3101.0,3135.0,247057
2009-01-02,3250.0,3250.0,3150.0,3170.0,800457
2009-01-05,3095.0,3125.0,2975.0,3000.0,1876258
2009-01-06,3067.0,3095.0,3012.0,3050.0,2376922
2009-01-07,3050.0,3097.0,2952.0,3000.0,2319224
2009-01-08,3000.0,3000.0,2921.0,2950.0,705820
2009-01-09,2975.0,2998.0,2912.0,2950.0,1478319
2009-01-12,2950.0,2994.0,2911.0,2948.0,1411128
2009-01-13,2960.0,2960.0,2771.0,2771.0,1846878
2009-01-14,2830.0,2889.0,2751.0,2845.0,1727842
2009-01-15,2842.0,2891.0,2717.0,2891.0,3532497
2009-01-16,2905.0,2940.0,2856.0,2900.0,1627570
2009-01-19,2900.0,2921.0,2805.0,2865.0,1479690
2009-01-20,2820.0,2858.0,2799.0,2810.0,2831656
2009-01-21,2791.0,2845.0,2727.0,2751.0,2169605
2009-01-22,2780.0,2820.0,2726.0,2795.0,1318042
2009-01-23,2794.0,2812.0,2732.0,2800.0,1707270
2009-01-26,2800.0,2825.0,2715.0,2785.0,1304672
2009-01-27,2818.0,2875.0,2790.0,2840.0,2386749
2009-01-28,2850.0,2900.0,2814.0,2875.0,2776023
2009-01-29,2900.0,2939.0,2850.0,2890.0,3757360
2009-01-30,2890.0,2960.0,2770.0,2960.0,1734297
2009-02-02,2969.0,3039.0,2825.0,2825.0,1793186
2009-02-03,2899.0,2910.0,2810.0,2890.0,1698240
2009-02-04,2851.0,2950.0,2807.0,2875.0,1672805
2009-02-05,2900.0,2999.0,2825.0,2885.0,1054912
2009-02-06,2900.0,3070.0,2900.0,3069.0,1395658
