Date,Open,High,Low,Close,Volume
2010-11-08,6500.0,6700.0,6425.0,6490.0,7466797
2010-11-09,6490.0,6980.0,6490.0,6880.0,2783895
2010-11-10,6949.0,7100.0,6710.0,6885.0,1916606
2010-11-11,6989.0,7000.0,6885.0,6895.0,1477133
2010-11-12,6900.0,6900.0,6750.0,6820.0,1187226
2010-11-15,6899.0,6899.0,6820.0,6835.0,316570
2010-11-16,6835.0,6835.0,6675.0,6700.0,715990
2010-11-17,6650.0,6745.0,6644.0,6701.0,220043
2010-11-18,6787.0,6800.0,6690.0,6699.0,930553
2010-11-19,6705.0,6750.0,6685.0,6720.0,141835
2010-11-22,6750.0,6775.0,6676.0,6676.0,137068
2010-11-23,6650.0,6650.0,6440.0,6450.0,295318
2010-11-24,6451.0,6540.0,6451.0,6475.0,791106
2010-11-25,6500.0,6550.0,6475.0,6490.0,495764
2010-11-26,6490.0,6500.0,6440.0,6450.0,48048
2010-11-29,6550.0,6550.0,6252.0,6252.0,61941
2010-11-30,6300.0,6500.0,6300.0,6500.0,123087
2010-12-01,6500.0,6700.0,6411.0,6550.0,85269
2010-12-02,6600.0,6700.0,6550.0,6700.0,83842
2010-12-03,6700.0,6700.0,6511.0,6520.0,357839
2010-12-06,6647.0,6670.0,6500.0,6595.0,399745
2010-12-07,6552.0,6552.0,6490.0,6500.0,400814
2010-12-08,6485.0,6549.0,6460.0,6525.0,813942
2010-12-09,6525.0,6550.0,6485.0,6485.0,1037113
2010-12-10,6480.0,6500.0,6480.0,6480.0,17389
2010-12-13,6500.0,6500.0,6483.0,6500.0,16125
2010-12-14,6500.0,6532.0,6460.0,6500.0,118259
2010-12-15,6500.0,6595.0,6461.0,6595.0,192941
2010-12-17,6595.0,6595.0,6477.0,6491.0,87499
2010-12-20,6460.0,6589.0,6460.0,6520.0,159132
2010-12-21,6545.0,6598.0,6461.0,6598.0,12210
2010-12-22,6599.0,6640.0,6525.0,6580.0,77054
2010-12-23,6640.0,6700.0,6581.0,6700.0,99677
2010-12-24,6700.0,6700.0,6700.0,6700.0,3399
2010-12-28,6700.0,6700.0,6650.0,6700.0,7107
2010-12-29,6699.0,6700.0,6600.0,6700.0,144049
2010-12-30,6580.0,6705.51,6580.0,6698.0,52426
2010-12-31,6699.0,6700.0,6550.0,6675.0,4856
2011-01-03,6550.0,6685.0,6550.0,6685.0,6508
2011-01-04,6697.0,6697.0,6600.0,6650.0,13537
2011-01-05,6610.0,6693.0,6610.0,6693.0,55181
2011-01-06,6695.0,6695.0,6626.0,6650.0,18554
2011-01-07,6650.0,6675.0,6620.0,6620.0,55480
2011-01-10,6620.0,6620.0,6580.0,6585.0,14785
2011-01-11,6585.0,6620.0,6580.0,6580.0,180427
2011-01-12,6580.0,6610.0,6580.0,6600.0,233098
2011-01-13,6600.0,6875.0,6600.0,6798.0,102410
2011-01-14,6600.0,6875.0,6600.0,6802.0,147575
2011-01-17,6810.0,6900.0,6601.0,6750.0,144939
2011-01-18,6650.0,6740.0,6610.0,6625.0,12719
2011-01-19,6679.0,6679.0,6601.0,6609.0,64402
2011-01-20,6700.0,6700.0,6550.0,6590.0,22325
2011-01-21,6590.0,6650.0,6520.0,6600.0,63923
2011-01-24,6644.0,6650.0,6490.0,6599.0,39835
2011-01-25,6490.0,6550.0,6490.0,6500.0,27066
2011-01-26,6503.0,6588.0,6490.0,6500.0,1694119
2011-01-27,6500.0,6590.0,6375.0,6480.0,80217
2011-01-28,6480.0,6480.0,6330.0,6330.0,492089
2011-01-31,6300.0,6550.0,6230.0,6550.0,31823
2011-02-01,6350.0,6400.0,6350.0,6390.0,147559
2011-02-02,6300.0,6550.0,6300.0,6550.0,65817
2011-02-03,6544.0,6745.0,6300.0,6745.0,67447
2011-02-04,6665.0,6690.0,6560.0,6650.0,30133
2011-02-07,6650.0,6650.0,6510.0,6600.0,101100
2011-02-08,6550.0,6590.0,6360.0,6550.0,156865
2011-02-09,6550.0,6685.0,6550.0,6685.0,125944
2011-02-10,6600.0,6695.0,6600.0,6673.0,726607
2011-02-11,6625.0,6675.0,6625.0,6675.0,18369
2011-02-14,6693.0,6693.0,6620.0,6690.0,20425
2011-02-15,6651.0,6700.0,6651.0,6700.0,16342
2011-02-16,6700.0,6703.0,6675.0,6698.0,60489
2011-02-17,6680.0,6680.0,6510.0,6510.0,173424
