Date,Open,High,Low,Close,Volume
2007-03-20,1800.0,1801.0,1660.0,1780.0,8513913
2007-03-22,1800.0,1890.0,1796.0,1850.0,2484665
2007-03-23,1850.0,1850.0,1815.0,1834.0,1318083
2007-03-26,1850.0,1865.0,1830.0,1830.0,570834
2007-03-27,1850.0,1850.0,1835.0,1835.0,227903
2007-03-28,1835.0,1835.0,1805.0,1805.0,733068
2007-03-29,1820.0,1820.0,1806.0,1815.0,693691
2007-03-30,1815.0,1825.0,1815.0,1815.0,1326649
2007-04-02,1828.0,1875.0,1820.0,1870.0,520341
2007-04-03,1875.0,1975.0,1875.0,1930.0,1731540
2007-04-04,1950.0,2025.0,1950.0,1970.0,311299
2007-04-05,1980.0,2065.0,1980.0,2051.0,529080
2007-04-10,2070.0,2175.0,2070.0,2090.0,451665
2007-04-11,2075.0,2100.0,2020.0,2050.0,167514
2007-04-12,2050.0,2100.0,2050.0,2080.0,168188
2007-04-13,2080.0,2090.0,2050.0,2051.0,157674
2007-04-16,2100.0,2160.0,2060.0,2130.0,1054140
2007-04-17,2150.0,2300.0,2131.0,2250.0,292362
2007-04-18,2290.0,2290.0,2155.0,2220.0,200712
2007-04-19,2200.0,2210.0,2151.0,2180.0,398260
2007-04-20,2200.0,2220.0,2160.0,2220.0,458362
2007-04-23,2220.0,2250.0,2200.0,2200.0,276184
2007-04-24,2210.0,2215.0,2120.0,2140.0,536018
2007-04-25,2140.0,2180.0,2140.0,2177.0,368246
2007-04-26,2180.0,2300.0,2178.0,2270.0,365290
2007-04-30,2270.0,2380.0,2270.0,2375.0,1307838
2007-05-02,2400.0,2480.0,2350.0,2465.0,1111982
2007-05-03,2465.0,2575.0,2400.0,2575.0,1527186
2007-05-04,2600.0,2800.0,2520.0,2520.0,434657
2007-05-07,2560.0,2560.0,2450.0,2485.0,386906
2007-05-08,2490.0,2490.0,2350.0,2399.0,276946
2007-05-09,2420.0,2500.0,2400.0,2450.0,543256
2007-05-10,2460.0,2460.0,2395.0,2400.0,165131
2007-05-11,2380.0,2400.0,2370.0,2390.0,815169
2007-05-14,2380.0,2500.0,2380.0,2400.0,139034
2007-05-15,2380.0,2380.0,2300.0,2330.0,261653
2007-05-16,2330.0,2440.0,2330.0,2340.0,101862
2007-05-17,2400.0,2400.0,2350.0,2350.0,255317
2007-05-18,2350.0,2380.0,2335.0,2360.0,226546
2007-05-21,2360.0,2475.0,2360.0,2460.0,340237
2007-05-22,2455.0,2460.0,2420.0,2455.0,1703693
2007-05-23,2455.0,2460.0,2210.0,2375.0,431948
2007-05-24,2435.0,2460.0,2382.0,2435.0,431621
2007-05-25,2435.0,2550.0,2420.0,2515.0,252003
2007-05-28,2600.0,2620.0,2525.0,2551.0,383334
2007-05-29,2600.0,2615.0,2590.0,2600.0,419492
2007-05-30,2599.0,2630.0,2560.0,2630.0,158532
2007-05-31,2645.0,2750.0,2645.0,2730.0,1278032
2007-06-01,2739.0,2840.0,2739.0,2770.0,238985
2007-06-04,2770.0,2770.0,2670.0,2700.0,532236
2007-06-05,2695.0,2750.0,2695.0,2740.0,174226
2007-06-06,2720.0,2750.0,2700.0,2735.0,285645
2007-06-07,2735.0,2740.0,2700.0,2720.0,74400
2007-06-08,2715.0,2725.0,2650.0,2700.0,981174
2007-06-11,2700.0,2725.0,2680.0,2725.0,143344
2007-06-12,2701.0,2730.0,2635.0,2665.0,408986
2007-06-13,2640.0,2670.0,2600.0,2670.0,174074
2007-06-14,2720.0,2740.0,2660.0,2660.0,194467
2007-06-15,2660.0,2679.0,2620.0,2659.0,134547
2007-06-18,2659.0,2659.0,2585.0,2585.0,407882
2007-06-19,2570.0,2600.0,2510.0,2570.0,349805
2007-06-20,2550.0,2570.0,2550.0,2560.0,93172
2007-06-21,2560.0,2560.0,2510.0,2560.0,135970
2007-06-22,2560.0,2560.0,2525.0,2540.0,129903
2007-06-25,2550.0,2555.0,2475.0,2500.0,461699
2007-06-26,2500.0,2540.0,2500.0,2540.0,106925
2007-06-27,2501.0,2563.0,2501.0,2556.0,794059
2007-06-28,2560.0,2680.0,2550.0,2650.0,944314
2007-06-29,2680.0,2698.0,2615.0,2650.0,156132
2007-07-02,2651.0,2750.0,2650.0,2740.0,159410
2007-07-03,2741.0,2910.0,2741.0,2900.0,803958
