Date,Open,High,Low,Close,Volume
2015-05-18,1965.0,2024.0,1897.0,2024.0,45480048
2015-05-19,2201.0,2233.0,2116.0,2170.0,46774401
2015-05-20,2190.0,2195.0,2145.0,2149.0,5819316
2015-05-21,2163.0,2198.0,2163.0,2175.0,9697279
2015-05-22,2180.0,2180.0,2135.0,2140.0,2648919
2015-05-25,2172.0,2174.0,2139.0,2149.0,618284
2015-05-26,2150.0,2150.0,2077.0,2078.0,7749021
2015-05-27,2079.0,2090.0,2010.0,2012.0,14900885
2015-05-28,2029.0,2030.0,1971.0,2000.0,3324651
2015-05-29,1993.0,2045.0,1990.0,2027.0,4323337
2015-06-01,2027.0,2035.0,1995.0,2000.0,3639381
2015-06-02,2000.0,2010.0,1990.0,2006.0,4979632
2015-06-03,2028.0,2080.0,2028.0,2064.0,3074477
2015-06-04,2040.0,2051.0,2010.0,2014.0,2258424
2015-06-05,2005.0,2028.0,2003.0,2010.0,4193573
2015-06-08,2000.0,2023.0,1981.0,2014.0,6360721
2015-06-09,2014.0,2014.0,1966.0,1972.0,3101200
2015-06-10,1972.0,2007.0,1972.0,2001.0,4295574
2015-06-11,2000.0,2037.0,2000.0,2022.0,3854406
2015-06-12,2000.0,2012.0,1985.0,2000.0,2327740
2015-06-15,1980.0,2004.0,1971.0,2000.0,1670496
2015-06-17,1971.0,2004.0,1971.0,1980.0,1183398
2015-06-18,1949.0,1949.0,1884.0,1922.0,3465134
2015-06-19,1899.0,1899.0,1848.0,1848.0,5005422
2015-06-22,1822.0,1822.0,1719.0,1742.0,6182726
2015-06-23,1753.0,1785.0,1750.0,1780.0,3753354
2015-06-24,1782.0,1830.0,1782.0,1800.0,6156290
2015-06-25,1781.0,1808.0,1762.0,1768.0,2450908
2015-06-26,1735.0,1750.0,1671.0,1724.0,2199820
2015-06-29,1675.0,1675.0,1629.0,1637.0,5817202
2015-06-30,1650.0,1696.0,1644.0,1644.0,1805931
2015-07-01,1674.0,1685.0,1668.0,1673.0,1192914
2015-07-02,1677.0,1700.0,1667.0,1679.0,1099890
2015-07-03,1670.0,1670.0,1629.0,1637.0,625542
2015-07-06,1525.0,1658.0,1525.0,1650.0,1395311
2015-07-07,1664.0,1676.0,1603.0,1619.0,2042349
2015-07-08,1605.0,1605.0,1565.0,1574.0,790601
2015-07-09,1588.0,1640.0,1588.0,1633.0,899099
2015-07-10,1640.0,1680.0,1619.0,1625.0,697869
2015-07-13,1650.0,1650.0,1567.0,1580.0,1317260
2015-07-14,1604.0,1615.0,1587.0,1588.0,1376910
2015-07-15,1615.0,1635.0,1614.0,1618.0,1822408
2015-07-16,1608.0,1624.0,1601.0,1609.0,780272
2015-07-17,1598.0,1683.0,1598.0,1650.0,1978097
2015-07-20,1649.0,1675.0,1630.0,1632.0,2353694
2015-07-21,1605.0,1660.0,1605.0,1640.0,7507469
2015-07-22,1620.0,1623.0,1576.0,1583.0,8555754
2015-07-23,1580.0,1695.0,1561.0,1622.0,9911126
2015-07-24,1620.0,1620.0,1587.0,1606.0,8355969
2015-07-27,1597.0,1615.0,1590.0,1600.0,4449130
2015-07-28,1586.0,1600.0,1578.0,1593.0,4194529
2015-07-29,1603.0,1644.0,1603.0,1634.0,9517945
2015-07-30,1634.0,1651.0,1615.0,1637.0,6476495
2015-07-31,1637.0,1643.0,1605.0,1606.0,3704115
2015-08-03,1596.0,1599.0,1561.0,1561.0,1697908
2015-08-04,1577.0,1593.0,1570.0,1590.0,1899230
2015-08-05,1600.0,1640.0,1600.0,1632.0,2052006
2015-08-06,1620.0,1630.0,1588.0,1588.0,2022112
2015-08-07,1588.0,1599.0,1565.0,1573.0,974036
2015-08-11,1594.0,1636.0,1587.0,1600.0,1015064
2015-08-12,1565.0,1570.0,1533.0,1570.0,2189905
2015-08-13,1575.0,1580.0,1554.0,1560.0,540831
2015-08-14,1554.0,1568.0,1534.0,1539.0,329804
2015-08-17,1544.0,1544.0,1514.0,1519.0,494610
2015-08-18,1510.0,1519.0,1482.0,1489.0,838546
2015-08-19,1486.0,1492.0,1440.0,1440.0,1638844
2015-08-20,1440.0,1461.0,1432.0,1450.0,743352
2015-08-21,1450.0,1463.0,1432.0,1440.0,1058918
2015-08-24,1350.0,1372.0,1296.0,1296.0,1301714
2015-08-25,1350.0,1465.0,1347.0,1415.0,4606367
2015-08-26,1371.0,1386.0,1355.0,1360.0,2417413
2015-08-27,1400.0,1400.0,1375.0,1391.0,2761490
2015-08-28,1441.0,1456.0,1430.0,1450.0,4018023
2015-08-31,1430.0,1452.0,1421.0,1443.0,245593
2015-09-01,1408.0,1428.0,1385.0,1393.0,1638776
2015-09-02,1399.0,1435.0,1388.0,1414.0,781365
2015-09-03,1400.0,1495.0,1400.0,1490.0,1063192
2015-09-04,1470.0,1490.0,1453.0,1474.0,1234075
2015-09-07,1475.0,1525.0,1475.0,1510.0,574912
2015-09-08,1524.0,1629.0,1524.0,1583.0,847376
2015-09-09,1606.0,1644.0,1601.0,1621.0,7097750
2015-09-10,1623.0,1655.0,1605.0,1610.0,3968301
2015-09-11,1606.0,1610.0,1588.0,1590.0,2342098
2015-09-14,1596.0,1600.0,1577.0,1577.0,2388624
2015-09-15,1525.0,1574.0,1457.0,1470.0,1462276
2015-09-16,1500.0,1518.0,1483.0,1483.0,6706300
2015-09-17,1483.0,1497.0,1471.0,1472.0,3017440
2015-09-18,1457.0,1470.0,1444.0,1455.0,6981216
2015-09-21,1410.0,1446.0,1397.0,1406.0,1081532
2015-09-22,1419.0,1433.0,1386.0,1400.0,5732053
2015-09-23,1387.0,1387.0,1358.0,1367.0,1967382
2015-09-25,1385.0,1391.0,1342.0,1360.0,4630436
2015-09-28,1380.0,1408.0,1345.0,1370.0,3906880
2015-09-29,1340.0,1375.0,1340.0,1349.0,292216
2015-09-30,1349.0,1349.0,1311.0,1320.0,364561
2015-10-01,1314.0,1344.0,1302.0,1324.0,2171844
2015-10-02,1320.0,1330.0,1303.0,1320.0,1447965
2015-10-05,1325.0,1360.0,1320.0,1360.0,741516
2015-10-06,1363.0,1404.0,1363.0,1404.0,869352
2015-10-07,1390.0,1441.0,1384.0,1401.0,831137
2015-10-08,1475.0,1487.0,1461.0,1465.0,672092
2015-10-09,1475.0,1546.0,1475.0,1525.0,393024
2015-10-12,1502.0,1519.0,1496.0,1504.0,211934
2015-10-13,1492.0,1492.0,1445.0,1473.0,1220695
2015-10-14,1454.0,1471.0,1444.0,1461.0,425001
2015-10-15,1452.0,1464.0,1433.0,1433.0,1470352
2015-10-16,1433.0,1433.0,1413.0,1419.0,1555634
2015-10-19,1416.0,1443.0,1416.0,1439.0,276764
2015-10-20,1440.0,1440.0,1412.0,1423.0,976525
2015-10-21,1416.0,1427.0,1387.0,1414.0,1464352
2015-10-22,1443.0,1502.0,1443.0,1469.0,1943349
2015-10-23,1469.0,1528.0,1469.0,1486.0,2147444
2015-10-26,1456.0,1486.0,1456.0,1468.0,411016
2015-10-27,1463.0,1473.0,1442.0,1459.0,1160753
2015-10-28,1450.0,1473.0,1447.0,1456.0,843570
2015-10-29,1413.0,1460.0,1413.0,1449.0,1100474
2015-10-30,1449.0,1450.0,1410.0,1445.0,123111
2015-11-02,1415.0,1430.0,1408.0,1428.0,348350
2015-11-03,1425.0,1447.0,1424.0,1440.0,1371456
2015-11-04,1440.0,1495.0,1435.0,1469.0,3587419
2015-11-05,1454.0,1481.0,1451.0,1451.0,941964
2015-11-06,1450.0,1473.0,1447.0,1450.0,3092200
2015-11-09,1425.0,1450.0,1425.0,1435.0,1730954
2015-11-10,1425.0,1450.0,1415.0,1415.0,3503793
2015-11-11,1410.0,1415.0,1391.0,1409.0,1061537
2015-11-12,1400.0,1400.0,1311.0,1316.0,3294519
2015-11-13,1305.0,1311.0,1273.0,1285.0,3547444
2015-11-16,1255.0,1312.0,1255.0,1304.0,579578
2015-11-17,1304.0,1319.0,1280.0,1293.0,1129129
2015-11-18,1250.0,1299.0,1225.0,1245.0,378162
2015-11-19,1254.0,1354.0,1254.0,1325.0,827318
2015-11-20,1325.0,1335.0,1226.0,1320.0,1110814
2015-11-23,1233.0,1282.0,1170.0,1250.0,1193318
2015-11-24,1235.0,1242.0,1180.0,1221.0,331179
2015-11-25,1220.0,1230.0,1181.0,1210.0,347867
2015-11-26,1210.0,1257.0,1179.0,1250.0,197650
2015-11-27,1250.0,1265.0,1203.0,1265.0,844517
2015-11-30,1202.0,1265.0,1170.0,1225.0,756794
2015-12-01,1220.0,1250.0,1220.0,1248.0,424371
2015-12-02,1250.0,1273.0,1230.0,1235.0,402422
2015-12-03,1250.0,1250.0,1157.0,1249.0,807567
2015-12-04,1225.0,1225.0,1198.0,1210.0,448699
2015-12-07,1150.0,1210.0,1150.0,1177.0,901809
2015-12-08,1108.0,1110.0,1067.0,1084.0,3064275
2015-12-09,1100.0,1100.0,1070.0,1090.0,471039
2015-12-10,1090.0,1126.0,1089.0,1105.0,2523636
2015-12-11,1108.0,1150.0,1008.0,1131.0,383989
2015-12-14,1090.0,1099.0,1020.0,1088.0,1068368
2015-12-15,985.0,1099.0,985.0,1090.0,116473
2015-12-17,1090.0,1140.0,1090.0,1127.0,621887
2015-12-18,1100.0,1125.0,1100.0,1116.0,244767
2015-12-21,1127.0,1145.0,1090.0,1115.0,313717
2015-12-22,1116.0,1144.0,1116.0,1126.0,32872
2015-12-23,1145.0,1190.0,1145.0,1172.0,332618
2015-12-24,1145.0,1220.0,1145.0,1200.0,152266
2015-12-28,1171.0,1188.0,1119.0,1151.0,84441
2015-12-29,1160.0,1218.0,1160.0,1183.0,570056
2015-12-30,1240.0,1240.0,1183.0,1197.0,96057
2015-12-31,1150.0,1220.0,1150.0,1210.0,6362
2016-01-04,1150.0,1216.0,1150.0,1170.0,83872
2016-01-05,1157.0,1171.0,1145.0,1160.0,161161
2016-01-06,1166.0,1166.0,1106.0,1114.0,1001755
2016-01-07,1110.0,1110.0,1025.0,1039.0,2697338
2016-01-08,1013.0,1068.0,1013.0,1063.0,711175
2016-01-11,1020.0,1076.0,1020.0,1068.0,513565
2016-01-12,1080.0,1080.0,1020.0,1025.0,368458
2016-01-13,1035.0,1077.0,1017.0,1069.0,1346238
2016-01-14,1050.0,1057.0,1004.0,1054.0,315583
2016-01-15,1002.0,1065.0,1002.0,1058.0,835483
2016-01-18,1058.0,1060.0,1022.0,1057.0,549848
2016-01-19,1011.0,1075.0,1011.0,1060.0,2010494
2016-01-20,1006.0,1073.0,1006.0,1035.0,1482291
2016-01-21,1005.0,1050.0,1005.0,1036.0,3916465
2016-01-22,1050.0,1124.0,1013.0,1111.0,2791709
2016-01-25,1111.0,1144.0,1110.0,1115.0,2186738
2016-01-26,1115.0,1132.0,1083.0,1125.0,377896
2016-01-27,1100.0,1150.0,1030.0,1100.0,1298099
2016-01-28,1090.0,1160.0,1090.0,1160.0,897358
2016-01-29,1180.0,1180.0,1088.0,1100.0,1114799
2016-02-01,1090.0,1136.0,1090.0,1123.0,463016
2016-02-02,1122.0,1122.0,1089.0,1118.0,1193684
2016-02-03,1052.0,1115.0,1052.0,1110.0,543520
2016-02-04,1201.0,1270.0,1201.0,1239.0,3465938
2016-02-05,1261.0,1348.0,1261.0,1300.0,2021381
2016-02-08,1300.0,1350.0,1290.0,1350.0,2902311
2016-02-09,1325.0,1375.0,1292.0,1310.0,2239009
2016-02-10,1300.0,1349.0,1271.0,1297.0,580630
2016-02-11,1289.0,1294.0,1207.0,1245.0,1583688
2016-02-12,1200.0,1300.0,1200.0,1278.0,1200123
2016-02-15,1276.0,1348.0,1276.0,1337.0,218853
2016-02-16,1336.0,1382.0,1290.0,1347.0,875561
2016-02-17,1325.0,1385.0,1325.0,1370.0,506725
2016-02-18,1370.0,1415.0,1370.0,1387.0,308057
2016-02-19,1305.0,1375.0,1277.0,1306.0,537938
2016-02-22,1310.0,1345.0,1310.0,1333.0,339345
2016-02-23,1320.0,1350.0,1298.0,1298.0,257451
