Date,Open,High,Low,Close,Volume
2003-09-29,9550.0,9745.0,9500.0,9550.0,637208
2003-09-30,9500.0,9500.0,9149.0,9175.0,684775
2003-10-01,8826.0,9300.0,8826.0,8826.0,941934
2003-10-02,9100.0,9100.0,8805.0,8950.0,889383
2003-10-03,8900.0,9000.0,8743.0,8900.0,914217
2003-10-06,8901.0,9050.0,8880.0,8880.0,929163
2003-10-07,8745.0,8800.0,8650.0,8745.0,444583
2003-10-08,8849.0,8900.0,8750.0,8849.0,507858
2003-10-09,8940.0,9005.0,8880.0,8940.0,2231198
2003-10-10,8950.0,8970.0,8850.0,8950.0,888722
2003-10-13,9000.0,9150.0,9000.0,9060.0,680346
2003-10-14,8980.0,9200.0,8965.0,8980.0,481280
2003-10-15,9000.0,9050.0,8950.0,9001.0,430795
2003-10-16,9030.0,9100.0,8965.0,9030.0,756900
2003-10-17,9400.0,9575.0,9145.0,9400.0,926877
2003-10-20,9465.0,9690.0,9401.0,9465.0,83733
2003-10-21,9290.0,9500.0,9210.0,9290.0,216533
2003-10-22,9289.0,9405.0,9000.0,9234.0,463712
2003-10-23,9050.0,9225.0,9000.0,9050.0,629705
2003-10-24,8900.0,9002.0,8750.0,8900.0,264103
2003-10-27,8850.0,9000.0,8715.0,8850.0,161633
2003-10-28,8710.0,8850.0,8650.0,8710.0,865631
2003-10-29,8720.0,8850.0,6009.33,8755.0,573500
2003-10-30,8800.0,8845.0,8750.0,8800.0,469243
2003-10-31,8724.0,8950.0,8710.0,8724.0,906312
2003-11-03,8750.0,8800.0,8725.0,8750.0,1426322
2003-11-04,8860.0,9000.0,8775.0,8860.0,745559
2003-11-05,8880.0,8900.0,8700.0,8880.0,829334
2003-11-06,8870.0,8940.0,8800.0,8919.0,1665266
2003-11-07,8995.0,9085.0,8950.0,8950.0,1853561
2003-11-10,8980.0,9050.0,8900.0,8980.0,1029475
2003-11-11,8975.0,9000.0,8850.0,8975.0,430188
2003-11-12,8980.0,9020.0,8900.0,8980.0,242987
2003-11-13,8900.0,9050.0,8880.0,8900.0,460098
2003-11-14,8900.0,8920.0,8799.0,8872.0,595820
2003-11-17,8700.0,8872.0,8610.0,8700.0,984971
2003-11-18,8701.0,8820.0,8700.0,8701.0,1204683
2003-11-19,8695.0,8695.0,8525.0,8585.0,894214
2003-11-20,8514.0,8620.0,8499.0,8514.0,576288
2003-11-21,8571.0,8650.0,8520.0,8571.0,702071
2003-11-24,8600.0,8650.0,8550.0,8600.0,530390
2003-11-25,8655.0,8700.0,8615.0,8630.0,1130810
2003-11-26,8450.0,8600.0,8400.0,8450.0,663792
2003-11-27,8350.0,8577.04,8275.0,8350.0,312119
2003-11-28,8320.0,8420.0,8100.0,8195.0,456096
2003-12-01,8390.0,8390.0,8100.0,8390.0,717928
2003-12-02,8400.0,8450.0,8075.0,8110.0,1021920
2003-12-03,8050.0,8200.0,8000.0,8050.0,1224487
2003-12-04,8050.0,7830.0,7720.0,7800.0,1408560
2003-12-05,7950.0,8050.0,7849.0,8030.0,1526318
2003-12-08,8180.0,8200.0,7950.0,8180.0,1180835
2003-12-09,8500.0,8550.0,8180.0,8500.0,2571943
2003-12-10,8520.0,8700.0,8500.0,8576.0,2049621
2003-12-11,8600.0,8601.0,8480.0,8600.0,654311
2003-12-12,8500.0,8600.0,8475.0,8500.0,589358
2003-12-15,8530.0,8605.0,7944.84,8530.0,648629
2003-12-17,8550.0,8600.0,8410.0,8550.0,748499
2003-12-18,8650.0,8670.0,8555.0,8650.0,943687
2003-12-19,8950.0,9000.0,8680.0,8950.0,1070606
2003-12-22,9006.0,9235.0,9006.0,9160.0,1171199
2003-12-23,9220.0,9250.0,9170.0,9220.0,1070950
2003-12-24,9250.0,9250.0,9150.0,9250.0,31870
2003-12-29,9100.0,9180.0,9080.0,9100.0,416992
2003-12-30,9100.0,9200.0,9030.0,9100.0,1581956
2004-01-02,9190.0,9201.0,9099.0,9190.0,155678
2004-01-05,8948.0,9040.0,8948.0,8948.0,696003
2004-01-06,8820.0,8950.0,8700.0,8820.0,1199750
2004-01-07,8820.0,9045.0,6890.0,9000.0,1534162
2004-01-08,9110.0,9140.0,8940.0,9110.0,677522
2004-01-09,9425.0,9460.0,9050.0,9350.0,692575
2004-01-12,9352.0,9450.0,9250.0,9352.0,0
2004-01-13,9750.0,9850.0,9300.0,9750.0,0
2004-01-14,9811.0,10090.0,9811.0,9985.0,0
2004-01-15,10100.0,10100.0,9900.0,10100.0,0
2004-01-16,10110.0,10400.0,10100.0,10299.0,0
2004-01-19,10440.0,10440.0,10050.0,10440.0,0
