Date,Open,High,Low,Close,Volume
2013-02-11,1305.0,1478.0,1300.0,1385.64,3112094
2013-02-12,1365.0,1525.0,1365.0,1471.0,15273690
2013-02-13,1500.0,1560.0,1477.0,1510.0,8456127
2013-02-14,1521.0,1667.0,1489.0,1630.0,14316784
2013-02-15,1650.0,1750.0,1550.0,1620.0,5333334
2013-02-18,1620.0,1620.0,1514.0,1529.0,3575429
2013-02-19,1529.0,1552.0,1350.0,1360.0,19235237
2013-02-20,1320.0,1332.0,1233.0,1325.0,24902116
2013-02-21,1295.0,1295.0,1206.0,1285.0,21298485
2013-02-22,1325.0,1328.0,1279.0,1321.0,18034931
2013-02-25,1310.0,1354.0,1299.0,1316.0,8315253
2013-02-26,1330.0,1370.0,1310.0,1332.0,4055056
2013-02-27,1344.0,1369.0,1321.0,1321.0,4684546
2013-02-28,1311.0,1325.0,1289.0,1300.0,8929229
2013-03-01,1325.0,1549.0,1310.0,1380.0,13493290
2013-03-04,1340.0,1355.0,1301.0,1320.0,6108890
2013-03-05,1289.0,1335.0,1276.0,1329.0,4621610
2013-03-06,1319.0,1378.0,1319.0,1322.0,2886422
2013-03-07,1403.0,1470.0,1365.0,1425.0,6720991
2013-03-08,1448.0,1520.0,1401.0,1431.0,3733295
2013-03-11,1450.0,1498.0,1341.0,1380.0,11761171
2013-03-12,1361.0,1410.0,1355.0,1400.0,7733621
2013-03-13,1423.0,1465.0,1406.0,1443.0,7211169
2013-03-14,1411.0,1458.0,1407.0,1424.0,5639201
2013-03-15,1406.0,1451.0,1386.0,1390.0,4719597
2013-03-18,1387.0,1420.0,1350.0,1358.0,4118569
2013-03-19,1365.0,1378.0,1330.0,1378.0,4514089
2013-03-20,1350.0,1365.0,1315.0,1315.0,3098520
2013-03-22,1295.0,1300.0,1260.0,1265.0,4456317
2013-03-25,1260.0,1292.0,1241.0,1248.0,2448965
2013-03-26,1262.0,1299.0,1243.0,1290.0,6705171
2013-03-27,1290.0,1345.0,1290.0,1330.0,3992207
2013-03-28,1330.0,1345.0,1325.0,1339.0,1946581
2013-04-02,1308.0,1328.0,1291.0,1323.0,3323029
2013-04-03,1281.0,1315.0,1259.0,1259.0,3862123
2013-04-04,1245.0,1256.0,1226.0,1244.0,1617072
2013-04-05,1282.0,1287.0,1252.0,1275.0,2545311
2013-04-08,1289.0,1317.0,1274.0,1288.0,2711302
2013-04-09,1275.0,1310.0,1275.0,1300.0,2706256
2013-04-10,1299.0,1325.0,1289.0,1289.0,1136726
2013-04-11,1271.0,1310.0,1251.0,1251.0,1552905
2013-04-12,1250.0,1258.0,1190.0,1190.0,1413741
2013-04-15,1155.0,1155.0,1050.0,1067.0,5096772
2013-04-16,1076.0,1110.0,1034.0,1042.0,10637809
2013-04-17,1039.0,1045.0,990.0,990.0,10411448
2013-04-18,941.0,952.0,906.0,925.0,13468036
2013-04-19,967.0,967.0,911.0,919.0,4434666
2013-04-22,915.0,947.0,915.0,915.0,6344748
2013-04-23,911.0,938.0,892.0,932.0,2843419
2013-04-24,938.0,965.0,925.0,949.0,4459285
2013-04-25,957.0,970.0,933.0,933.0,2759228
2013-04-26,957.0,963.0,935.0,947.0,1393470
2013-04-29,945.0,949.0,910.0,915.0,2859732
2013-04-30,907.0,908.0,850.0,850.0,3513535
2013-05-02,861.0,861.0,815.0,855.0,1930856
2013-05-03,855.0,855.0,770.0,805.0,3065556
2013-05-06,805.0,835.0,805.0,825.0,2204722
2013-05-07,820.0,831.0,806.0,819.0,7832514
2013-05-08,861.0,880.0,833.0,859.0,8038132
2013-05-09,880.0,891.0,862.0,876.0,5014968
2013-05-10,885.0,885.0,839.0,845.0,5161368
2013-05-13,837.0,851.0,820.0,840.0,3375307
2013-05-14,840.0,840.0,813.0,834.0,4187175
2013-05-15,826.0,826.0,801.0,808.0,2152290
2013-05-16,790.0,790.0,736.0,745.0,5877673
2013-05-17,744.0,745.0,703.0,703.0,2182827
2013-05-20,700.0,705.0,660.0,675.0,4966860
2013-05-21,680.0,683.0,659.0,674.0,2791492
2013-05-22,670.0,700.0,668.0,673.0,2928949
2013-05-23,673.0,739.0,668.0,701.0,2378472
2013-05-24,718.0,750.0,708.0,741.0,2478157
2013-05-27,750.0,780.0,750.0,775.0,1330220
2013-05-28,772.0,774.0,736.0,745.0,2331675
2013-05-29,744.0,764.0,740.0,747.0,1566921
2013-05-30,757.0,818.0,757.0,807.0,4082879
2013-05-31,830.0,850.0,808.0,839.0,4746630
2013-06-03,888.0,888.0,846.0,851.0,2717255
2013-06-04,847.0,859.0,826.0,831.0,1280814
2013-06-05,831.0,841.0,830.0,836.0,1232047
2013-06-06,833.0,905.0,833.0,903.0,2136688
2013-06-07,945.0,945.0,914.0,916.0,3260824
2013-06-10,920.0,1009.0,920.0,1009.0,5063412
2013-06-11,1009.0,1355.0,969.0,977.0,4856738
2013-06-12,984.0,1000.0,980.0,995.0,4950361
2013-06-13,990.0,1004.0,959.0,977.0,1357739
2013-06-14,977.0,985.0,920.0,935.0,961343
2013-06-18,950.0,950.0,889.0,902.0,1469021
2013-06-19,891.0,909.0,876.0,899.0,879683
2013-06-20,878.0,892.0,790.0,800.0,5301548
2013-06-21,790.0,815.0,776.0,800.0,3343134
2013-06-24,764.0,782.0,752.0,769.0,2116037
2013-06-25,745.0,762.0,719.0,740.0,7540940
2013-06-26,730.0,730.0,686.0,700.0,5065942
2013-06-27,705.0,713.0,685.0,685.0,3097828
2013-06-28,685.0,715.0,674.0,710.0,6777356
2013-07-01,745.0,775.0,726.0,750.0,2361644
2013-07-02,750.0,781.0,745.0,749.0,3865784
2013-07-03,759.0,774.0,710.0,749.0,1396312
2013-07-04,741.0,782.0,741.0,760.0,628656
2013-07-05,750.0,760.0,725.0,729.0,2511310
2013-07-08,762.0,765.0,730.0,735.0,1164959
2013-07-09,735.0,747.0,711.0,717.0,2452555
2013-07-10,739.0,789.0,736.0,783.0,2589789
2013-07-11,800.0,852.0,794.0,850.0,901037
2013-07-12,851.0,869.0,785.0,816.0,2778411
2013-07-15,815.0,835.0,802.0,830.0,1011189
2013-07-16,819.0,851.0,818.0,835.0,1325268
2013-07-17,851.0,857.0,828.0,840.0,1868963
2013-07-18,854.0,890.0,833.0,844.0,1474537
2013-07-19,857.0,860.0,823.0,823.0,962392
2013-07-22,851.0,920.0,850.0,872.0,1694090
2013-07-23,887.0,894.0,859.0,890.0,2048250
2013-07-24,899.0,913.0,860.0,895.0,1454637
2013-07-25,894.0,894.0,856.0,873.0,1529382
2013-07-26,851.0,864.0,815.0,815.0,588627
2013-07-29,814.0,829.0,799.0,804.0,1781454
2013-07-30,804.0,812.0,776.0,786.0,1607393
2013-07-31,795.0,796.0,759.0,759.0,2389879
2013-08-01,761.0,797.0,760.0,797.0,2400079
2013-08-02,793.0,802.0,769.0,797.0,1235487
2013-08-05,775.0,804.0,775.0,783.0,2702701
2013-08-06,800.0,800.0,771.0,784.0,659385
2013-08-07,772.0,774.0,749.0,761.0,1279695
2013-08-08,768.0,787.0,762.0,772.0,1307252
2013-08-12,791.0,818.0,791.0,815.0,2619369
2013-08-13,856.0,885.0,827.0,870.0,4519022
2013-08-14,870.0,874.0,842.0,870.0,832166
2013-08-15,885.0,905.0,852.0,891.0,2743279
2013-08-16,944.0,985.0,915.0,975.0,3880734
2013-08-19,971.0,995.0,952.0,955.0,782202
2013-08-20,961.0,995.0,957.0,993.0,1397539
2013-08-21,1010.0,1084.0,1010.0,1067.0,1760936
2013-08-22,1061.0,1098.0,1040.0,1075.0,2946047
2013-08-23,1081.0,1085.0,971.0,1020.0,5659355
2013-08-26,990.0,1032.0,990.0,1032.0,1268120
2013-08-27,1018.0,1066.0,1018.0,1032.0,6428417
2013-08-28,1030.0,1050.0,1009.0,1027.0,5154959
2013-08-29,1016.0,1050.0,991.0,1026.0,6844854
2013-08-30,1061.0,1087.0,1036.0,1054.0,3787179
2013-09-02,1049.0,1069.0,983.0,1004.0,6322365
2013-09-03,1002.0,1050.0,1002.0,1035.0,4026426
2013-09-04,1040.0,1070.0,1025.0,1045.0,3083153
2013-09-05,1045.0,1080.0,1024.0,1024.0,6804051
2013-09-06,1039.0,1069.0,995.0,1065.0,3703008
2013-09-09,1050.0,1110.0,1050.0,1109.0,1781006
2013-09-10,1095.0,1136.0,1090.0,1120.0,2344673
2013-09-11,1120.0,1172.0,1120.0,1150.0,2141238
2013-09-12,1170.0,1180.0,1121.0,1147.0,4948008
2013-09-13,1145.0,1145.0,1093.0,1100.0,4294866
2013-09-16,1115.0,1134.0,1080.0,1130.0,2020488
2013-09-17,1160.0,1179.0,1131.0,1169.0,1569021
2013-09-18,1195.0,1199.0,1153.0,1160.0,4402079
2013-09-19,1194.0,1239.0,1194.0,1201.0,2324002
2013-09-20,1246.48,1260.0,1222.0,1234.0,4738543
2013-09-23,1240.0,1240.0,1195.0,1233.0,2932543
2013-09-25,1242.03,1356.0,1226.0,1303.0,4529948
2013-09-26,1313.0,1388.0,1313.0,1366.0,1643011
2013-09-27,1375.0,1400.0,1317.0,1325.0,5499640
2013-09-30,1287.0,1303.0,1232.0,1260.0,5415300
2013-10-01,1290.0,1299.0,1221.0,1268.0,3719409
2013-10-02,1264.0,1300.0,1245.0,1289.0,801516
2013-10-03,1290.0,1316.0,1254.0,1270.0,4148174
2013-10-04,1271.0,1310.0,1267.0,1290.0,645009
2013-10-07,1313.0,1313.0,1280.0,1305.0,3490779
2013-10-08,1305.0,1318.0,1275.0,1299.0,4917517
2013-10-09,1298.0,1298.0,1212.0,1243.0,1917465
2013-10-10,1243.0,1280.0,1235.0,1278.0,1822784
2013-10-11,1285.0,1285.0,1235.0,1249.0,1229300
2013-10-14,1246.0,1246.0,1195.0,1221.0,545729
2013-10-15,1235.0,1266.0,1187.0,1259.0,1177746
2013-10-16,1260.0,1280.0,1234.0,1254.0,787407
2013-10-17,1260.0,1336.0,1260.0,1325.0,3455087
2013-10-18,1338.0,1350.0,1315.0,1329.0,1050591
2013-10-21,1345.0,1380.0,1331.0,1369.0,1225398
2013-10-22,1385.0,1439.0,1338.0,1410.0,2540801
2013-10-23,1390.0,1487.0,1359.0,1418.0,3074023
2013-10-24,1411.0,1411.0,1351.0,1370.0,806866
2013-10-25,1345.0,1417.0,1345.0,1399.0,1371040
2013-10-28,1438.0,1479.0,1398.0,1435.0,1005226
2013-10-29,1460.0,1463.0,1400.0,1428.0,1282564
2013-10-30,1401.0,1459.0,1350.0,1353.0,2363085
2013-10-31,1375.0,1438.0,1375.0,1418.0,2000309
2013-11-01,1361.0,1463.0,1361.0,1452.0,1230354
2013-11-04,1452.0,1530.0,1452.0,1501.0,1422412
2013-11-05,1500.0,1560.0,1500.0,1537.0,2071604
2013-11-06,1575.0,1590.0,1535.0,1565.0,1439697
2013-11-07,1565.0,1600.0,1550.0,1570.0,1913143
2013-11-08,1502.0,1570.0,1465.0,1481.0,2141668
2013-11-11,1500.0,1513.0,1417.0,1474.0,1512515
2013-11-12,1475.0,1475.0,1419.0,1470.0,1008289
2013-11-13,1470.0,1475.0,1406.0,1437.0,695566
2013-11-14,1437.0,1461.0,1400.0,1422.0,1593097
