Date,Open,High,Low,Close,Volume
2015-12-04,8250.0,8300.0,7400.0,7700.0,46053496
2015-12-07,7751.0,7997.0,7693.0,7920.0,14052083
2015-12-08,7950.0,8020.0,7910.0,7948.0,9736597
2015-12-09,7930.0,7989.0,7750.0,7940.0,8606550
2015-12-10,7999.0,8220.0,7863.0,7873.0,21081053
2015-12-11,7900.0,7948.0,7400.0,7499.0,19852987
2015-12-14,7610.0,7805.0,7547.0,7650.0,7684292
2015-12-15,7700.0,7791.0,7451.0,7592.0,10108042
2015-12-17,7715.0,7999.0,7590.0,7778.0,27027598
2015-12-18,7797.0,7840.0,7451.0,7639.0,11645632
2015-12-21,7639.0,7750.0,7574.0,7685.0,3578964
2015-12-22,7685.0,7935.0,7685.0,7777.0,3877558
2015-12-23,7800.0,7930.0,7800.0,7891.0,3407563
2015-12-24,7900.0,8000.0,7900.0,7901.0,1409056
2015-12-28,7880.0,8001.0,7880.0,7940.0,1380528
2015-12-29,7940.0,7957.0,7867.0,7939.0,1567032
2015-12-30,7880.0,7980.0,7819.0,7819.0,2419712
2015-12-31,7887.0,7941.0,7780.0,7851.0,1146458
2016-01-04,7821.0,7821.0,7593.0,7647.0,3715022
2016-01-05,7650.0,7796.0,7545.0,7750.0,3873445
2016-01-06,7633.0,7861.0,7550.0,7786.0,5728875
2016-01-07,7605.0,7668.0,7513.0,7595.0,8978874
2016-01-08,7595.0,7727.0,7549.0,7549.0,7784671
2016-01-11,7475.0,7599.0,7400.0,7500.0,7935181
2016-01-12,7450.0,7599.0,7410.0,7500.0,9444036
2016-01-13,7560.0,7645.0,7461.0,7485.0,6165853
2016-01-14,7450.0,7450.0,7225.0,7230.0,12590048
2016-01-15,7240.0,7318.0,7074.0,7125.0,8947075
2016-01-18,7122.0,7260.0,7050.0,7050.0,7109161
2016-01-19,7148.0,7250.0,7050.0,7169.0,9447021
2016-01-20,7000.0,7119.0,6961.0,6980.0,11460507
2016-01-21,6976.0,7150.0,6950.0,7112.0,8172744
2016-01-22,7201.0,7345.0,7201.0,7345.0,10328965
2016-01-25,7350.0,7397.0,7279.0,7350.0,6361687
2016-01-26,7315.0,7315.0,7149.0,7251.0,7943690
2016-01-27,7260.0,7387.0,7255.0,7330.0,5247152
2016-01-28,7348.0,7543.0,7330.0,7499.0,8468956
2016-01-29,7545.0,7649.0,7462.0,7630.0,13800475
2016-02-01,7650.0,7701.0,7407.0,7561.0,10335659
2016-02-02,7559.0,7629.0,7305.0,7418.0,7388100
2016-02-03,7317.0,7621.0,7317.0,7532.0,5589424
2016-02-04,7700.0,7766.0,7562.0,7714.0,6634216
2016-02-05,7700.0,7749.0,7589.0,7718.0,3745413
2016-02-08,7735.0,7800.0,7520.0,7637.0,5080846
2016-02-09,7540.0,7629.0,7430.0,7506.0,6928897
2016-02-10,7510.0,7786.0,7508.0,7777.0,7338392
2016-02-11,7610.0,7897.0,7478.0,7800.0,14134875
2016-02-12,7880.0,8048.0,7874.0,7874.0,14692964
2016-02-15,7901.0,7997.0,7753.0,7869.0,8677838
2016-02-16,7890.0,7953.0,7824.0,7896.0,6122248
2016-02-17,7940.0,7980.0,7877.0,7920.0,9176747
2016-02-18,7920.0,8035.0,7824.0,7942.0,8669956
2016-02-19,7950.0,7979.0,7808.0,7880.0,5257953
2016-02-22,8001.0,8200.0,7884.0,7970.0,8588857
2016-02-23,7970.0,8000.0,7840.0,7897.0,9157760
2016-02-24,7897.0,7986.0,7752.0,7947.0,9333239
2016-02-25,8000.0,8080.0,7855.0,8000.0,6737330
2016-02-26,8100.0,8328.0,8099.0,8300.0,10384917
2016-02-29,8255.0,8470.0,8019.0,8470.0,48505158
2016-03-01,8400.0,8661.0,8368.0,8482.0,10512891
2016-03-02,8550.0,8900.0,8549.0,8775.0,17462518
2016-03-03,8831.0,8977.0,8814.0,8860.0,10260217
2016-03-04,8875.0,8889.0,8697.0,8850.0,13515198
