Date,Open,High,Low,Close,Volume
2003-07-10,8350.0,8400.0,8310.0,8375.0,488006
2003-07-11,8375.0,8450.0,8320.0,8345.0,230092
2003-07-14,8346.0,8625.0,8346.0,8450.0,1086092
2003-07-15,8500.0,8650.0,8500.0,8600.0,697122
2003-07-16,8611.0,8750.0,8515.0,8550.0,795661
2003-07-17,8500.0,8595.0,8235.0,8250.0,704786
2003-07-18,8255.0,8350.0,8200.0,8298.0,535321
2003-07-21,8300.0,8300.0,8212.0,8225.0,443877
2003-07-22,8180.0,8200.0,8105.0,8110.0,521255
2003-07-23,8102.0,8140.0,8000.0,8000.0,895033
2003-07-24,8000.0,8085.0,7921.0,7921.0,1187261
2003-07-25,7975.0,8100.0,7960.0,8100.0,829216
2003-07-28,8170.0,8200.0,8055.0,8090.0,989393
2003-07-29,8090.0,8150.0,8020.0,8100.0,1186496
2003-07-30,8240.0,8240.0,8050.0,8100.0,1202756
2003-07-31,8120.0,8200.0,8000.0,8098.0,1226292
2003-08-01,8100.0,8100.0,7935.0,7980.0,887936
2003-08-04,7990.0,8000.0,7875.0,7950.0,1563448
2003-08-05,7950.0,8000.0,7860.0,7890.0,763214
2003-08-06,7890.0,7925.0,7800.0,7820.0,1561239
2003-08-07,7860.0,7920.0,7775.0,7800.0,722900
2003-08-08,7800.0,7960.0,7510.0,7802.0,2208349
2003-08-11,7800.0,7975.0,7800.0,7900.0,1082131
2003-08-12,7910.0,8010.0,7905.0,8000.0,852074
2003-08-13,8000.0,8075.0,7990.0,8020.0,1674192
2003-08-14,8020.0,8125.0,7870.0,7870.0,809111
2003-08-15,7880.0,7975.0,7850.0,7860.0,390544
2003-08-18,7880.0,7945.0,7805.0,7890.0,594379
2003-08-19,7880.0,8070.0,7875.0,8010.0,1071250
2003-08-20,8100.0,8400.0,8070.0,8251.0,2544058
2003-08-21,8275.0,8745.0,8275.0,8745.0,2055232
2003-08-22,8765.0,8800.0,8490.0,8515.0,949292
2003-08-25,8600.0,8600.0,8300.0,8400.0,446164
2003-08-26,8400.0,8425.0,8150.0,8150.0,420441
2003-08-27,8200.0,8390.0,8150.0,8260.0,372025
2003-08-28,8350.0,8410.0,8175.0,8330.0,478291
2003-08-29,8330.0,8520.0,8280.0,8500.0,1483343
2003-09-01,8510.0,8838.0,8510.0,8790.0,729070
2003-09-02,8819.0,8900.0,8400.0,8460.0,1870088
2003-09-03,8455.0,8630.0,8450.0,8490.0,621051
2003-09-04,8480.0,8480.0,8180.0,8250.0,1203137
2003-09-05,8260.0,8601.0,8230.0,8601.0,2212197
2003-09-08,8705.0,,,8760.0,866313
2003-09-09,8900.0,,,8950.0,1467071
2003-09-10,8950.0,9100.0,8818.89,9000.0,1865183
2003-09-11,9100.0,9165.0,8900.0,9100.0,1320207
2003-09-12,8775.0,9100.0,8625.0,8775.0,1558147
2003-09-15,8860.0,9030.0,8801.0,8801.0,697902
2003-09-16,8900.0,9000.0,8675.0,9000.0,583431
2003-09-17,9000.0,9040.0,8790.0,9040.0,657764
2003-09-18,8860.0,9000.0,8700.0,8860.0,1229124
2003-09-19,8830.0,8945.0,8730.0,8830.0,931269
2003-09-22,8898.0,8898.0,8550.0,8550.0,1010315
2003-09-23,8500.0,8600.0,8410.0,8500.0,1394451
2003-09-25,8500.0,8500.0,8300.0,8360.0,1660431
2003-09-26,8445.0,8500.0,8300.0,8445.0,1198938
2003-09-29,8700.0,8775.0,8455.0,8700.0,1073150
2003-09-30,8700.0,8700.0,8311.0,8320.0,925670
2003-10-01,8125.0,8450.0,8121.0,8125.0,921573
2003-10-02,8286.0,8470.0,8150.0,8450.0,773669
2003-10-03,8450.0,8601.0,8380.0,8499.0,575147
2003-10-06,8400.0,8489.0,8305.0,8420.0,515247
2003-10-07,8420.0,8420.0,8200.0,8420.0,654015
2003-10-08,8425.0,8600.0,8410.0,8550.0,642950
2003-10-09,9039.0,9050.0,8600.0,9039.0,2113829
2003-10-10,9000.0,9040.0,8850.0,9040.0,1151652
2003-10-13,9100.0,9300.0,9000.0,9030.0,1345847
2003-10-14,9105.0,9190.0,8801.0,9005.0,998910
2003-10-15,9000.0,9100.0,8920.0,8986.0,540320
2003-10-16,8986.0,9025.0,8900.0,9000.0,806229
2003-10-17,9050.0,9150.0,8980.0,9050.0,2935795
2003-10-20,8985.0,9100.0,8900.0,8985.0,795542
2003-10-21,9000.0,9045.0,8800.0,8820.0,1009964
2003-10-22,8800.0,8900.0,8680.0,8750.0,850085
2003-10-23,8685.0,8740.0,8570.0,8685.0,754349
2003-10-24,8740.0,8740.0,8600.0,8740.0,441091
2003-10-27,8700.0,8801.0,8600.0,8700.0,298540
2003-10-28,8905.0,8999.0,8670.0,8905.0,575231
2003-10-29,8860.0,9089.0,8815.0,8860.0,695260
2003-10-30,8925.0,8940.0,8775.0,8925.0,615245
2003-10-31,9000.0,9075.0,8875.0,9000.0,747938
