Date,Open,High,Low,Close,Volume
2003-12-29,860.0,875.0,860.0,875.0,31760
2003-12-30,880.0,910.0,875.0,910.0,30053
2004-01-02,930.0,930.0,930.0,930.0,32400
2004-01-05,929.0,935.0,929.0,930.0,408863
2004-01-06,952.0,970.0,930.0,952.0,273462
2004-01-07,960.0,960.0,960.0,960.0,180883
2004-01-08,960.0,970.0,960.0,965.0,83204
2004-01-09,970.0,981.0,965.0,981.0,345890
2004-01-12,985.0,990.0,980.0,985.0,0
2004-01-13,1001.0,1001.0,985.0,1001.0,0
2004-01-14,1000.0,1015.0,995.0,1000.0,0
2004-01-15,990.0,995.0,985.0,990.0,0
2004-01-16,990.0,995.0,990.0,990.0,0
2004-01-19,995.0,995.0,980.0,990.0,0
2004-01-20,1005.0,1005.0,995.0,1005.0,0
2004-01-21,1010.0,1020.0,1005.0,1010.0,0
2004-01-22,1020.0,1020.0,1010.0,1020.0,0
2004-01-23,1061.0,1062.0,1025.0,1061.0,0
2004-01-26,1050.0,1090.0,1050.0,1090.0,0
2004-01-27,1080.0,1090.0,1080.0,1080.0,0
2004-01-28,1030.0,1075.0,1025.0,1030.0,0
2004-01-29,1030.0,1030.0,990.0,992.0,0
2004-01-30,990.0,990.0,970.0,990.0,0
2004-02-02,992.0,1000.0,990.0,1000.0,0
2004-02-03,990.0,1000.0,980.0,990.0,0
2004-02-04,970.0,970.0,960.0,960.0,0
2004-02-05,960.0,960.0,930.0,960.0,0
2004-02-06,950.0,960.0,945.0,950.0,0
2004-02-09,971.0,971.0,950.0,971.0,586126
2004-02-10,980.0,1020.0,980.0,1020.0,1925797
2004-02-11,1020.0,1025.0,1005.0,1025.0,53513
2004-02-12,1030.0,1030.0,1010.0,1030.0,1434345
2004-02-13,1030.0,1035.0,1030.0,1030.0,1871681
2004-02-16,1030.0,1035.0,1030.0,1030.0,186133
2004-02-17,1060.0,1060.0,1030.0,1060.0,218786
2004-02-18,1051.0,1060.0,1050.0,1060.0,400196
2004-02-19,1040.0,1101.0,1040.0,1100.0,1787337
2004-02-20,1090.0,1100.0,1090.0,1099.0,348537
2004-02-23,1085.0,1085.0,1070.0,1085.0,431450
2004-02-24,1085.0,1085.0,1060.0,1060.0,349947
2004-02-25,1050.0,1050.0,1030.0,1040.0,540829
2004-02-26,1030.0,1040.0,1030.0,1040.0,254380
2004-02-27,1020.0,1020.0,1000.0,1000.0,798006
2004-03-01,980.0,1060.0,980.0,1050.0,98331
2004-03-02,1050.0,1065.0,1050.0,1065.0,86787
2004-03-03,1065.0,1070.0,1065.0,1070.0,311521
2004-03-04,1090.0,1090.0,1040.0,1040.0,1442356
2004-03-05,1045.0,1050.0,1040.0,1045.0,562490
2004-03-08,1045.0,1050.0,1045.0,1050.0,226208
2004-03-09,1050.0,1060.0,1050.0,1050.0,219586
2004-03-10,1050.0,1071.0,1050.0,1071.0,256189
2004-03-11,1070.0,1080.0,1070.0,1070.0,341907
2004-03-12,1070.0,1070.0,1070.0,1070.0,1184
2004-03-15,1071.0,1090.0,1070.0,1090.0,123986
2004-03-16,1099.0,1100.0,1090.0,1090.0,2501758
2004-03-17,1090.0,1090.0,1065.0,1065.0,167028
2004-03-18,1055.0,1059.0,1050.0,1056.0,370584
2004-03-19,1040.0,1060.0,1040.0,1055.0,201588
2004-03-23,1050.0,1056.0,1050.0,1050.0,131525
2004-03-24,1050.0,1050.0,1045.0,1050.0,554900
2004-03-25,1050.0,1051.0,1050.0,1050.0,22500
2004-03-26,1050.0,1050.0,1050.0,1050.0,1458436
2004-03-29,1050.0,1050.0,1049.0,1050.0,446800
2004-03-30,1020.0,1025.0,1010.0,1025.0,345560
2004-03-31,1025.0,1070.0,1015.0,1070.0,83545
2004-04-01,1070.0,1070.0,1045.0,1050.0,180045
2004-04-02,1030.0,1070.0,1030.0,1070.0,10000
2004-04-05,1040.0,1070.0,1040.0,1065.0,113117
2004-04-06,1065.0,1160.0,1065.0,1130.0,130498
2004-04-07,1130.0,1160.0,1130.0,1160.0,395363
2004-04-08,1160.0,1180.0,1060.0,1110.0,125683
2004-04-13,1105.0,1105.0,1100.0,1105.0,737939
2004-04-15,1105.0,1110.0,1100.0,1105.0,519471
2004-04-16,1103.0,1103.0,1075.0,1075.0,809118
2004-04-19,1099.0,1099.0,1075.0,1081.0,103019
2004-04-20,1085.0,1085.0,1080.0,1083.0,60661
2004-04-21,1065.0,1080.0,1065.0,1070.0,95250
2004-04-22,1070.0,1070.0,1060.0,1065.0,60913
2004-04-23,1070.0,1078.0,1061.0,1076.0,56030
2004-04-26,1085.0,1085.0,1085.0,1085.0,6260
2004-04-28,1080.0,1100.0,1080.0,1100.0,87054
2004-04-29,1100.0,1100.0,1078.0,1078.0,60669
2004-04-30,1079.0,1100.0,1065.0,1100.0,67303
2004-05-03,1100.0,1100.0,1078.0,1090.0,69800
2004-05-04,1088.0,1090.0,1085.0,1085.0,45063
2004-05-05,1085.0,1085.0,1080.0,1080.0,736110
2004-05-06,1080.0,1080.0,1080.0,1080.0,222269
2004-05-07,1080.0,1081.0,1080.0,1080.0,1173994
2004-05-10,1080.0,1080.0,1070.0,1070.0,561789
2004-05-11,1060.0,1070.0,1060.0,1070.0,12277
2004-05-12,1070.0,1070.0,1060.0,1060.0,154422
2004-05-13,1060.0,1070.0,1060.0,1070.0,71080
2004-05-14,1070.0,1070.0,1060.0,1060.0,1145108
2004-05-17,1051.0,1051.0,1045.0,1045.0,58205
2004-05-18,1040.0,1045.0,1030.0,1040.0,582462
2004-05-19,1040.0,1040.0,1000.0,1030.0,393088
2004-05-20,1033.0,1070.0,1033.0,1050.0,919285
2004-05-21,1050.0,1050.0,1040.0,1047.0,316607
2004-05-24,1050.0,1069.0,1050.0,1060.0,45251
2004-05-25,1061.0,1061.0,1040.0,1045.0,40915
2004-05-26,1041.0,1041.0,1040.0,1041.0,13585
2004-05-27,1060.0,1080.0,1060.0,1075.0,1469538
2004-05-28,1075.0,1075.0,1045.0,1045.0,633300
