Date,Open,High,Low,Close,Volume
2003-12-29,6850.0,6850.0,6600.0,6850.0,90068
2003-12-30,6850.0,7290.0,6850.0,7051.0,394737
2004-01-02,7000.0,7000.0,6900.0,7000.0,105107
2004-01-05,7050.0,7150.0,6930.0,7100.0,795583
2004-01-06,7100.0,7100.0,7000.0,7040.0,603948
2004-01-07,7000.0,7050.0,6985.0,7000.0,763166
2004-01-08,6970.0,6990.0,6920.0,6970.0,801302
2004-01-09,6990.0,7020.0,6990.0,7000.0,302192
2004-01-12,7000.0,7000.0,6810.0,6860.0,0
2004-01-13,7000.0,7000.0,6850.0,7000.0,0
2004-01-14,7000.0,7000.0,6727.0,6727.0,0
2004-01-15,6574.0,6700.0,6550.0,6574.0,0
2004-01-16,6401.0,6550.0,6350.0,6400.0,0
2004-01-19,6250.0,6401.0,6200.0,6250.0,0
2004-01-20,6220.0,6400.0,6220.0,6300.0,0
2004-01-21,6260.0,6340.0,6200.0,6260.0,0
2004-01-22,6290.0,6431.0,6290.0,6350.0,0
2004-01-23,6790.0,6790.0,6350.0,6790.0,0
2004-01-26,7190.0,7250.0,6790.0,7190.0,0
2004-01-27,7480.0,7690.0,7190.0,7480.0,0
2004-01-28,7444.0,7460.0,7250.0,7350.0,0
2004-01-29,7501.0,7501.0,7280.0,7501.0,0
2004-01-30,7501.0,7715.0,7400.0,7500.0,0
2004-02-02,7600.0,7600.0,7425.0,7600.0,0
2004-02-03,7701.0,7701.0,7500.0,7701.0,0
2004-02-04,7700.0,7780.0,7680.0,7760.0,0
2004-02-05,7701.0,7760.0,7510.0,7701.0,0
2004-02-06,7498.0,7750.0,7300.0,7498.0,0
2004-02-09,7300.0,7600.0,7260.0,7300.0,290655
2004-02-10,7280.0,7320.0,7200.0,7280.0,322154
2004-02-11,7215.0,7400.0,7050.0,7215.0,894681
2004-02-12,7065.0,7215.0,7010.0,7065.0,764488
2004-02-13,7220.0,7250.0,7065.0,7220.0,915806
2004-02-16,7255.0,7370.0,7240.0,7260.0,423993
2004-02-17,7400.0,7400.0,7185.0,7185.0,389443
2004-02-18,7185.0,7260.0,7050.0,7129.0,1079838
2004-02-19,7150.0,7200.0,7090.0,7135.0,550632
2004-02-20,7220.0,7220.0,6770.0,7050.0,276234
2004-02-23,7050.0,7151.0,6965.0,6970.0,930763
2004-02-24,6970.0,7000.0,6795.0,6795.0,956422
2004-02-25,6600.0,6751.0,6510.0,6751.0,3014929
2004-02-26,6760.0,6830.0,6698.0,6780.0,2920027
2004-02-27,6700.0,6800.0,6700.0,6725.0,1889723
2004-03-01,6725.0,6845.0,6725.0,6845.0,3262606
2004-03-02,6851.0,7200.0,6851.0,7200.0,2170971
2004-03-03,7200.0,7425.0,7200.0,7425.0,2334500
2004-03-04,7425.0,7549.0,7335.0,7366.0,1023846
2004-03-05,7410.0,7410.0,7160.0,7250.0,2721796
2004-03-08,7250.0,7300.0,7220.0,7277.0,913058
2004-03-09,7250.0,7300.0,7200.0,7255.0,404752
2004-03-10,7200.0,7299.0,7010.0,7230.0,1654823
2004-03-11,7165.0,7300.0,7100.0,7100.0,355852
2004-03-12,7100.0,7300.0,7000.0,7300.0,472199
2004-03-15,7250.0,7350.0,7250.0,7290.0,650276
2004-03-16,7290.0,7350.0,7250.0,7300.0,595322
2004-03-17,7300.0,7400.0,7200.0,7400.0,505104
2004-03-18,7400.0,7551.0,7400.0,7500.0,974468
2004-03-19,7500.0,7500.0,7300.0,7320.0,506857
2004-03-23,7320.0,7400.0,7200.0,7300.0,737366
2004-03-24,7330.0,7485.0,7330.0,7400.0,2225581
2004-03-25,7380.0,7475.0,7380.0,7400.0,356421
2004-03-26,7425.0,7490.0,7305.0,7350.0,371441
