Date,Open,High,Low,Close,Volume
2003-12-29,3350.0,3390.0,3340.0,3350.0,39126
2003-12-30,3350.0,3350.0,3350.0,3350.0,9078
2004-01-02,3350.0,3399.0,3350.0,3395.0,9134
2004-01-05,3370.0,3370.0,3300.0,3320.0,95275
2004-01-06,3300.0,3320.0,3280.0,3300.0,101897
2004-01-07,3310.0,3340.0,3310.0,3332.0,41118
2004-01-08,3360.0,3360.0,3330.0,3360.0,24170
2004-01-09,3380.0,3390.0,3360.0,3380.0,35927
2004-01-12,3390.0,3399.0,3360.0,3390.0,0
2004-01-13,3399.0,3525.0,3399.0,3500.0,0
2004-01-14,3505.0,3650.0,3505.0,3610.0,0
2004-01-15,3700.0,3700.0,3610.0,3700.0,0
2004-01-16,3700.0,3900.0,3700.0,3870.0,0
2004-01-19,3870.0,3985.0,3870.0,3970.0,0
2004-01-20,3999.0,4000.0,3879.0,3879.0,0
2004-01-21,3750.0,3801.0,3650.0,3750.0,0
2004-01-22,3780.0,3800.0,3748.0,3780.0,0
2004-01-23,3800.0,3800.0,3789.0,3800.0,0
2004-01-26,3800.0,3800.0,3780.0,3786.0,0
2004-01-27,3800.0,3850.0,3760.0,3800.0,0
2004-01-28,3800.0,3800.0,3650.0,3790.0,0
2004-01-29,3899.0,3899.0,3730.0,3899.0,0
2004-01-30,3880.0,3900.0,3800.0,3880.0,0
2004-02-02,3805.0,3865.0,3800.0,3805.0,0
2004-02-03,3775.0,3775.0,3690.0,3720.0,0
2004-02-04,3700.0,3749.0,3700.0,3700.0,0
2004-02-05,3650.0,3675.0,3600.0,3600.0,0
2004-02-06,3610.0,3635.0,3600.0,3610.0,0
2004-02-09,3610.0,3621.0,3590.0,3610.0,8100
2004-02-10,3610.0,3615.0,3600.0,3615.0,9111
2004-02-11,3610.0,3652.0,3600.0,3600.0,42113
2004-02-12,3600.0,3660.0,3600.0,3630.0,19237
2004-02-13,3620.0,3631.0,3620.0,3620.0,44529
2004-02-16,3620.0,3620.0,3620.0,3620.0,6719
2004-02-17,3620.0,3630.0,3610.0,3620.0,19486
2004-02-18,3620.0,3630.0,3615.0,3630.0,133043
2004-02-19,3630.0,3630.0,3620.0,3630.0,299895
2004-02-20,3630.0,3660.0,3630.0,3650.0,502617
2004-02-23,3655.0,3750.0,3655.0,3738.0,421442
2004-02-24,3739.0,3788.0,3739.0,3750.0,617510
2004-02-25,3775.0,3900.0,3775.0,3900.0,1096908
2004-02-26,3900.0,4190.0,3900.0,4100.0,394343
2004-02-27,4100.0,4225.0,4100.0,4225.0,623054
2004-03-01,4000.0,4190.0,4000.0,4149.0,84890
2004-03-02,4150.0,4210.0,4150.0,4191.0,231168
2004-03-03,4200.0,4200.0,4149.0,4200.0,84840
2004-03-04,4200.0,4210.0,4170.0,4200.0,31426
2004-03-05,4200.0,4270.0,4200.0,4250.0,175359
2004-03-08,4275.0,4295.0,4270.0,4290.0,86500
2004-03-09,4300.0,4325.0,4290.0,4300.0,78549
2004-03-10,4300.0,4350.0,4280.0,4330.0,279125
