Date,Open,High,Low,Close,Volume
2006-12-01,250.0,250.0,230.0,238.0,5289749
2006-12-04,240.0,255.0,239.0,245.0,3989226
2006-12-05,247.0,248.0,236.0,236.0,2193402
2006-12-06,240.0,242.0,230.0,231.0,1008225
2006-12-07,232.0,235.0,220.0,230.0,1493362
2006-12-08,232.0,238.0,230.0,233.0,1041933
2006-12-11,234.0,239.0,232.0,236.0,2201915
2006-12-12,238.0,245.0,237.0,240.0,3389232
2006-12-13,240.0,242.0,239.0,241.0,1053057
2006-12-14,242.0,249.0,240.0,245.0,1306156
2006-12-15,245.0,245.0,243.0,243.0,964530
2006-12-18,245.0,245.0,240.0,242.0,1165198
2006-12-19,242.0,244.0,239.0,240.0,498044
2006-12-20,242.0,242.0,236.0,237.0,3217580
2006-12-21,237.0,241.0,237.0,237.0,2797598
2006-12-22,238.0,245.0,236.0,240.0,560247
2006-12-27,242.0,243.0,238.0,241.0,814780
2006-12-28,240.0,244.0,240.0,242.0,112876
2006-12-29,242.0,245.0,242.0,243.0,241000
2007-01-02,243.0,249.0,243.0,247.0,302501
2007-01-03,247.0,247.0,240.0,241.0,318519
2007-01-04,244.0,245.0,241.0,244.0,58225
2007-01-05,243.0,244.0,242.0,243.0,366538
2007-01-08,244.0,249.0,244.0,249.0,437292
2007-01-09,250.0,265.0,249.0,260.0,3961397
2007-01-10,260.0,274.0,260.0,268.0,3689554
2007-01-11,270.0,276.0,268.0,275.0,1047518
2007-01-12,275.0,285.0,275.0,278.0,2074060
2007-01-15,280.0,285.0,270.0,274.0,866841
2007-01-16,274.0,274.0,265.0,270.0,499317
2007-01-17,270.0,270.0,261.0,261.0,342312
2007-01-18,261.0,269.0,261.0,269.0,208045
2007-01-19,269.0,269.0,264.0,268.0,973090
2007-01-22,270.0,272.0,268.0,270.0,517554
2007-01-23,270.0,271.0,266.0,270.0,1024953
2007-01-24,270.0,271.0,266.0,270.0,2691240
2007-01-25,270.0,272.0,269.0,271.0,1386510
2007-01-26,270.0,270.0,265.0,265.0,1469820
2007-01-29,268.0,269.0,263.0,268.0,2390150
2007-01-30,271.0,271.0,264.0,264.0,4230323
2007-01-31,265.0,265.0,264.0,265.0,12900807
2007-02-01,267.0,273.0,266.0,270.0,1450625
2007-02-02,272.0,290.0,271.0,280.0,2617202
2007-02-05,290.0,290.0,270.0,271.0,5846647
2007-02-06,274.0,275.0,268.0,269.0,2843496
2007-02-07,270.0,270.0,268.0,268.0,1162010
2007-02-08,269.0,270.0,266.0,266.0,652548
2007-02-09,266.0,270.0,265.0,265.0,719065
2007-02-12,266.0,269.0,263.0,267.0,522230
2007-02-13,267.0,267.0,256.0,260.0,1027861
2007-02-14,260.0,261.0,253.0,257.0,2004700
2007-02-15,260.0,264.0,256.0,264.0,4135950
2007-02-16,265.0,268.0,261.0,265.0,360890
2007-02-19,265.0,265.0,260.0,260.0,1894620
2007-02-20,260.0,265.0,260.0,261.0,2540272
2007-02-21,262.0,270.0,262.0,263.0,934525
2007-02-22,263.0,280.0,263.0,275.0,1083132
2007-02-23,277.0,285.0,275.0,275.0,2246536
2007-02-26,291.0,300.0,283.0,285.0,8390121
2007-02-27,291.0,291.0,276.0,277.0,835009
2007-02-28,275.0,285.0,265.0,285.0,894466
2007-03-01,285.0,285.0,269.0,274.0,328303
2007-03-02,274.0,275.0,264.0,265.0,642777
2007-03-05,262.0,264.0,251.0,260.0,1693177
2007-03-06,264.0,269.0,263.0,263.0,1047053
2007-03-07,265.0,270.0,260.0,263.0,553075
2007-03-08,265.0,269.0,262.0,265.0,608800
2007-03-09,269.0,269.0,260.0,262.0,886400
2007-03-12,265.0,265.0,257.0,261.0,1606798
2007-03-13,277.0,280.0,263.0,265.0,2724670
2007-03-14,264.0,269.0,260.0,269.0,1061055
2007-03-15,270.0,273.0,268.0,270.0,1358672
2007-03-16,272.0,280.0,270.0,280.0,1319255
2007-03-19,280.0,280.0,270.0,275.0,308607
2007-03-20,279.0,279.0,275.0,277.0,472882
2007-03-22,277.0,278.0,271.0,277.0,391240
