Date,SPY,AAPL,GOOGL,YHOO,MSFT,IBM,FB,TWTR,GOOG,GLD,XOM
2000/01/03,105.825332,3.641362,,118.75,39.573098,88.45506,,,,,25.827825
2000/01/04,101.686912,3.334358,,110.75,38.236313,85.452544,,,,,25.333118
2000/01/05,101.86882,3.383153,,102.625,38.63947,88.45506,,,,,26.714175
2000/01/06,100.231643,3.09038,,92.046875,37.345122,86.929973,,,,,28.095232
2000/01/07,106.052718,3.236767,,101.8125,37.833155,86.548701,,,,,28.012781
2000/01/10,106.416535,3.179838,,109.015625,38.109,89.980147,,,,,27.621138
2000/01/11,105.143175,3.017187,,99.34375,37.132934,90.742691,,,,,27.703589
2000/01/12,104.097201,2.836237,,89.390625,35.923461,91.123962,,,,,27.538687
2000/01/13,105.506992,3.147308,,86.71875,36.602464,90.170783,,,,,28.177683
2000/01/14,106.939489,3.267264,,88.25,38.109,91.21928,,,,,27.621138
2000/01/18,106.098195,3.38112,,85.296875,39.148722,88.264424,,,,,27.950942
2000/01/19,106.962261,3.466512,,91,36.326619,91.123962,,,,,28.218909
2000/01/20,105.325084,3.692191,,87.984375,35.987118,90.742691,,,,,27.600525
2000/01/21,105.097698,3.621031,,87.984375,35.22324,92.64905,,,,,28.033393
2000/01/24,102.118911,3.456346,,81.078125,34.374488,92.64905,,,,,27.78604
2000/01/25,103.278612,3.651528,,86.390625,34.904958,90.838009,,,,,27.724202
2000/01/26,102.460023,3.584434,,82.140625,33.737923,89.026967,,,,,27.538687
2000/01/27,102.050729,3.578335,,84.34375,33.525735,86.548701,,,,,26.714175
2000/01/28,98.867328,3.305893,,78.375,33.355984,85.071272,,,,,26.01334
2000/01/31,101.55048,3.37502,,80.515625,33.228671,85.595521,,,,,27.332559
2000/02/01,102.550977,3.261164,,79.34375,34.947396,83.879798,,,,,27.435623
2000/02/02,102.641932,3.214402,,82,34.225956,86.548701,,,,,27.64175
2000/02/03,104.188155,3.360788,,90.0625,35.180803,89.312921,,,,,27.167656
2000/02/04,103.756089,3.513274,,88.375,36.178087,88.169106,,,,,26.672949
2000/02/07,103.596952,3.710489,,88.5,36.199306,87.02529,,,,,26.631724
2000/02/08,105.006744,3.73692,,93.28125,37.323904,90.695077,,,,,26.033953
2000/02/09,102.801068,3.663727,,90.578125,35.308116,89.597767,,,,,25.288564
2000/02/10,103.005749,3.692191,,91.25,35.987118,90.933623,,,,,25.164194
2000/02/11,100.9138,3.537672,,85.671875,33.928892,88.071074,,,,,24.500887
2000/02/14,101.505003,3.767417,,82.875,33.822798,88.595875,,,,,25.350749
2000/02/15,102.653279,3.871108,,85,33.462078,89.40693,,,,,26.304252
2000/02/16,101.141186,3.712522,,80.78125,33.143796,88.357329,,,,,26.532264
2000/02/17,100.618165,3.73692,,81.59375,33.822798,89.120675,,,,,25.8275
2000/02/18,98.458034,3.618998,,78.0625,32.273825,85.876454,,,,,24.873997
2000/02/22,98.207876,3.702357,,76.90625,31.849448,84.731434,,,,,25.019096
2000/02/23,99.367577,3.781649,,83.101547,31.99798,83.013905,,,,,24.749627
2000/02/24,97.366582,3.747593,,84.03125,32.16773,84.349761,,,,,24.148506
2000/02/25,97.014112,3.590534,,82.59375,31.000695,82.441396,,,,,23.568112
2000/02/28,99.049237,3.684058,,80.96875,31.085571,79.769684,,,,,24.376517
2000/02/29,100.004257,3.728788,,79.84375,30.342912,78.433828,,,,,24.977639
2000/03/01,100.731891,4.239107,,79.25,30.830945,76.525462,,,,,25.226379
2000/03/02,100.800074,3.968699,,77.46875,31.700916,78.720083,,,,,25.537304
2000/03/03,102.687409,4.163881,,79,32.634544,82.441396,,,,,25.102009
2000/03/06,101.686912,4.088654,,85.78125,30.767288,78.672373,,,,,24.189962
2000/03/07,99.719969,3.997163,,85.6875,31.531166,78.624664,,,,,26.532264
2000/03/08,99.594963,3.968699,,88.5,32.443575,81.10554,,,,,26.407894
2000/03/09,102.5055,3.976831,,91.625,33.950111,82.441396,,,,,26.677362
2000/03/10,101.959774,4.090687,,89.03125,34.289612,80.342193,,,,,25.54765
2000/03/13,100.845551,3.946334,,87.90625,33.271109,82.20285,,,,,25.164194
2000/03/14,99.413054,3.716589,,84.375,32.295043,82.918487,,,,,25.620217
2000/03/15,101.732389,3.781649,,79.25,32.379919,81.678049,,,,,25.786044
2000/03/16,106.484718,3.954467,,85.09375,32.379919,83.204742,,,,,26.44935
2000/03/17,107.188523,4.06629,,85.5625,33.737923,83.968088,,,,,25.578761
2000/03/20,106.641411,4.001229,,86.007797,33.058921,86.06729,,,,,24.832541
2000/03/21,108.829862,4.389559,,95.875,34.883739,86.6398,,,,,25.537304
2000/03/22,109.490923,4.690465,,98.59375,35.05349,87.21231,,,,,24.853269
2000/03/23,111.360225,4.59694,,95.5,37.981687,87.975656,,,,,25.039824
2000/03/24,112.021353,4.511548,,97,37.918031,92.078642,,,,,25.620217
2000/03/27,110.835942,4.540012,,100.375,35.329335,96.849556,,,,,25.376652
2000/03/28,110.197644,4.52578,,97.5,35.41421,93.509916,,,,,26.20061
2000/03/29,110.311592,4.42209,,88.53125,36.390276,90.838204,,,,,26.69809
2000/03/30,108.46512,4.090687,,84.75,35.095928,93.700753,,,,,26.07624
2000/03/31,109.696124,4.418023,,85.6875,36.071993,90.361113,,,,,25.868957
2000/04/03,110.334422,4.336698,,80.0625,30.852164,93.128243,,,,,26.69809
2000/04/04,109.513753,4.141516,,83.6875,30.067067,92.508024,,,,,27.361397
2000/04/05,108.829862,4.24114,,82.78125,29.324409,95.418282,,,,,26.44935
2000/04/06,109.775856,4.072389,,77,29.197096,93.700753,,,,,27.112657
2000/04/07,110.4712,4.285869,,75.5625,30.236818,93.987008,,,,,26.387165
2000/04/10,110.038036,4.06629,,70.96875,29.218315,93.223661,,,,,25.95187
2000/04/11,109.718887,3.88534,,66.75,28.475656,91.124459,,,,,26.32498
2000/04/12,106.709766,3.553937,,68.09375,26.947901,86.830636,,,,,26.511535
2000/04/13,105.228036,3.702357,,68.0625,26.905463,84.445179,,,,,26.532264
2000/04/14,99.209795,3.639329,,58,25.16552,80.151357,,,,,26.117697
2000/04/17,102.674842,4.029693,,57.1875,25.759647,85.399362,,,,,25.039824
2000/04/18,105.387577,4.127284,,63.34375,27.351058,85.113107,,,,,25.267836
2000/04/19,104.407366,3.940235,,62.9375,26.714494,80.151357,,,,,25.682402
2000/04/20,104.908887,3.867041,,61.5625,26.799369,79.388011,,,,,26.20061
2000/04/24,103.769068,3.919903,,56.9375,22.619262,81.296376,,,,,26.490807
2000/04/25,108.077548,4.174046,,62.25,23.55289,85.876454,,,,,26.863917
2000/04/26,106.85792,3.946334,,59.5625,23.086076,84.349761,,,,,26.57372
2000/04/27,106.504632,4.123218,,62.15625,23.701421,84.445179,,,,,26.760275
2000/04/28,105.843504,4.035793,,65.125,23.680203,85.113107,,,,,25.765316
2000/05/01,107.279709,4.043925,,65.4375,24.932113,85.494781,,,,,25.868957
2000/05/02,105.13685,3.834511,,61.28125,23.72264,85.017689,,,,,25.95187
2000/05/03,102.674842,3.74302,,61.03125,23.956047,82.536814,,,,,25.703131
2000/05/04,103.449919,3.600699,,62.09375,23.91361,82.155141,,,,,26.366437
2000/05/05,104.703686,3.679992,,62.84375,24.147017,82.345977,,,,,26.532264
2000/05/08,103.917222,3.582401,,60.375,23.701421,83.878332,,,,,26.677362
2000/05/09,103.085177,3.429915,,58.71875,23.022419,83.305132,,,,,26.345709
2000/05/10,100.759948,3.230667,,59.445301,22.47073,78.719528,,,,,27.029744
2000/05/11,103.062347,3.344523,,62.65625,23.043638,79.818163,,,,,27.655803
2000/05/12,104.179403,3.501075,,62.84375,23.36192,79.818163,,,,,27.353593
2000/05/15,105.980282,3.285562,,65,23.55289,79.627096,,,,,27.885052
2000/05/16,107.006152,3.438048,,67.8125,23.595327,83.305132,,,,,27.760007
2000/05/17,105.889097,3.297761,,68.90625,22.979982,82.445331,,,,,27.134781
2000/05/18,104.589737,3.277429,,66,22.47073,81.060097,,,,,27.160825
2000/05/19,102.948399,3.05785,,60.15625,22.088791,81.346697,,,,,27.259827
2000/05/22,102.173322,2.925695,,63.125,21.791728,83.496199,,,,,27.780848
2000/05/23,100.668762,2.791508,,59.15625,21.452227,82.063198,,,,,27.676643
2000/05/24,102.310101,2.852502,,61.375,22.258542,83.782799,,,,,27.655803
2000/05/25,100.554747,2.838778,,57.5,20.879318,81.394464,,,,,27.155622
2000/05/26,100.668762,2.809806,,56.03125,20.8581,81.728831,,,,,27.468235
2000/05/30,103.951439,2.848436,,58.5,21.515883,84.7859,,,,,27.84337
2000/05/31,104.179403,2.732547,,56.53125,21.240038,82.015431,,,,,27.780848
2000/06/01,106.003112,2.899264,,60.03125,21.919041,81.01233,,,,,27.655803
2000/06/02,107.849585,3.011087,,67.25,22.513168,83.161832,,,,,26.405352
2000/06/05,107.325302,2.970424,,68.65625,22.704137,86.218901,,,,,26.447034
2000/06/06,106.846544,3.021253,,67.53125,23.637765,85.884534,,,,,27.447394
2000/06/07,107.587404,3.141209,,72.25,23.934828,92.476339,,,,,27.051418
2000/06/08,107.165694,3.084281,,72,23.36192,91.521005,,,,,26.697124
2000/06/09,106.93773,3.114778,,71.59375,23.36192,91.473238,,,,,26.405352
2000/06/12,105.683963,2.966358,,68.71875,22.704137,90.828347,,,,,26.926373
2000/06/13,107.667214,3.074115,,69.75,23.043638,91.186638,,,,,27.072259
2000/06/14,107.849585,2.94196,,69.75,23.934828,88.655003,,,,,27.551598
2000/06/15,108.077548,3.004988,,69.84375,24.571393,89.27597,,,,,27.489076
2000/06/16,107.189497,2.966358,,70.46875,24.635049,86.553268,,,,,28.135142
2000/06/19,108.560499,3.143242,,69.53125,25.016988,91.998672,,,,,28.030938
2000/06/20,108.172082,3.293695,,74,25.441365,88.941603,,,,,27.760007
2000/06/21,108.126382,3.618998,,71.40625,27.393496,87.508602,,,,,27.994459
